activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(225,)",0.0001,0.804,0.328,0.928,0.4,0.314,0.628,0.811,0.291,0.948,0.388,0.317,0.619,0.811,0.273,0.952,0.375,0.312,0.613
relu,"(250,)",0.1,0.756,0.422,0.843,0.409,0.262,0.633,0.766,0.4,0.862,0.416,0.272,0.631,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(250,)",0.01,0.77,0.3,0.892,0.34,0.216,0.596,0.8,0.364,0.914,0.43,0.322,0.639,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(250,)",0.001,0.78,0.303,0.904,0.359,0.242,0.603,0.804,0.327,0.929,0.406,0.311,0.628,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(250,)",0.0001,0.785,0.281,0.916,0.345,0.24,0.598,0.811,0.327,0.938,0.417,0.333,0.633,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(275,)",0.1,0.741,0.325,0.85,0.317,0.166,0.587,0.785,0.418,0.881,0.444,0.313,0.65,0.717,0.545,0.762,0.444,0.272,0.654
relu,"(275,)",0.01,0.785,0.328,0.904,0.382,0.27,0.616,0.8,0.4,0.905,0.451,0.337,0.652,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(275,)",0.001,0.785,0.303,0.91,0.364,0.252,0.606,0.815,0.345,0.938,0.435,0.352,0.642,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(275,)",0.0001,0.789,0.325,0.91,0.386,0.274,0.617,0.811,0.345,0.933,0.431,0.343,0.639,0.792,0.273,0.929,0.353,0.258,0.601
relu,"(300,)",0.1,0.727,0.325,0.832,0.311,0.147,0.578,0.743,0.4,0.833,0.392,0.229,0.617,0.755,0.545,0.81,0.48,0.327,0.677
relu,"(300,)",0.01,0.775,0.303,0.898,0.355,0.236,0.6,0.766,0.327,0.881,0.367,0.229,0.604,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(300,)",0.001,0.775,0.281,0.904,0.337,0.224,0.592,0.804,0.309,0.933,0.395,0.307,0.621,0.774,0.273,0.905,0.333,0.213,0.589
relu,"(300,)",0.0001,0.789,0.281,0.922,0.352,0.25,0.601,0.804,0.291,0.938,0.379,0.296,0.615,0.811,0.273,0.952,0.375,0.312,0.613
relu,"(25,5)",0.1,0.756,0.347,0.861,0.363,0.216,0.604,0.747,0.345,0.852,0.36,0.208,0.599,0.566,0.545,0.571,0.343,0.095,0.558
relu,"(25,5)",0.01,0.761,0.325,0.874,0.346,0.214,0.599,0.747,0.4,0.838,0.395,0.236,0.619,0.774,0.273,0.905,0.333,0.213,0.589
relu,"(25,5)",0.001,0.77,0.375,0.874,0.391,0.257,0.624,0.777,0.418,0.871,0.437,0.301,0.645,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(25,5)",0.0001,0.785,0.325,0.904,0.382,0.266,0.614,0.789,0.418,0.886,0.449,0.321,0.652,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(50,10)",0.1,0.746,0.303,0.862,0.302,0.164,0.582,0.728,0.327,0.833,0.333,0.164,0.58,0.774,0.455,0.857,0.455,0.312,0.656
relu,"(50,10)",0.01,0.765,0.328,0.88,0.345,0.225,0.604,0.792,0.364,0.905,0.418,0.304,0.634,0.774,0.273,0.905,0.333,0.213,0.589
relu,"(50,10)",0.001,0.756,0.278,0.88,0.319,0.189,0.579,0.781,0.236,0.924,0.3,0.196,0.58,0.774,0.273,0.905,0.333,0.213,0.589
relu,"(50,10)",0.0001,0.765,0.278,0.891,0.334,0.218,0.585,0.796,0.236,0.943,0.32,0.243,0.59,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(75,15)",0.1,0.727,0.35,0.826,0.328,0.168,0.588,0.725,0.382,0.814,0.363,0.193,0.598,0.755,0.0,0.952,0.0,-0.101,0.476
relu,"(75,15)",0.01,0.775,0.378,0.88,0.399,0.276,0.629,0.766,0.327,0.881,0.362,0.227,0.604,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(75,15)",0.001,0.77,0.256,0.904,0.306,0.187,0.58,0.8,0.327,0.924,0.401,0.302,0.626,0.792,0.273,0.929,0.353,0.258,0.601
relu,"(75,15)",0.0001,0.78,0.281,0.91,0.342,0.226,0.595,0.811,0.309,0.943,0.397,0.32,0.626,0.792,0.182,0.952,0.267,0.206,0.567
relu,"(100,20)",0.1,0.679,0.353,0.764,0.316,0.114,0.559,0.721,0.4,0.805,0.379,0.203,0.602,0.736,0.0,0.929,0.0,-0.125,0.464
relu,"(100,20)",0.01,0.737,0.278,0.856,0.298,0.14,0.567,0.766,0.364,0.871,0.386,0.245,0.618,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(100,20)",0.001,0.77,0.303,0.892,0.341,0.217,0.597,0.777,0.273,0.91,0.326,0.211,0.591,0.792,0.273,0.929,0.353,0.258,0.601
relu,"(100,20)",0.0001,0.766,0.228,0.904,0.275,0.153,0.566,0.785,0.255,0.924,0.313,0.214,0.589,0.774,0.273,0.905,0.333,0.213,0.589
relu,"(125,25)",0.1,0.703,0.278,0.813,0.271,0.088,0.545,0.732,0.382,0.824,0.367,0.199,0.603,0.755,0.182,0.905,0.235,0.111,0.543
relu,"(125,25)",0.01,0.756,0.281,0.88,0.324,0.193,0.58,0.796,0.327,0.919,0.401,0.3,0.623,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(125,25)",0.001,0.785,0.256,0.922,0.324,0.23,0.589,0.815,0.309,0.948,0.409,0.34,0.628,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(125,25)",0.0001,0.775,0.183,0.928,0.248,0.158,0.556,0.823,0.273,0.967,0.387,0.347,0.62,0.811,0.182,0.976,0.286,0.277,0.579
relu,"(150,30)",0.1,0.718,0.156,0.861,0.116,0.014,0.508,0.77,0.2,0.919,0.224,0.154,0.56,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(150,30)",0.01,0.761,0.328,0.874,0.344,0.222,0.601,0.792,0.345,0.91,0.406,0.295,0.627,0.755,0.364,0.857,0.381,0.229,0.61
relu,"(150,30)",0.001,0.804,0.328,0.928,0.387,0.307,0.628,0.796,0.273,0.933,0.354,0.266,0.603,0.792,0.273,0.929,0.353,0.258,0.601
relu,"(150,30)",0.0001,0.809,0.35,0.928,0.409,0.322,0.639,0.808,0.309,0.938,0.399,0.321,0.624,0.811,0.273,0.952,0.375,0.312,0.613
relu,"(175,35)",0.1,0.655,0.422,0.716,0.345,0.128,0.569,0.709,0.4,0.79,0.367,0.185,0.595,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(175,35)",0.01,0.78,0.4,0.88,0.421,0.297,0.64,0.792,0.418,0.89,0.455,0.331,0.654,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(175,35)",0.001,0.804,0.303,0.934,0.387,0.311,0.619,0.838,0.418,0.948,0.517,0.445,0.683,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(175,35)",0.0001,0.804,0.281,0.94,0.367,0.297,0.61,0.853,0.418,0.967,0.542,0.498,0.692,0.868,0.455,0.976,0.588,0.551,0.715
relu,"(200,40)",0.1,0.703,0.397,0.783,0.357,0.169,0.59,0.777,0.418,0.871,0.436,0.302,0.645,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(200,40)",0.01,0.78,0.353,0.892,0.397,0.277,0.622,0.77,0.364,0.876,0.396,0.257,0.62,0.774,0.273,0.905,0.333,0.213,0.589
relu,"(200,40)",0.001,0.804,0.306,0.934,0.382,0.297,0.62,0.8,0.309,0.929,0.387,0.294,0.619,0.792,0.273,0.929,0.353,0.258,0.601
relu,"(200,40)",0.0001,0.813,0.306,0.946,0.395,0.325,0.626,0.8,0.309,0.929,0.387,0.292,0.619,0.792,0.273,0.929,0.353,0.258,0.601
relu,"(225,45)",0.1,0.794,0.0,1.0,0.0,0.0,0.5,0.792,0.0,1.0,0.0,0.0,0.5,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(225,45)",0.01,0.77,0.328,0.886,0.364,0.238,0.607,0.774,0.273,0.905,0.33,0.21,0.589,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(225,45)",0.001,0.794,0.278,0.928,0.353,0.262,0.603,0.804,0.291,0.938,0.38,0.298,0.615,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(225,45)",0.0001,0.789,0.253,0.928,0.33,0.235,0.59,0.8,0.309,0.929,0.388,0.294,0.619,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(250,50)",0.1,0.794,0.0,1.0,0.0,0.0,0.5,0.792,0.0,1.0,0.0,0.0,0.5,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(250,50)",0.01,0.775,0.35,0.886,0.388,0.261,0.618,0.804,0.382,0.914,0.443,0.336,0.648,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(250,50)",0.001,0.794,0.281,0.928,0.358,0.268,0.604,0.819,0.327,0.948,0.424,0.354,0.637,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(250,50)",0.0001,0.809,0.303,0.94,0.392,0.311,0.621,0.823,0.345,0.948,0.442,0.37,0.647,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(275,55)",0.1,0.712,0.167,0.855,0.143,0.053,0.511,0.732,0.164,0.881,0.176,0.061,0.522,0.811,0.091,1.0,0.167,0.271,0.545
relu,"(275,55)",0.01,0.78,0.325,0.898,0.381,0.265,0.611,0.766,0.309,0.886,0.348,0.216,0.597,0.811,0.273,0.952,0.375,0.312,0.613
relu,"(275,55)",0.001,0.794,0.281,0.928,0.359,0.274,0.604,0.796,0.291,0.929,0.366,0.274,0.61,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(275,55)",0.0001,0.804,0.281,0.94,0.368,0.294,0.61,0.808,0.291,0.943,0.379,0.302,0.617,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(300,60)",0.1,0.746,0.161,0.897,0.171,0.074,0.529,0.792,0.2,0.948,0.233,0.172,0.574,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(300,60)",0.01,0.761,0.306,0.88,0.338,0.209,0.593,0.77,0.327,0.886,0.375,0.245,0.606,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(300,60)",0.001,0.794,0.308,0.922,0.37,0.283,0.615,0.796,0.309,0.924,0.384,0.284,0.616,0.774,0.364,0.881,0.4,0.264,0.622
relu,"(300,60)",0.0001,0.799,0.258,0.94,0.342,0.27,0.599,0.796,0.291,0.929,0.373,0.281,0.61,0.811,0.273,0.952,0.375,0.312,0.613
relu,"(25,12)",0.1,0.746,0.378,0.843,0.364,0.215,0.611,0.679,0.309,0.776,0.281,0.081,0.543,0.698,0.273,0.81,0.273,0.082,0.541
relu,"(25,12)",0.01,0.77,0.333,0.886,0.348,0.232,0.61,0.785,0.364,0.895,0.407,0.284,0.629,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(25,12)",0.001,0.756,0.256,0.886,0.299,0.169,0.571,0.774,0.345,0.886,0.378,0.247,0.616,0.774,0.364,0.881,0.4,0.264,0.622
relu,"(25,12)",0.0001,0.77,0.256,0.904,0.311,0.197,0.58,0.808,0.345,0.929,0.423,0.332,0.637,0.849,0.364,0.976,0.5,0.471,0.67
relu,"(50,25)",0.1,0.77,0.392,0.868,0.423,0.291,0.63,0.755,0.436,0.838,0.413,0.266,0.637,0.736,0.455,0.81,0.417,0.249,0.632
relu,"(50,25)",0.01,0.789,0.372,0.898,0.423,0.308,0.635,0.811,0.4,0.919,0.469,0.368,0.66,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(50,25)",0.001,0.794,0.347,0.91,0.411,0.306,0.629,0.819,0.364,0.938,0.453,0.37,0.651,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(50,25)",0.0001,0.818,0.372,0.934,0.453,0.369,0.653,0.826,0.382,0.943,0.475,0.398,0.662,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(75,37)",0.1,0.684,0.394,0.759,0.335,0.139,0.577,0.728,0.327,0.833,0.332,0.162,0.58,0.792,0.0,1.0,0.0,0.0,0.5
relu,"(75,37)",0.01,0.746,0.281,0.868,0.303,0.154,0.574,0.758,0.327,0.871,0.355,0.214,0.599,0.736,0.273,0.857,0.3,0.14,0.565
relu,"(75,37)",0.001,0.799,0.328,0.922,0.394,0.298,0.625,0.766,0.309,0.886,0.349,0.215,0.597,0.755,0.273,0.881,0.316,0.174,0.577
relu,"(75,37)",0.0001,0.804,0.303,0.934,0.387,0.303,0.618,0.774,0.273,0.905,0.326,0.207,0.589,0.774,0.273,0.905,0.333,0.213,0.589
relu,"(100,50)",0.1,0.732,0.325,0.837,0.334,0.167,0.581,0.743,0.291,0.862,0.323,0.17,0.576,0.792,0.0,1.0,0.0,0.0,0.5
