activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.742,0.369,0.837,0.374,0.212,0.603,0.762,0.418,0.852,0.421,0.272,0.635,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(25,)",0.01,0.78,0.35,0.892,0.403,0.279,0.621,0.774,0.4,0.871,0.423,0.283,0.636,0.755,0.364,0.857,0.381,0.229,0.61
relu,"(25,)",0.001,0.804,0.394,0.909,0.447,0.338,0.652,0.766,0.364,0.871,0.39,0.249,0.618,0.774,0.364,0.881,0.4,0.264,0.622
relu,"(25,)",0.0001,0.78,0.322,0.898,0.358,0.236,0.61,0.758,0.309,0.876,0.342,0.203,0.593,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(50,)",0.1,0.732,0.367,0.825,0.346,0.182,0.596,0.785,0.473,0.867,0.473,0.34,0.67,0.792,0.273,0.929,0.353,0.258,0.601
relu,"(50,)",0.01,0.771,0.35,0.88,0.383,0.248,0.615,0.8,0.418,0.9,0.465,0.349,0.659,0.755,0.364,0.857,0.381,0.229,0.61
relu,"(50,)",0.001,0.77,0.325,0.886,0.364,0.233,0.605,0.808,0.418,0.91,0.474,0.366,0.664,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(50,)",0.0001,0.78,0.325,0.898,0.373,0.251,0.611,0.8,0.364,0.914,0.427,0.32,0.639,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(75,)",0.1,0.732,0.389,0.819,0.361,0.195,0.604,0.774,0.509,0.843,0.482,0.341,0.676,0.774,0.455,0.857,0.455,0.312,0.656
relu,"(75,)",0.01,0.794,0.367,0.904,0.395,0.282,0.635,0.8,0.436,0.895,0.475,0.355,0.666,0.83,0.455,0.929,0.526,0.434,0.692
