activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.737,0.414,0.819,0.382,0.219,0.617,0.781,0.564,0.838,0.507,0.375,0.701,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(25,)",0.01,0.78,0.414,0.874,0.428,0.293,0.644,0.815,0.455,0.91,0.501,0.394,0.682,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(25,)",0.001,0.79,0.392,0.892,0.428,0.303,0.642,0.796,0.455,0.886,0.476,0.352,0.67,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(25,)",0.0001,0.799,0.389,0.904,0.434,0.319,0.646,0.789,0.273,0.924,0.343,0.244,0.598,0.755,0.182,0.905,0.235,0.111,0.543
relu,"(50,)",0.1,0.761,0.392,0.855,0.376,0.238,0.623,0.777,0.545,0.838,0.501,0.362,0.692,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(50,)",0.01,0.77,0.35,0.879,0.374,0.242,0.615,0.819,0.527,0.895,0.54,0.433,0.711,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(50,)",0.001,0.79,0.303,0.916,0.353,0.258,0.609,0.808,0.4,0.914,0.446,0.351,0.657,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(50,)",0.0001,0.794,0.256,0.934,0.312,0.238,0.595,0.811,0.327,0.938,0.399,0.315,0.633,0.868,0.455,0.976,0.588,0.551,0.715
relu,"(75,)",0.1,0.746,0.417,0.831,0.389,0.236,0.624,0.819,0.636,0.867,0.591,0.478,0.752,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(75,)",0.01,0.77,0.344,0.879,0.357,0.231,0.612,0.834,0.545,0.91,0.571,0.475,0.727,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(75,)",0.001,0.775,0.322,0.891,0.341,0.226,0.607,0.83,0.491,0.919,0.543,0.447,0.705,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(75,)",0.0001,0.78,0.3,0.903,0.336,0.225,0.602,0.857,0.527,0.943,0.598,0.525,0.735,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(100,)",0.1,0.732,0.439,0.807,0.391,0.227,0.623,0.796,0.509,0.871,0.506,0.382,0.69,0.774,0.364,0.881,0.4,0.264,0.622
relu,"(100,)",0.01,0.751,0.322,0.861,0.327,0.185,0.592,0.8,0.4,0.905,0.445,0.338,0.652,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(100,)",0.001,0.78,0.297,0.904,0.322,0.215,0.601,0.811,0.345,0.933,0.417,0.335,0.639,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(100,)",0.0001,0.789,0.319,0.91,0.349,0.249,0.615,0.808,0.327,0.933,0.399,0.316,0.63,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(125,)",0.1,0.732,0.322,0.837,0.318,0.156,0.58,0.785,0.473,0.867,0.47,0.337,0.67,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(125,)",0.01,0.766,0.3,0.886,0.313,0.189,0.593,0.83,0.473,0.924,0.528,0.439,0.698,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(125,)",0.001,0.79,0.372,0.898,0.391,0.285,0.635,0.826,0.418,0.933,0.487,0.415,0.676,0.868,0.455,0.976,0.588,0.551,0.715
