Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-13.4,8.1,0.7,0.889,0.946,0.832,0.895,0.785,0.889,0.736,0.327,0.843,0.331,0.171,0.585,0.717,0.364,0.81,0.348,0.168,0.587
linear,5,-13.4,8.1,0.7,0.889,0.946,0.832,0.895,0.785,0.889,0.736,0.327,0.843,0.331,0.171,0.585,0.717,0.364,0.81,0.348,0.168,0.587
linear,10,-13.4,8.1,0.7,0.889,0.946,0.832,0.895,0.785,0.889,0.736,0.327,0.843,0.331,0.171,0.585,0.717,0.364,0.81,0.348,0.168,0.587
linear,15,-13.4,8.1,0.7,0.889,0.946,0.832,0.895,0.785,0.889,0.736,0.327,0.843,0.331,0.171,0.585,0.717,0.364,0.81,0.348,0.168,0.587
