Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-5.6,4.0,0.9,0.925,0.922,0.928,0.925,0.85,0.925,0.792,0.4,0.895,0.447,0.326,0.648,0.774,0.364,0.881,0.4,0.264,0.622
linear,5,-5.6,4.0,0.9,0.925,0.922,0.928,0.925,0.85,0.925,0.792,0.4,0.895,0.447,0.326,0.648,0.774,0.364,0.881,0.4,0.264,0.622
linear,10,-5.6,4.0,0.9,0.925,0.922,0.928,0.925,0.85,0.925,0.792,0.4,0.895,0.447,0.326,0.648,0.774,0.364,0.881,0.4,0.264,0.622
linear,15,-5.6,4.0,0.9,0.925,0.922,0.928,0.925,0.85,0.925,0.792,0.4,0.895,0.447,0.326,0.648,0.774,0.364,0.881,0.4,0.264,0.622
