Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-8.1,5.4,0.5,0.895,0.934,0.855,0.899,0.794,0.895,0.796,0.545,0.862,0.525,0.397,0.704,0.811,0.636,0.857,0.583,0.465,0.747
linear,5,-8.1,5.4,0.5,0.895,0.934,0.855,0.899,0.794,0.895,0.796,0.545,0.862,0.525,0.397,0.704,0.811,0.636,0.857,0.583,0.465,0.747
linear,10,-8.1,5.4,0.5,0.895,0.934,0.855,0.899,0.794,0.895,0.796,0.545,0.862,0.525,0.397,0.704,0.811,0.636,0.857,0.583,0.465,0.747
linear,15,-8.1,5.4,0.5,0.895,0.934,0.855,0.899,0.794,0.895,0.796,0.545,0.862,0.525,0.397,0.704,0.811,0.636,0.857,0.583,0.465,0.747
