n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.933,0.892,0.973,0.928,0.875,0.933,0.869,0.65,0.967,0.748,0.688,0.808,0.885,0.625,1.0,0.769,0.732,0.812
200,None,0.5,0.926,0.919,0.933,0.926,0.856,0.926,0.862,0.7,0.933,0.756,0.667,0.817,0.846,0.625,0.944,0.714,0.624,0.785
200,None,0.75,0.933,0.919,0.947,0.931,0.869,0.933,0.838,0.675,0.911,0.719,0.612,0.793,0.769,0.625,0.833,0.625,0.458,0.729
200,None,None,0.893,0.919,0.867,0.897,0.791,0.893,0.808,0.65,0.878,0.678,0.544,0.764,0.846,0.75,0.889,0.75,0.639,0.819
400,None,0.25,0.94,0.906,0.973,0.936,0.887,0.94,0.869,0.65,0.967,0.753,0.687,0.808,0.923,0.75,1.0,0.857,0.822,0.875
400,None,0.5,0.94,0.919,0.96,0.936,0.887,0.94,0.862,0.7,0.933,0.754,0.665,0.817,0.885,0.75,0.944,0.8,0.723,0.847
400,None,0.75,0.92,0.906,0.933,0.917,0.842,0.92,0.815,0.65,0.889,0.685,0.558,0.769,0.808,0.75,0.833,0.706,0.566,0.792
400,None,None,0.913,0.919,0.907,0.914,0.828,0.913,0.808,0.675,0.867,0.683,0.546,0.771,0.846,0.75,0.889,0.75,0.639,0.819
600,None,0.25,0.94,0.906,0.973,0.936,0.887,0.94,0.869,0.625,0.978,0.744,0.69,0.801,0.923,0.75,1.0,0.857,0.822,0.875
600,None,0.5,0.933,0.906,0.96,0.929,0.87,0.933,0.854,0.675,0.933,0.739,0.645,0.804,0.885,0.75,0.944,0.8,0.723,0.847
600,None,0.75,0.92,0.906,0.933,0.918,0.842,0.92,0.808,0.65,0.878,0.676,0.543,0.764,0.846,0.75,0.889,0.75,0.639,0.819
600,None,None,0.9,0.892,0.907,0.899,0.801,0.9,0.8,0.65,0.867,0.664,0.525,0.758,0.846,0.75,0.889,0.75,0.639,0.819
800,None,0.25,0.94,0.906,0.973,0.936,0.887,0.94,0.869,0.625,0.978,0.739,0.689,0.801,0.923,0.75,1.0,0.857,0.822,0.875
800,None,0.5,0.933,0.906,0.96,0.929,0.87,0.933,0.854,0.675,0.933,0.739,0.645,0.804,0.885,0.75,0.944,0.8,0.723,0.847
800,None,0.75,0.913,0.906,0.92,0.911,0.829,0.913,0.815,0.675,0.878,0.691,0.562,0.776,0.846,0.75,0.889,0.75,0.639,0.819
800,None,None,0.9,0.892,0.907,0.899,0.801,0.9,0.8,0.625,0.878,0.654,0.517,0.751,0.846,0.75,0.889,0.75,0.639,0.819
1000,None,0.25,0.933,0.892,0.973,0.929,0.873,0.933,0.885,0.675,0.978,0.776,0.727,0.826,0.923,0.75,1.0,0.857,0.822,0.875
1000,None,0.5,0.926,0.906,0.947,0.923,0.855,0.926,0.862,0.7,0.933,0.754,0.665,0.817,0.885,0.75,0.944,0.8,0.723,0.847
1000,None,0.75,0.913,0.906,0.92,0.911,0.829,0.913,0.823,0.675,0.889,0.7,0.576,0.782,0.885,0.75,0.944,0.8,0.723,0.847
1000,None,None,0.893,0.892,0.893,0.893,0.789,0.893,0.785,0.625,0.856,0.637,0.487,0.74,0.846,0.75,0.889,0.75,0.639,0.819
