n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.926,0.89,0.96,0.921,0.856,0.925,0.892,0.7,0.978,0.797,0.744,0.839,0.808,0.5,0.944,0.615,0.52,0.722
200,None,0.5,0.899,0.864,0.933,0.893,0.804,0.899,0.862,0.65,0.956,0.737,0.666,0.803,0.846,0.625,0.944,0.714,0.624,0.785
200,None,0.75,0.899,0.89,0.907,0.897,0.807,0.899,0.823,0.65,0.9,0.689,0.576,0.775,0.846,0.625,0.944,0.714,0.624,0.785
200,None,None,0.872,0.906,0.839,0.878,0.751,0.872,0.808,0.6,0.9,0.649,0.531,0.75,0.808,0.5,0.944,0.615,0.52,0.722
400,None,0.25,0.912,0.877,0.947,0.907,0.827,0.912,0.869,0.65,0.967,0.747,0.689,0.808,0.846,0.625,0.944,0.714,0.624,0.785
400,None,0.5,0.912,0.891,0.933,0.91,0.83,0.912,0.846,0.625,0.944,0.707,0.63,0.785,0.846,0.625,0.944,0.714,0.624,0.785
400,None,0.75,0.906,0.906,0.907,0.907,0.818,0.906,0.823,0.65,0.9,0.685,0.573,0.775,0.846,0.625,0.944,0.714,0.624,0.785
400,None,None,0.886,0.891,0.879,0.886,0.775,0.885,0.831,0.625,0.922,0.689,0.589,0.774,0.808,0.5,0.944,0.615,0.52,0.722
600,None,0.25,0.912,0.877,0.947,0.908,0.828,0.912,0.862,0.625,0.967,0.733,0.668,0.796,0.846,0.625,0.944,0.714,0.624,0.785
600,None,0.5,0.912,0.905,0.92,0.911,0.832,0.912,0.854,0.65,0.944,0.724,0.65,0.797,0.885,0.75,0.944,0.8,0.723,0.847
600,None,0.75,0.913,0.919,0.907,0.913,0.834,0.913,0.838,0.65,0.922,0.705,0.607,0.786,0.846,0.625,0.944,0.714,0.624,0.785
600,None,None,0.886,0.905,0.867,0.888,0.782,0.886,0.831,0.65,0.911,0.696,0.593,0.781,0.846,0.625,0.944,0.714,0.624,0.785
800,None,0.25,0.926,0.891,0.96,0.923,0.856,0.926,0.862,0.625,0.967,0.733,0.668,0.796,0.846,0.625,0.944,0.714,0.624,0.785
800,None,0.5,0.906,0.89,0.92,0.903,0.819,0.905,0.854,0.65,0.944,0.725,0.647,0.797,0.885,0.75,0.944,0.8,0.723,0.847
800,None,0.75,0.899,0.89,0.907,0.897,0.807,0.899,0.831,0.625,0.922,0.688,0.587,0.774,0.846,0.625,0.944,0.714,0.624,0.785
800,None,None,0.892,0.89,0.893,0.892,0.795,0.892,0.823,0.625,0.911,0.679,0.573,0.768,0.846,0.625,0.944,0.714,0.624,0.785
1000,None,0.25,0.919,0.891,0.947,0.916,0.841,0.919,0.869,0.625,0.978,0.744,0.688,0.801,0.846,0.625,0.944,0.714,0.624,0.785
1000,None,0.5,0.906,0.89,0.92,0.903,0.819,0.905,0.854,0.65,0.944,0.724,0.641,0.797,0.846,0.625,0.944,0.714,0.624,0.785
1000,None,0.75,0.892,0.877,0.907,0.89,0.793,0.892,0.846,0.675,0.922,0.726,0.629,0.799,0.846,0.625,0.944,0.714,0.624,0.785
1000,None,None,0.899,0.89,0.907,0.897,0.807,0.899,0.831,0.625,0.922,0.689,0.589,0.774,0.846,0.625,0.944,0.714,0.624,0.785
