Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-1.5,0.5,-0.5,0.505,0.74,0.433,0.408,0.153,0.587,0.527,0.789,0.443,0.446,0.204,0.616,0.506,0.789,0.417,0.435,0.183,0.603
RBF,1,0.01,-1.6,1.0,-0.1,0.795,0.531,0.875,0.545,0.416,0.703,0.78,0.568,0.847,0.553,0.41,0.708,0.772,0.579,0.833,0.55,0.399,0.706
RBF,1,0.001,-1.3,2.0,0.1,0.821,0.259,0.992,0.398,0.426,0.625,0.772,0.232,0.943,0.328,0.252,0.587,0.759,0.211,0.933,0.296,0.204,0.572
RBF,1,0.0001,-1.1,0.9,-0.0,0.796,0.166,0.988,0.274,0.304,0.577,0.797,0.211,0.983,0.333,0.345,0.597,0.797,0.263,0.967,0.385,0.346,0.615
RBF,1,1e-05,0.6,1.0,0.8,0.76,0.315,0.896,0.362,0.238,0.606,0.782,0.411,0.9,0.474,0.355,0.655,0.759,0.0,1.0,0.0,0.0,0.5
RBF,5,0.1,-1.6,0.3,-0.5,0.518,0.714,0.458,0.407,0.149,0.586,0.552,0.779,0.48,0.456,0.224,0.629,0.595,0.789,0.533,0.484,0.277,0.661
RBF,5,0.01,-2.8,1.4,-0.1,0.744,0.464,0.829,0.453,0.29,0.646,0.739,0.526,0.807,0.489,0.32,0.666,0.734,0.526,0.8,0.488,0.311,0.663
RBF,5,0.001,-1.7,2.7,0.0,0.808,0.313,0.958,0.431,0.393,0.636,0.772,0.337,0.91,0.406,0.296,0.623,0.785,0.421,0.9,0.485,0.359,0.661
RBF,5,0.0001,-1.2,1.9,0.4,0.802,0.166,0.996,0.28,0.342,0.581,0.79,0.179,0.983,0.29,0.306,0.581,0.785,0.211,0.967,0.32,0.286,0.589
RBF,5,1e-05,-1.1,0.9,0.1,0.786,0.163,0.975,0.247,0.271,0.569,0.795,0.221,0.977,0.321,0.343,0.599,0.797,0.158,1.0,0.273,0.353,0.579
RBF,10,0.1,-1.6,0.3,-0.5,0.518,0.714,0.458,0.407,0.149,0.586,0.552,0.779,0.48,0.456,0.224,0.629,0.595,0.789,0.533,0.484,0.277,0.661
RBF,10,0.01,-3.4,1.6,-0.1,0.719,0.465,0.796,0.431,0.249,0.63,0.716,0.516,0.78,0.464,0.278,0.648,0.772,0.632,0.817,0.571,0.422,0.724
RBF,10,0.001,-2.2,2.9,0.3,0.814,0.326,0.962,0.442,0.408,0.644,0.777,0.295,0.93,0.378,0.287,0.612,0.785,0.368,0.917,0.452,0.339,0.643
RBF,10,0.0001,-1.3,2.4,0.3,0.815,0.232,0.992,0.366,0.4,0.612,0.77,0.221,0.943,0.313,0.238,0.582,0.772,0.263,0.933,0.357,0.264,0.598
RBF,10,1e-05,-1.1,1.0,0.1,0.796,0.139,0.996,0.236,0.303,0.567,0.797,0.158,1.0,0.273,0.353,0.579,0.797,0.158,1.0,0.273,0.353,0.579
