Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-1.3,0.4,-0.5,0.505,0.781,0.421,0.422,0.179,0.601,0.509,0.768,0.427,0.43,0.171,0.598,0.506,0.789,0.417,0.435,0.183,0.603
RBF,1,0.01,-1.5,0.9,0.0,0.802,0.463,0.904,0.518,0.404,0.684,0.782,0.568,0.85,0.557,0.413,0.709,0.772,0.579,0.833,0.55,0.399,0.706
RBF,1,0.001,-1.3,2.0,0.2,0.821,0.259,0.992,0.398,0.426,0.625,0.785,0.221,0.963,0.331,0.294,0.592,0.759,0.211,0.933,0.296,0.204,0.572
RBF,1,0.0001,-1.1,0.9,-0.1,0.802,0.261,0.967,0.371,0.33,0.614,0.797,0.389,0.927,0.48,0.379,0.658,0.797,0.421,0.917,0.5,0.389,0.669
RBF,1,1e-05,0.6,1.0,0.8,0.789,0.247,0.954,0.339,0.302,0.6,0.795,0.347,0.937,0.438,0.371,0.642,0.759,0.0,1.0,0.0,0.0,0.5
RBF,5,0.1,-1.4,0.4,-0.5,0.527,0.768,0.454,0.43,0.192,0.611,0.519,0.758,0.443,0.432,0.176,0.601,0.506,0.737,0.433,0.418,0.149,0.585
RBF,5,0.01,-2.3,1.1,-0.1,0.748,0.425,0.846,0.436,0.278,0.635,0.749,0.579,0.803,0.526,0.361,0.691,0.722,0.579,0.767,0.5,0.318,0.673
RBF,5,0.001,-1.7,2.5,0.1,0.808,0.341,0.95,0.454,0.396,0.645,0.754,0.337,0.887,0.387,0.251,0.612,0.772,0.421,0.883,0.471,0.332,0.652
RBF,5,0.0001,-1.2,2.2,0.2,0.805,0.26,0.971,0.381,0.375,0.615,0.762,0.284,0.913,0.363,0.252,0.599,0.759,0.316,0.9,0.387,0.257,0.608
RBF,5,1e-05,-1.0,0.8,-0.0,0.792,0.218,0.967,0.317,0.301,0.592,0.797,0.274,0.963,0.38,0.364,0.619,0.81,0.316,0.967,0.444,0.4,0.641
RBF,10,0.1,-1.4,0.4,-0.5,0.527,0.768,0.454,0.43,0.192,0.611,0.519,0.758,0.443,0.432,0.176,0.601,0.506,0.737,0.433,0.418,0.149,0.585
RBF,10,0.01,-2.7,1.1,-0.3,0.703,0.575,0.742,0.469,0.284,0.658,0.671,0.611,0.69,0.471,0.265,0.65,0.671,0.632,0.683,0.48,0.276,0.657
RBF,10,0.001,-2.2,2.9,0.1,0.795,0.369,0.925,0.459,0.363,0.647,0.719,0.421,0.813,0.419,0.238,0.617,0.709,0.474,0.783,0.439,0.245,0.629
RBF,10,0.0001,-1.3,2.8,0.3,0.805,0.219,0.983,0.344,0.362,0.601,0.767,0.221,0.94,0.31,0.23,0.581,0.759,0.263,0.917,0.345,0.231,0.59
RBF,10,1e-05,-1.1,1.0,-0.1,0.802,0.275,0.962,0.384,0.333,0.619,0.792,0.379,0.923,0.467,0.363,0.651,0.772,0.368,0.9,0.438,0.309,0.634
