activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(225,)",0.0001,0.916,0.952,0.88,0.918,0.835,0.916,0.815,0.855,0.805,0.656,0.568,0.83,0.83,0.909,0.81,0.69,0.615,0.859
relu,"(250,)",0.1,0.895,0.946,0.844,0.9,0.796,0.895,0.785,0.727,0.8,0.582,0.466,0.764,0.755,0.636,0.786,0.519,0.373,0.711
relu,"(250,)",0.01,0.922,0.964,0.88,0.925,0.847,0.922,0.804,0.836,0.795,0.639,0.543,0.816,0.736,0.727,0.738,0.533,0.394,0.733
relu,"(250,)",0.001,0.922,0.964,0.88,0.925,0.847,0.922,0.8,0.855,0.786,0.64,0.546,0.82,0.83,0.909,0.81,0.69,0.615,0.859
relu,"(250,)",0.0001,0.913,0.958,0.868,0.916,0.83,0.913,0.815,0.873,0.8,0.662,0.576,0.836,0.811,0.909,0.786,0.667,0.588,0.847
relu,"(275,)",0.1,0.892,0.964,0.819,0.899,0.792,0.892,0.77,0.873,0.743,0.611,0.513,0.808,0.774,0.818,0.762,0.6,0.491,0.79
relu,"(275,)",0.01,0.928,0.976,0.88,0.931,0.861,0.928,0.777,0.818,0.767,0.603,0.496,0.792,0.792,0.909,0.762,0.645,0.561,0.835
relu,"(275,)",0.001,0.928,0.97,0.886,0.931,0.859,0.928,0.811,0.891,0.79,0.662,0.579,0.841,0.811,0.909,0.786,0.667,0.588,0.847
relu,"(275,)",0.0001,0.922,0.958,0.886,0.924,0.846,0.922,0.804,0.891,0.781,0.654,0.569,0.836,0.811,0.909,0.786,0.667,0.588,0.847
relu,"(300,)",0.1,0.904,0.958,0.85,0.909,0.815,0.904,0.792,0.855,0.776,0.63,0.535,0.815,0.755,0.727,0.762,0.552,0.419,0.745
relu,"(300,)",0.01,0.916,0.964,0.868,0.92,0.836,0.916,0.789,0.836,0.776,0.621,0.521,0.806,0.774,0.818,0.762,0.6,0.491,0.79
relu,"(300,)",0.001,0.916,0.958,0.874,0.919,0.836,0.916,0.792,0.836,0.781,0.627,0.527,0.809,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(300,)",0.0001,0.91,0.952,0.868,0.913,0.824,0.91,0.789,0.818,0.781,0.616,0.512,0.8,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(25,5)",0.1,0.892,0.958,0.826,0.899,0.793,0.892,0.785,0.782,0.786,0.602,0.49,0.784,0.811,0.818,0.81,0.643,0.545,0.814
relu,"(25,5)",0.01,0.928,0.97,0.886,0.931,0.86,0.928,0.819,0.873,0.805,0.668,0.584,0.839,0.83,0.909,0.81,0.69,0.615,0.859
relu,"(25,5)",0.001,0.916,0.958,0.874,0.919,0.837,0.916,0.796,0.818,0.79,0.625,0.523,0.804,0.811,0.909,0.786,0.667,0.588,0.847
relu,"(25,5)",0.0001,0.88,0.91,0.85,0.882,0.764,0.88,0.781,0.782,0.781,0.596,0.484,0.781,0.811,0.818,0.81,0.643,0.545,0.814
relu,"(50,10)",0.1,0.846,0.861,0.832,0.846,0.695,0.846,0.789,0.836,0.776,0.62,0.522,0.806,0.736,0.727,0.738,0.533,0.394,0.733
relu,"(50,10)",0.01,0.925,0.958,0.892,0.927,0.853,0.925,0.777,0.855,0.757,0.615,0.514,0.806,0.811,0.909,0.786,0.667,0.588,0.847
relu,"(50,10)",0.001,0.928,0.958,0.898,0.93,0.858,0.928,0.785,0.873,0.762,0.627,0.533,0.817,0.792,0.909,0.762,0.645,0.561,0.835
relu,"(50,10)",0.0001,0.916,0.946,0.886,0.918,0.835,0.916,0.789,0.891,0.762,0.637,0.547,0.826,0.792,0.909,0.762,0.645,0.561,0.835
relu,"(75,15)",0.1,0.895,0.946,0.843,0.9,0.794,0.895,0.755,0.782,0.748,0.569,0.447,0.765,0.774,0.818,0.762,0.6,0.491,0.79
relu,"(75,15)",0.01,0.931,0.97,0.892,0.933,0.865,0.931,0.796,0.745,0.81,0.603,0.489,0.777,0.774,0.727,0.786,0.571,0.446,0.756
relu,"(75,15)",0.001,0.922,0.964,0.88,0.925,0.847,0.922,0.811,0.818,0.81,0.642,0.546,0.814,0.849,0.909,0.833,0.714,0.645,0.871
