n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.77,0.013,1.0,0.025,0.045,0.507,0.772,0.074,0.993,0.133,0.182,0.534,0.759,0.053,0.983,0.095,0.098,0.518
200,None,0.5,0.773,0.055,0.992,0.1,0.139,0.523,0.762,0.063,0.983,0.111,0.13,0.523,0.785,0.105,1.0,0.19,0.286,0.553
200,None,0.75,0.776,0.07,0.992,0.124,0.159,0.531,0.765,0.074,0.983,0.129,0.147,0.529,0.772,0.105,0.983,0.182,0.198,0.544
200,None,None,0.786,0.096,0.996,0.165,0.219,0.546,0.759,0.105,0.967,0.172,0.152,0.536,0.785,0.158,0.983,0.261,0.275,0.571
400,None,0.25,0.776,0.04,1.0,0.075,0.136,0.52,0.77,0.063,0.993,0.115,0.162,0.528,0.759,0.053,0.983,0.095,0.098,0.518
400,None,0.5,0.764,0.013,0.992,0.024,0.008,0.502,0.767,0.074,0.987,0.129,0.157,0.53,0.759,0.053,0.983,0.095,0.098,0.518
400,None,0.75,0.773,0.055,0.992,0.099,0.121,0.523,0.762,0.074,0.98,0.128,0.148,0.527,0.772,0.105,0.983,0.182,0.198,0.544
400,None,None,0.773,0.054,0.992,0.096,0.124,0.523,0.759,0.095,0.97,0.157,0.143,0.532,0.785,0.158,0.983,0.261,0.275,0.571
600,None,0.25,0.78,0.054,1.0,0.102,0.184,0.527,0.765,0.042,0.993,0.078,0.112,0.518,0.759,0.053,0.983,0.095,0.098,0.518
600,None,0.5,0.767,0.027,0.992,0.049,0.054,0.509,0.765,0.074,0.983,0.126,0.146,0.529,0.759,0.053,0.983,0.095,0.098,0.518
600,None,0.75,0.773,0.053,0.992,0.096,0.119,0.522,0.754,0.053,0.977,0.092,0.091,0.515,0.759,0.053,0.983,0.095,0.098,0.518
600,None,None,0.773,0.053,0.992,0.092,0.096,0.522,0.762,0.116,0.967,0.188,0.168,0.541,0.759,0.053,0.983,0.095,0.098,0.518
800,None,0.25,0.78,0.054,1.0,0.102,0.184,0.527,0.762,0.042,0.99,0.077,0.092,0.516,0.772,0.105,0.983,0.182,0.198,0.544
800,None,0.5,0.767,0.013,0.996,0.025,0.032,0.505,0.765,0.074,0.983,0.128,0.132,0.529,0.759,0.053,0.983,0.095,0.098,0.518
800,None,0.75,0.78,0.081,0.992,0.143,0.189,0.536,0.754,0.053,0.977,0.092,0.09,0.515,0.772,0.105,0.983,0.182,0.198,0.544
800,None,None,0.773,0.053,0.992,0.092,0.096,0.522,0.757,0.095,0.967,0.156,0.126,0.531,0.759,0.053,0.983,0.095,0.098,0.518
1000,None,0.25,0.78,0.054,1.0,0.102,0.184,0.527,0.762,0.042,0.99,0.077,0.092,0.516,0.772,0.105,0.983,0.182,0.198,0.544
1000,None,0.5,0.767,0.027,0.992,0.049,0.054,0.509,0.765,0.074,0.983,0.128,0.141,0.529,0.759,0.053,0.983,0.095,0.098,0.518
1000,None,0.75,0.78,0.081,0.992,0.143,0.189,0.536,0.762,0.084,0.977,0.144,0.154,0.53,0.772,0.105,0.983,0.182,0.198,0.544
1000,None,None,0.773,0.053,0.992,0.092,0.096,0.522,0.754,0.084,0.967,0.14,0.111,0.525,0.759,0.053,0.983,0.095,0.098,0.518
