n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.786,0.138,0.983,0.224,0.248,0.561,0.795,0.158,0.997,0.267,0.325,0.577,0.81,0.211,1.0,0.348,0.41,0.605
200,None,0.5,0.792,0.151,0.987,0.25,0.284,0.569,0.78,0.147,0.98,0.24,0.25,0.564,0.81,0.263,0.983,0.4,0.398,0.623
200,None,0.75,0.786,0.167,0.975,0.251,0.23,0.571,0.78,0.158,0.977,0.254,0.248,0.567,0.797,0.263,0.967,0.385,0.346,0.615
200,None,None,0.786,0.18,0.971,0.26,0.228,0.575,0.785,0.158,0.983,0.26,0.282,0.571,0.785,0.211,0.967,0.32,0.286,0.589
400,None,0.25,0.786,0.124,0.987,0.201,0.223,0.556,0.792,0.147,0.997,0.251,0.319,0.572,0.797,0.211,0.983,0.333,0.34,0.597
400,None,0.5,0.792,0.178,0.979,0.279,0.286,0.579,0.782,0.168,0.977,0.269,0.264,0.573,0.797,0.211,0.983,0.333,0.34,0.597
400,None,0.75,0.786,0.179,0.971,0.27,0.259,0.575,0.78,0.158,0.977,0.254,0.248,0.567,0.81,0.263,0.983,0.4,0.398,0.623
400,None,None,0.783,0.166,0.971,0.254,0.244,0.568,0.78,0.147,0.98,0.242,0.251,0.564,0.797,0.211,0.983,0.333,0.34,0.597
600,None,0.25,0.786,0.11,0.992,0.187,0.217,0.551,0.785,0.116,0.997,0.201,0.27,0.556,0.797,0.211,0.983,0.333,0.34,0.597
600,None,0.5,0.792,0.165,0.983,0.265,0.284,0.574,0.78,0.158,0.977,0.254,0.248,0.567,0.797,0.211,0.983,0.333,0.34,0.597
600,None,0.75,0.786,0.166,0.975,0.257,0.257,0.57,0.777,0.147,0.977,0.24,0.235,0.562,0.797,0.211,0.983,0.333,0.34,0.597
600,None,None,0.783,0.166,0.971,0.254,0.244,0.568,0.785,0.179,0.977,0.282,0.276,0.578,0.785,0.211,0.967,0.32,0.286,0.589
800,None,0.25,0.786,0.11,0.992,0.187,0.217,0.551,0.787,0.126,0.997,0.219,0.29,0.561,0.797,0.211,0.983,0.333,0.34,0.597
800,None,0.5,0.789,0.151,0.983,0.246,0.266,0.567,0.78,0.158,0.977,0.252,0.247,0.567,0.797,0.211,0.983,0.333,0.34,0.597
800,None,0.75,0.786,0.166,0.975,0.257,0.257,0.57,0.775,0.137,0.977,0.225,0.222,0.557,0.785,0.211,0.967,0.32,0.286,0.589
800,None,None,0.786,0.179,0.971,0.27,0.259,0.575,0.78,0.158,0.977,0.254,0.248,0.567,0.785,0.211,0.967,0.32,0.286,0.589
1000,None,0.25,0.786,0.11,0.992,0.187,0.217,0.551,0.787,0.126,0.997,0.219,0.29,0.561,0.797,0.211,0.983,0.333,0.34,0.597
1000,None,0.5,0.783,0.151,0.975,0.241,0.241,0.563,0.777,0.147,0.977,0.237,0.231,0.562,0.797,0.211,0.983,0.333,0.34,0.597
1000,None,0.75,0.789,0.179,0.975,0.273,0.272,0.577,0.777,0.147,0.977,0.239,0.235,0.562,0.785,0.211,0.967,0.32,0.286,0.589
1000,None,None,0.783,0.166,0.971,0.254,0.244,0.568,0.78,0.158,0.977,0.255,0.251,0.567,0.785,0.211,0.967,0.32,0.286,0.589
