Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-2.0,5.6,-0.5,0.789,0.633,0.851,0.619,0.506,0.742,0.777,0.575,0.867,0.611,0.462,0.721,0.731,0.5,0.833,0.533,0.347,0.667
poly,1,2,0.1,1,-2.1,8.3,0.0,0.827,0.533,0.946,0.616,0.556,0.74,0.862,0.7,0.933,0.753,0.669,0.817,0.846,0.625,0.944,0.714,0.624,0.785
poly,1,2,0.1,2,-2.5,8.3,-0.1,0.836,0.6,0.932,0.645,0.591,0.766,0.869,0.75,0.922,0.777,0.693,0.836,0.846,0.75,0.889,0.75,0.639,0.819
poly,1,2,0.1,3,-2.7,8.2,-0.1,0.836,0.6,0.932,0.645,0.591,0.766,0.869,0.775,0.911,0.782,0.7,0.843,0.885,0.875,0.889,0.824,0.741,0.882
poly,1,2,0.1,4,-3.1,8.2,-0.2,0.827,0.6,0.919,0.636,0.576,0.76,0.862,0.775,0.9,0.775,0.681,0.838,0.885,0.875,0.889,0.824,0.741,0.882
poly,1,2,0.01,0,-1.0,0.1,-0.9,0.845,0.733,0.89,0.723,0.633,0.812,0.792,0.525,0.911,0.61,0.49,0.718,0.808,0.625,0.889,0.667,0.535,0.757
poly,1,2,0.01,1,-2.1,3.2,0.1,0.846,0.567,0.96,0.629,0.615,0.763,0.815,0.65,0.889,0.681,0.555,0.769,0.769,0.625,0.833,0.625,0.458,0.729
poly,1,2,0.01,2,-2.7,4.3,0.3,0.836,0.533,0.96,0.616,0.587,0.747,0.754,0.575,0.833,0.588,0.414,0.704,0.731,0.5,0.833,0.533,0.347,0.667
poly,1,2,0.01,3,-3.1,4.8,0.4,0.837,0.567,0.947,0.639,0.598,0.757,0.754,0.55,0.844,0.574,0.406,0.697,0.731,0.5,0.833,0.533,0.347,0.667
poly,1,2,0.01,4,-3.4,5.2,0.3,0.836,0.6,0.932,0.668,0.599,0.766,0.785,0.675,0.833,0.657,0.501,0.754,0.731,0.5,0.833,0.533,0.347,0.667
