Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,5,2,0.1,0,-3.3,4.7,0.2,0.964,0.952,0.976,0.963,0.93,0.964,0.755,0.255,0.886,0.301,0.164,0.57,0.736,0.182,0.881,0.222,0.075,0.531
poly,5,2,0.1,1,-4.2,3.9,0.3,0.961,0.964,0.958,0.961,0.924,0.961,0.811,0.382,0.924,0.456,0.359,0.653,0.811,0.364,0.929,0.444,0.35,0.646
poly,5,2,0.1,2,-4.8,4.1,0.3,0.955,0.964,0.945,0.955,0.912,0.955,0.808,0.382,0.919,0.448,0.346,0.65,0.811,0.364,0.929,0.444,0.35,0.646
poly,5,2,0.1,3,-5.1,4.2,0.5,0.949,0.946,0.952,0.948,0.9,0.949,0.811,0.382,0.924,0.453,0.355,0.653,0.811,0.364,0.929,0.444,0.35,0.646
poly,5,2,0.1,4,-5.4,4.4,0.5,0.949,0.946,0.952,0.948,0.9,0.949,0.811,0.382,0.924,0.453,0.355,0.653,0.811,0.364,0.929,0.444,0.35,0.646
poly,5,2,0.01,0,-2.2,4.6,-0.1,0.919,0.88,0.958,0.915,0.843,0.919,0.781,0.382,0.886,0.42,0.29,0.634,0.774,0.455,0.857,0.455,0.312,0.656
poly,5,2,0.01,1,-5.4,4.0,0.5,0.928,0.934,0.921,0.928,0.859,0.928,0.789,0.436,0.881,0.46,0.333,0.659,0.755,0.364,0.857,0.381,0.229,0.61
poly,5,2,0.01,2,-7.5,6.3,-0.0,0.91,0.958,0.861,0.914,0.828,0.91,0.698,0.491,0.752,0.402,0.216,0.622,0.717,0.455,0.786,0.4,0.221,0.62
poly,5,2,0.01,3,-9.1,7.8,0.4,0.907,0.934,0.879,0.909,0.82,0.907,0.743,0.436,0.824,0.413,0.251,0.63,0.736,0.364,0.833,0.364,0.197,0.598
poly,5,2,0.01,4,-10.4,9.2,0.4,0.907,0.934,0.879,0.909,0.821,0.907,0.728,0.4,0.814,0.375,0.205,0.607,0.736,0.364,0.833,0.364,0.197,0.598
poly,5,2,0.001,0,-1.0,1.0,-0.9,0.678,0.988,0.367,0.76,0.452,0.677,0.472,0.909,0.357,0.424,0.236,0.633,0.396,0.909,0.262,0.385,0.166,0.585
poly,5,2,0.001,1,-3.2,3.2,-0.4,0.84,0.97,0.71,0.861,0.708,0.84,0.649,0.836,0.6,0.499,0.355,0.718,0.66,0.818,0.619,0.5,0.355,0.719
poly,5,2,0.001,2,-4.4,4.4,0.3,0.858,0.849,0.867,0.857,0.719,0.858,0.838,0.782,0.852,0.667,0.575,0.817,0.849,0.818,0.857,0.692,0.608,0.838
poly,5,2,0.001,3,-5.0,4.9,0.3,0.864,0.855,0.873,0.864,0.732,0.864,0.83,0.8,0.838,0.664,0.571,0.819,0.849,0.818,0.857,0.692,0.608,0.838
poly,5,2,0.001,4,-5.5,5.4,-0.3,0.852,0.958,0.746,0.868,0.725,0.852,0.709,0.818,0.681,0.541,0.412,0.75,0.736,0.818,0.714,0.562,0.441,0.766
poly,5,3,0.1,0,-5.3,10.7,0.1,0.949,0.976,0.922,0.951,0.9,0.949,0.83,0.745,0.852,0.645,0.545,0.799,0.811,0.636,0.857,0.583,0.465,0.747
poly,5,3,0.1,1,-3.8,7.1,0.3,0.967,0.958,0.976,0.966,0.936,0.967,0.815,0.382,0.929,0.462,0.37,0.655,0.811,0.273,0.952,0.375,0.312,0.613
poly,5,3,0.1,2,-4.0,4.9,0.2,0.961,0.964,0.958,0.961,0.924,0.961,0.796,0.436,0.89,0.465,0.344,0.663,0.792,0.364,0.905,0.421,0.304,0.634
poly,5,3,0.1,3,-4.3,4.5,0.3,0.958,0.958,0.958,0.958,0.918,0.958,0.796,0.4,0.9,0.444,0.329,0.65,0.811,0.364,0.929,0.444,0.35,0.646
poly,5,3,0.1,4,-4.5,4.5,0.4,0.955,0.952,0.958,0.955,0.911,0.955,0.808,0.364,0.924,0.438,0.341,0.644,0.811,0.364,0.929,0.444,0.35,0.646
poly,5,3,0.01,0,-2.2,13.7,-0.5,0.897,0.916,0.879,0.9,0.799,0.897,0.819,0.909,0.795,0.677,0.6,0.852,0.83,0.909,0.81,0.69,0.615,0.859
poly,5,3,0.01,1,-5.3,4.5,0.5,0.943,0.94,0.946,0.942,0.889,0.943,0.804,0.364,0.919,0.433,0.33,0.641,0.792,0.364,0.905,0.421,0.304,0.634
poly,5,3,0.01,2,-6.3,5.1,0.6,0.937,0.934,0.94,0.936,0.878,0.937,0.789,0.345,0.905,0.403,0.286,0.625,0.792,0.364,0.905,0.421,0.304,0.634
poly,5,3,0.01,3,-7.6,5.9,0.6,0.925,0.928,0.922,0.925,0.854,0.925,0.785,0.364,0.895,0.411,0.287,0.629,0.792,0.364,0.905,0.421,0.304,0.634
poly,5,3,0.01,4,-8.7,7.2,0.4,0.922,0.946,0.897,0.924,0.85,0.922,0.747,0.4,0.838,0.397,0.239,0.619,0.717,0.364,0.81,0.348,0.168,0.587
poly,5,3,0.001,0,-1.0,0.6,-0.6,0.533,0.261,0.806,0.232,0.129,0.533,0.709,0.309,0.814,0.215,0.14,0.562,0.792,0.0,1.0,0.0,0.0,0.5
poly,5,3,0.001,1,-3.7,3.6,-0.4,0.849,0.976,0.722,0.869,0.726,0.849,0.672,0.818,0.633,0.51,0.369,0.726,0.679,0.818,0.643,0.514,0.376,0.731
poly,5,3,0.001,2,-6.1,6.7,-0.3,0.864,0.964,0.764,0.878,0.748,0.864,0.728,0.818,0.705,0.558,0.435,0.761,0.755,0.818,0.738,0.581,0.465,0.778
poly,5,3,0.001,3,-8.4,9.5,-0.1,0.87,0.922,0.819,0.877,0.753,0.87,0.74,0.709,0.748,0.527,0.389,0.728,0.755,0.727,0.762,0.552,0.419,0.745
poly,5,3,0.001,4,-10.6,13.6,0.2,0.879,0.916,0.843,0.884,0.765,0.879,0.751,0.582,0.795,0.487,0.34,0.689,0.774,0.636,0.81,0.538,0.401,0.723
poly,10,2,0.1,0,-3.3,4.7,0.2,0.964,0.952,0.976,0.963,0.93,0.964,0.755,0.255,0.886,0.301,0.164,0.57,0.736,0.182,0.881,0.222,0.075,0.531
poly,10,2,0.1,1,-4.2,3.9,0.3,0.961,0.964,0.958,0.961,0.924,0.961,0.811,0.382,0.924,0.456,0.359,0.653,0.811,0.364,0.929,0.444,0.35,0.646
