Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-1.0,0.5,-0.3,0.691,0.4,0.81,0.405,0.243,0.605,0.492,0.4,0.533,0.33,-0.06,0.467,0.5,0.375,0.556,0.316,-0.065,0.465
linear,5,-1.0,0.5,-0.3,0.691,0.4,0.81,0.405,0.243,0.605,0.492,0.4,0.533,0.33,-0.06,0.467,0.5,0.375,0.556,0.316,-0.065,0.465
linear,10,-1.0,0.5,-0.3,0.691,0.4,0.81,0.405,0.243,0.605,0.492,0.4,0.533,0.33,-0.06,0.467,0.5,0.375,0.556,0.316,-0.065,0.465
linear,15,-1.0,0.5,-0.3,0.691,0.4,0.81,0.405,0.243,0.605,0.492,0.4,0.533,0.33,-0.06,0.467,0.5,0.375,0.556,0.316,-0.065,0.465
