Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-1.6,1.4,-0.1,0.665,0.606,0.683,0.455,0.255,0.645,0.638,0.516,0.677,0.407,0.172,0.596,0.62,0.579,0.633,0.423,0.184,0.606
RBF,1,0.01,-1.7,1.2,0.5,0.792,0.177,0.979,0.284,0.287,0.578,0.785,0.168,0.98,0.271,0.273,0.574,0.785,0.158,0.983,0.261,0.275,0.571
RBF,1,0.001,-1.4,1.3,-0.1,0.783,0.287,0.933,0.374,0.286,0.61,0.808,0.305,0.967,0.433,0.394,0.636,0.81,0.316,0.967,0.444,0.4,0.641
RBF,1,0.0001,0.4,1.0,0.8,0.786,0.11,0.992,0.187,0.256,0.551,0.8,0.168,1.0,0.281,0.358,0.584,0.759,0.0,1.0,0.0,0.0,0.5
RBF,1,1e-05,0.9,1.0,0.9,0.233,1.0,0.0,0.378,0.0,0.5,0.241,1.0,0.0,0.388,0.0,0.5,0.759,0.0,1.0,0.0,0.0,0.5
RBF,5,0.1,-2.7,1.5,-0.2,0.594,0.661,0.575,0.426,0.2,0.618,0.529,0.421,0.563,0.301,-0.013,0.492,0.506,0.421,0.533,0.291,-0.039,0.477
RBF,5,0.01,-2.5,1.5,0.8,0.786,0.137,0.983,0.226,0.255,0.56,0.777,0.095,0.993,0.164,0.225,0.544,0.759,0.053,0.983,0.095,0.098,0.518
RBF,5,0.001,-2.1,2.7,0.0,0.757,0.37,0.875,0.417,0.273,0.622,0.772,0.421,0.883,0.474,0.339,0.652,0.772,0.474,0.867,0.5,0.354,0.67
RBF,5,0.0001,-1.3,0.9,-0.1,0.792,0.207,0.971,0.303,0.287,0.589,0.82,0.305,0.983,0.45,0.441,0.644,0.823,0.316,0.983,0.462,0.45,0.65
RBF,5,1e-05,-1.0,0.9,-0.9,0.465,0.7,0.388,0.372,0.141,0.544,0.476,0.726,0.397,0.421,0.192,0.561,0.734,0.474,0.817,0.462,0.285,0.645
RBF,10,0.1,-3.4,2.5,-0.9,0.476,0.891,0.35,0.444,0.222,0.621,0.463,0.832,0.347,0.427,0.167,0.589,0.481,0.895,0.35,0.453,0.23,0.622
RBF,10,0.01,-3.3,2.0,0.8,0.776,0.136,0.971,0.218,0.22,0.554,0.754,0.063,0.973,0.11,0.109,0.518,0.759,0.053,0.983,0.095,0.098,0.518
RBF,10,0.001,-2.5,3.7,0.8,0.795,0.15,0.992,0.252,0.301,0.571,0.787,0.168,0.983,0.273,0.284,0.576,0.785,0.158,0.983,0.261,0.275,0.571
RBF,10,0.0001,-1.5,1.5,-0.1,0.783,0.287,0.933,0.375,0.283,0.61,0.81,0.326,0.963,0.452,0.405,0.645,0.797,0.316,0.95,0.429,0.358,0.633
RBF,10,1e-05,-1.0,0.9,-0.8,0.465,0.7,0.388,0.372,0.141,0.544,0.476,0.726,0.397,0.421,0.192,0.561,0.734,0.474,0.817,0.462,0.285,0.645
