activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.722,0.394,0.821,0.399,0.221,0.608,0.711,0.253,0.857,0.295,0.126,0.555,0.696,0.105,0.883,0.143,-0.015,0.494
relu,"(25,)",0.01,0.754,0.33,0.883,0.383,0.245,0.606,0.696,0.168,0.863,0.213,0.046,0.516,0.747,0.158,0.933,0.231,0.137,0.546
relu,"(25,)",0.001,0.76,0.343,0.888,0.404,0.27,0.615,0.714,0.179,0.883,0.233,0.082,0.531,0.734,0.158,0.917,0.222,0.106,0.537
relu,"(25,)",0.0001,0.767,0.33,0.9,0.393,0.269,0.615,0.737,0.189,0.91,0.254,0.13,0.55,0.747,0.263,0.9,0.333,0.201,0.582
relu,"(50,)",0.1,0.738,0.312,0.867,0.362,0.21,0.59,0.691,0.263,0.827,0.287,0.094,0.545,0.671,0.263,0.8,0.278,0.066,0.532
relu,"(50,)",0.01,0.744,0.302,0.879,0.357,0.211,0.591,0.709,0.242,0.857,0.285,0.113,0.549,0.684,0.158,0.85,0.194,0.009,0.504
relu,"(50,)",0.001,0.76,0.329,0.892,0.395,0.266,0.61,0.719,0.221,0.877,0.275,0.12,0.549,0.709,0.211,0.867,0.258,0.092,0.539
relu,"(50,)",0.0001,0.776,0.314,0.917,0.397,0.287,0.615,0.749,0.211,0.92,0.289,0.181,0.565,0.759,0.211,0.933,0.296,0.204,0.572
relu,"(75,)",0.1,0.754,0.421,0.854,0.439,0.283,0.638,0.689,0.168,0.853,0.204,0.023,0.511,0.696,0.105,0.883,0.143,-0.015,0.494
relu,"(75,)",0.01,0.779,0.369,0.904,0.444,0.329,0.636,0.704,0.168,0.873,0.215,0.054,0.521,0.696,0.158,0.867,0.2,0.03,0.512
relu,"(75,)",0.001,0.76,0.315,0.896,0.384,0.264,0.606,0.729,0.2,0.897,0.259,0.122,0.548,0.722,0.158,0.9,0.214,0.078,0.529
relu,"(75,)",0.0001,0.763,0.315,0.9,0.384,0.262,0.608,0.742,0.211,0.91,0.277,0.154,0.56,0.734,0.158,0.917,0.222,0.106,0.537
relu,"(100,)",0.1,0.75,0.379,0.862,0.412,0.259,0.621,0.729,0.253,0.88,0.3,0.152,0.566,0.722,0.105,0.917,0.154,0.033,0.511
relu,"(100,)",0.01,0.754,0.315,0.888,0.377,0.246,0.601,0.737,0.211,0.903,0.278,0.148,0.557,0.696,0.158,0.867,0.2,0.03,0.512
relu,"(100,)",0.001,0.757,0.289,0.9,0.358,0.236,0.594,0.744,0.189,0.92,0.261,0.149,0.555,0.734,0.158,0.917,0.222,0.106,0.537
relu,"(100,)",0.0001,0.763,0.301,0.904,0.375,0.255,0.603,0.749,0.179,0.93,0.253,0.155,0.554,0.747,0.158,0.933,0.231,0.137,0.546
relu,"(125,)",0.1,0.744,0.297,0.879,0.338,0.193,0.588,0.691,0.158,0.86,0.192,0.019,0.509,0.684,0.211,0.833,0.242,0.049,0.522
relu,"(125,)",0.01,0.782,0.395,0.9,0.462,0.339,0.648,0.704,0.179,0.87,0.219,0.055,0.524,0.709,0.158,0.883,0.207,0.053,0.521
relu,"(125,)",0.001,0.776,0.328,0.912,0.408,0.306,0.62,0.716,0.179,0.887,0.232,0.084,0.533,0.722,0.158,0.9,0.214,0.078,0.529
