activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.735,0.372,0.846,0.391,0.231,0.609,0.676,0.316,0.79,0.319,0.109,0.553,0.684,0.316,0.8,0.324,0.118,0.558
relu,"(25,)",0.01,0.738,0.401,0.842,0.408,0.244,0.621,0.681,0.358,0.783,0.352,0.142,0.571,0.671,0.421,0.75,0.381,0.161,0.586
relu,"(25,)",0.001,0.732,0.372,0.842,0.386,0.22,0.607,0.684,0.358,0.787,0.355,0.147,0.572,0.696,0.421,0.783,0.4,0.198,0.602
relu,"(25,)",0.0001,0.757,0.304,0.896,0.363,0.234,0.6,0.704,0.253,0.847,0.29,0.112,0.55,0.759,0.316,0.9,0.387,0.257,0.608
relu,"(50,)",0.1,0.712,0.371,0.817,0.372,0.188,0.594,0.686,0.347,0.793,0.347,0.14,0.57,0.722,0.421,0.817,0.421,0.238,0.619
relu,"(50,)",0.01,0.77,0.425,0.875,0.46,0.323,0.65,0.673,0.295,0.793,0.304,0.092,0.544,0.684,0.368,0.783,0.359,0.149,0.576
relu,"(50,)",0.001,0.773,0.438,0.875,0.473,0.333,0.657,0.699,0.337,0.813,0.35,0.154,0.575,0.696,0.421,0.783,0.4,0.198,0.602
relu,"(50,)",0.0001,0.776,0.37,0.9,0.433,0.311,0.635,0.747,0.326,0.88,0.382,0.235,0.603,0.734,0.368,0.85,0.4,0.232,0.609
relu,"(75,)",0.1,0.738,0.438,0.829,0.439,0.27,0.634,0.684,0.347,0.79,0.346,0.141,0.569,0.696,0.316,0.817,0.333,0.138,0.566
relu,"(75,)",0.01,0.738,0.385,0.846,0.406,0.242,0.615,0.696,0.368,0.8,0.37,0.174,0.584,0.684,0.368,0.783,0.359,0.149,0.576
