n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.78,0.122,0.979,0.197,0.186,0.551,0.797,0.179,0.993,0.296,0.346,0.586,0.81,0.211,1.0,0.348,0.41,0.605
200,None,0.5,0.776,0.137,0.971,0.215,0.18,0.554,0.803,0.242,0.98,0.372,0.368,0.611,0.785,0.263,0.95,0.37,0.302,0.607
200,None,0.75,0.78,0.151,0.971,0.231,0.2,0.561,0.808,0.274,0.977,0.403,0.39,0.625,0.785,0.211,0.967,0.32,0.286,0.589
200,None,None,0.783,0.192,0.962,0.288,0.251,0.577,0.808,0.274,0.977,0.404,0.384,0.625,0.797,0.211,0.983,0.333,0.34,0.597
400,None,0.25,0.783,0.122,0.983,0.197,0.195,0.553,0.795,0.189,0.987,0.303,0.331,0.588,0.81,0.211,1.0,0.348,0.41,0.605
400,None,0.5,0.773,0.124,0.971,0.197,0.162,0.547,0.808,0.263,0.98,0.396,0.39,0.622,0.797,0.211,0.983,0.333,0.34,0.597
400,None,0.75,0.78,0.136,0.975,0.211,0.187,0.556,0.805,0.253,0.98,0.381,0.378,0.616,0.823,0.263,1.0,0.417,0.462,0.632
400,None,None,0.783,0.177,0.967,0.273,0.242,0.572,0.81,0.274,0.98,0.41,0.402,0.627,0.797,0.263,0.967,0.385,0.346,0.615
600,None,0.25,0.773,0.109,0.975,0.172,0.154,0.542,0.797,0.189,0.99,0.306,0.344,0.59,0.81,0.211,1.0,0.348,0.41,0.605
600,None,0.5,0.773,0.123,0.971,0.198,0.175,0.547,0.808,0.263,0.98,0.396,0.39,0.622,0.81,0.263,0.983,0.4,0.398,0.623
600,None,0.75,0.776,0.136,0.971,0.212,0.179,0.554,0.81,0.274,0.98,0.408,0.402,0.627,0.823,0.263,1.0,0.417,0.462,0.632
600,None,None,0.776,0.163,0.962,0.247,0.203,0.563,0.803,0.242,0.98,0.369,0.369,0.611,0.797,0.263,0.967,0.385,0.346,0.615
800,None,0.25,0.776,0.122,0.975,0.192,0.165,0.548,0.803,0.2,0.993,0.326,0.37,0.597,0.797,0.158,1.0,0.273,0.353,0.579
800,None,0.5,0.77,0.11,0.971,0.175,0.139,0.54,0.808,0.253,0.983,0.386,0.39,0.618,0.81,0.263,0.983,0.4,0.398,0.623
800,None,0.75,0.776,0.136,0.971,0.212,0.179,0.554,0.81,0.274,0.98,0.408,0.402,0.627,0.81,0.263,0.983,0.4,0.398,0.623
800,None,None,0.78,0.15,0.971,0.233,0.208,0.56,0.805,0.253,0.98,0.382,0.377,0.616,0.81,0.316,0.967,0.444,0.4,0.641
1000,None,0.25,0.78,0.109,0.983,0.178,0.177,0.546,0.803,0.2,0.993,0.326,0.37,0.597,0.81,0.211,1.0,0.348,0.41,0.605
1000,None,0.5,0.776,0.123,0.975,0.196,0.174,0.549,0.803,0.232,0.983,0.358,0.364,0.607,0.81,0.263,0.983,0.4,0.398,0.623
1000,None,0.75,0.78,0.136,0.975,0.212,0.185,0.556,0.808,0.263,0.98,0.396,0.39,0.622,0.797,0.263,0.967,0.385,0.346,0.615
1000,None,None,0.786,0.164,0.975,0.259,0.247,0.569,0.805,0.253,0.98,0.38,0.377,0.616,0.81,0.316,0.967,0.444,0.4,0.641
