"FPR","TPR0 AUC = 0.9928","TPR1 AUC = 0.9881","TPR2 AUC = 0.9694","TPR3 AUC = 0.9928","TPR4 AUC = 0.974","Mean TPR AUC = 0.9789 (+/- 0.0098)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010101010101010102,0.8333333333333334,0.8017676767676768,0.7708333333333334,0.8434343434343434,0.7708333333333334,0.804040404040404
0.020202020202020204,0.8333333333333334,0.8118686868686869,0.7708333333333334,0.8535353535353535,0.7708333333333334,0.8080808080808082
0.030303030303030304,0.9583333333333334,0.9375,0.8011363636363636,0.9053030303030303,0.8380681818181819,0.8880681818181818
0.04040404040404041,0.9583333333333334,0.9375,0.8112373737373737,0.9154040404040403,0.8431186868686869,0.8931186868686869
0.05050505050505051,0.9791666666666666,0.9375,0.8630050505050505,0.9166666666666666,0.8481691919191919,0.9089015151515151
0.06060606060606061,0.9791666666666666,0.9375,0.8731060606060606,0.9166666666666666,0.8532196969696969,0.9119318181818181
0.07070707070707072,0.9791666666666666,0.9583333333333334,0.8958333333333334,0.9873737373737373,0.9166666666666666,0.9474747474747476
0.08080808080808081,0.9791666666666666,0.9583333333333334,0.8958333333333334,0.9974747474747475,0.9166666666666666,0.9494949494949495
0.09090909090909091,0.9791666666666666,0.9583333333333334,0.9166666666666666,1.0,0.9375,0.9583333333333333
0.10101010101010102,0.9791666666666666,0.9583333333333334,0.9166666666666666,1.0,0.9375,0.9583333333333333
0.11111111111111112,0.9791666666666666,0.9583333333333334,0.9166666666666666,1.0,0.9375,0.9583333333333333
0.12121212121212122,0.9791666666666666,0.9583333333333334,0.9166666666666666,1.0,0.9375,0.9583333333333333
0.13131313131313133,0.9791666666666666,0.9583333333333334,0.9166666666666666,1.0,0.9438131313131314,0.9595959595959596
0.14141414141414144,0.9791666666666666,0.9583333333333334,0.9166666666666666,1.0,0.9539141414141414,0.9616161616161616
0.15151515151515152,0.9791666666666666,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333334,0.9625
0.16161616161616163,0.9791666666666666,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333334,0.9625
0.17171717171717174,0.9842171717171717,0.9583333333333334,0.9217171717171717,1.0,0.9583333333333334,0.964520202020202
0.18181818181818182,0.9943181818181818,0.9583333333333334,0.9318181818181818,1.0,0.9583333333333334,0.968560606060606
0.19191919191919193,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9833333333333334
0.20202020202020204,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9833333333333334
0.21212121212121213,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9833333333333334
0.22222222222222224,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9833333333333334
0.23232323232323235,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9833333333333334
0.24242424242424243,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9833333333333334
0.25252525252525254,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9833333333333334
0.26262626262626265,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9833333333333334
0.27272727272727276,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9833333333333334
0.2828282828282829,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9833333333333334
0.29292929292929293,1.0,1.0,0.9791666666666666,1.0,0.9583333333333334,0.9875
0.30303030303030304,1.0,1.0,0.9791666666666666,1.0,0.9583333333333334,0.9875
0.31313131313131315,1.0,1.0,0.9791666666666666,1.0,0.9791666666666666,0.9916666666666666
0.32323232323232326,1.0,1.0,0.9791666666666666,1.0,0.9791666666666666,0.9916666666666666
0.33333333333333337,1.0,1.0,0.9791666666666666,1.0,0.9791666666666666,0.9916666666666666
0.3434343434343435,1.0,1.0,0.9791666666666666,1.0,0.9791666666666666,0.9916666666666666
0.3535353535353536,1.0,1.0,0.9791666666666666,1.0,0.9791666666666666,0.9916666666666666
0.36363636363636365,1.0,1.0,0.9791666666666666,1.0,0.9791666666666666,0.9916666666666666
0.37373737373737376,1.0,1.0,0.9791666666666666,1.0,0.9791666666666666,0.9916666666666666
0.38383838383838387,1.0,1.0,0.9791666666666666,1.0,0.9791666666666666,0.9916666666666666
0.393939393939394,1.0,1.0,0.9791666666666666,1.0,0.9791666666666666,0.9916666666666666
0.4040404040404041,1.0,1.0,0.9791666666666666,1.0,0.9791666666666666,0.9916666666666666
0.4141414141414142,1.0,1.0,0.9791666666666666,1.0,0.9791666666666666,0.9916666666666666
0.42424242424242425,1.0,1.0,0.9791666666666666,1.0,0.9867424242424242,0.9931818181818182
0.43434343434343436,1.0,1.0,0.9791666666666666,1.0,0.9968434343434344,0.9952020202020202
0.4444444444444445,1.0,1.0,0.9791666666666666,1.0,1.0,0.9958333333333332
0.4545454545454546,1.0,1.0,0.9791666666666666,1.0,1.0,0.9958333333333332
0.4646464646464647,1.0,1.0,0.9791666666666666,1.0,1.0,0.9958333333333332
0.4747474747474748,1.0,1.0,0.9791666666666666,1.0,1.0,0.9958333333333332
0.48484848484848486,1.0,1.0,1.0,1.0,1.0,1.0
0.494949494949495,1.0,1.0,1.0,1.0,1.0,1.0
0.5050505050505051,1.0,1.0,1.0,1.0,1.0,1.0
0.5151515151515152,1.0,1.0,1.0,1.0,1.0,1.0
0.5252525252525253,1.0,1.0,1.0,1.0,1.0,1.0
0.5353535353535354,1.0,1.0,1.0,1.0,1.0,1.0
0.5454545454545455,1.0,1.0,1.0,1.0,1.0,1.0
