n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.788,0.3,0.987,0.413,0.398,0.643,0.762,0.375,0.933,0.496,0.406,0.654,0.769,0.375,0.944,0.5,0.409,0.66
200,None,0.5,0.797,0.367,0.973,0.457,0.424,0.67,0.738,0.325,0.922,0.436,0.328,0.624,0.769,0.375,0.944,0.5,0.409,0.66
200,None,0.75,0.75,0.267,0.947,0.342,0.257,0.607,0.738,0.3,0.933,0.412,0.322,0.617,0.731,0.25,0.944,0.364,0.281,0.597
200,None,None,0.769,0.333,0.947,0.413,0.331,0.64,0.715,0.3,0.9,0.392,0.27,0.6,0.692,0.25,0.889,0.333,0.178,0.569
400,None,0.25,0.788,0.3,0.987,0.413,0.398,0.643,0.777,0.375,0.956,0.51,0.442,0.665,0.808,0.375,1.0,0.545,0.542,0.688
400,None,0.5,0.788,0.3,0.987,0.4,0.384,0.643,0.738,0.3,0.933,0.414,0.326,0.617,0.769,0.375,0.944,0.5,0.409,0.66
400,None,0.75,0.74,0.233,0.947,0.303,0.219,0.59,0.738,0.3,0.933,0.414,0.326,0.617,0.692,0.25,0.889,0.333,0.178,0.569
400,None,None,0.74,0.3,0.92,0.358,0.248,0.61,0.731,0.325,0.911,0.428,0.308,0.618,0.692,0.25,0.889,0.333,0.178,0.569
600,None,0.25,0.788,0.3,0.987,0.413,0.398,0.643,0.769,0.35,0.956,0.489,0.426,0.653,0.769,0.375,0.944,0.5,0.409,0.66
600,None,0.5,0.778,0.267,0.987,0.374,0.36,0.627,0.754,0.35,0.933,0.468,0.374,0.642,0.769,0.375,0.944,0.5,0.409,0.66
600,None,0.75,0.75,0.233,0.96,0.317,0.248,0.597,0.738,0.3,0.933,0.414,0.326,0.617,0.692,0.25,0.889,0.333,0.178,0.569
600,None,None,0.75,0.3,0.933,0.369,0.27,0.617,0.731,0.325,0.911,0.428,0.308,0.618,0.731,0.375,0.889,0.462,0.309,0.632
800,None,0.25,0.788,0.3,0.987,0.413,0.398,0.643,0.777,0.375,0.956,0.513,0.452,0.665,0.769,0.375,0.944,0.5,0.409,0.66
800,None,0.5,0.778,0.267,0.987,0.374,0.36,0.627,0.731,0.3,0.922,0.407,0.306,0.611,0.769,0.375,0.944,0.5,0.409,0.66
800,None,0.75,0.75,0.233,0.96,0.317,0.248,0.597,0.738,0.3,0.933,0.414,0.326,0.617,0.731,0.375,0.889,0.462,0.309,0.632
800,None,None,0.75,0.3,0.933,0.369,0.27,0.617,0.738,0.3,0.933,0.414,0.326,0.617,0.731,0.375,0.889,0.462,0.309,0.632
1000,None,0.25,0.788,0.3,0.987,0.413,0.398,0.643,0.777,0.375,0.956,0.513,0.452,0.665,0.769,0.375,0.944,0.5,0.409,0.66
1000,None,0.5,0.788,0.3,0.987,0.413,0.398,0.643,0.746,0.325,0.933,0.443,0.347,0.629,0.769,0.375,0.944,0.5,0.409,0.66
1000,None,0.75,0.778,0.333,0.96,0.427,0.36,0.647,0.738,0.3,0.933,0.414,0.326,0.617,0.731,0.375,0.889,0.462,0.309,0.632
1000,None,None,0.74,0.267,0.933,0.33,0.232,0.6,0.738,0.3,0.933,0.414,0.326,0.617,0.731,0.375,0.889,0.462,0.309,0.632
