n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.75,0.167,0.987,0.24,0.231,0.577,0.785,0.35,0.978,0.492,0.475,0.664,0.769,0.375,0.944,0.5,0.409,0.66
200,None,0.5,0.759,0.233,0.973,0.31,0.258,0.603,0.762,0.3,0.967,0.436,0.399,0.633,0.731,0.25,0.944,0.364,0.281,0.597
200,None,0.75,0.75,0.2,0.973,0.272,0.229,0.587,0.738,0.275,0.944,0.389,0.321,0.61,0.769,0.375,0.944,0.5,0.409,0.66
200,None,None,0.75,0.233,0.96,0.329,0.271,0.597,0.731,0.275,0.933,0.386,0.306,0.604,0.731,0.25,0.944,0.364,0.281,0.597
400,None,0.25,0.74,0.133,0.987,0.19,0.172,0.56,0.769,0.325,0.967,0.461,0.425,0.646,0.808,0.375,1.0,0.545,0.542,0.688
400,None,0.5,0.759,0.233,0.973,0.31,0.258,0.603,0.746,0.3,0.944,0.419,0.352,0.622,0.731,0.25,0.944,0.364,0.281,0.597
400,None,0.75,0.74,0.2,0.96,0.272,0.2,0.58,0.738,0.275,0.944,0.393,0.326,0.61,0.769,0.375,0.944,0.5,0.409,0.66
400,None,None,0.74,0.2,0.96,0.272,0.2,0.58,0.746,0.275,0.956,0.399,0.347,0.615,0.731,0.25,0.944,0.364,0.281,0.597
600,None,0.25,0.75,0.167,0.987,0.233,0.203,0.577,0.754,0.275,0.967,0.408,0.373,0.621,0.808,0.375,1.0,0.545,0.542,0.688
600,None,0.5,0.75,0.2,0.973,0.283,0.234,0.587,0.746,0.275,0.956,0.402,0.353,0.615,0.769,0.375,0.944,0.5,0.409,0.66
600,None,0.75,0.74,0.2,0.96,0.272,0.2,0.58,0.738,0.275,0.944,0.393,0.326,0.61,0.769,0.375,0.944,0.5,0.409,0.66
600,None,None,0.74,0.2,0.96,0.272,0.2,0.58,0.738,0.275,0.944,0.393,0.326,0.61,0.769,0.375,0.944,0.5,0.409,0.66
800,None,0.25,0.759,0.2,0.987,0.283,0.262,0.593,0.762,0.3,0.967,0.436,0.399,0.633,0.808,0.375,1.0,0.545,0.542,0.688
800,None,0.5,0.75,0.2,0.973,0.283,0.234,0.587,0.731,0.25,0.944,0.366,0.3,0.597,0.769,0.375,0.944,0.5,0.409,0.66
800,None,0.75,0.75,0.2,0.973,0.283,0.234,0.587,0.738,0.275,0.944,0.393,0.326,0.61,0.769,0.375,0.944,0.5,0.409,0.66
800,None,None,0.73,0.167,0.96,0.222,0.141,0.563,0.738,0.275,0.944,0.393,0.326,0.61,0.769,0.375,0.944,0.5,0.409,0.66
1000,None,0.25,0.75,0.167,0.987,0.24,0.231,0.577,0.769,0.325,0.967,0.461,0.425,0.646,0.808,0.375,1.0,0.545,0.542,0.688
1000,None,0.5,0.759,0.233,0.973,0.31,0.258,0.603,0.746,0.3,0.944,0.419,0.352,0.622,0.769,0.375,0.944,0.5,0.409,0.66
1000,None,0.75,0.75,0.2,0.973,0.283,0.234,0.587,0.738,0.275,0.944,0.393,0.326,0.61,0.769,0.375,0.944,0.5,0.409,0.66
1000,None,None,0.721,0.167,0.947,0.222,0.129,0.557,0.738,0.275,0.944,0.393,0.326,0.61,0.769,0.375,0.944,0.5,0.409,0.66
