Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,5,2,0.1,0,-1.4,1.6,-0.7,0.723,0.697,0.729,0.504,0.361,0.713,0.653,0.655,0.652,0.44,0.254,0.653,0.623,0.636,0.619,0.412,0.209,0.628
poly,5,2,0.1,1,-1.5,1.6,-0.6,0.77,0.653,0.801,0.528,0.401,0.727,0.736,0.691,0.748,0.522,0.376,0.719,0.698,0.727,0.69,0.5,0.346,0.709
poly,5,2,0.1,2,-1.7,1.6,-0.1,0.837,0.342,0.964,0.446,0.406,0.653,0.894,0.545,0.986,0.68,0.654,0.766,0.925,0.636,1.0,0.778,0.762,0.818
poly,5,2,0.1,3,-1.8,1.7,-0.5,0.799,0.558,0.862,0.526,0.403,0.71,0.811,0.8,0.814,0.641,0.541,0.807,0.774,0.818,0.762,0.6,0.491,0.79
poly,5,2,0.1,4,-1.9,1.7,-0.5,0.799,0.583,0.856,0.537,0.415,0.719,0.792,0.8,0.79,0.617,0.51,0.795,0.792,0.818,0.786,0.621,0.517,0.802
poly,5,2,0.01,0,-1.4,1.6,-0.7,0.723,0.697,0.729,0.504,0.361,0.713,0.653,0.655,0.652,0.44,0.254,0.653,0.623,0.636,0.619,0.412,0.209,0.628
poly,5,2,0.01,1,-2.4,1.7,-0.6,0.746,0.675,0.765,0.522,0.382,0.72,0.762,0.873,0.733,0.605,0.506,0.803,0.774,0.909,0.738,0.625,0.537,0.824
poly,5,2,0.01,2,-2.8,1.9,-0.9,0.684,0.794,0.657,0.507,0.375,0.726,0.623,0.855,0.562,0.484,0.339,0.708,0.698,0.909,0.643,0.556,0.448,0.776
poly,5,2,0.01,3,-3.1,2.2,-1.0,0.665,0.794,0.632,0.491,0.353,0.713,0.615,0.909,0.538,0.495,0.366,0.724,0.698,0.909,0.643,0.556,0.448,0.776
poly,5,2,0.01,4,-3.3,2.4,-1.1,0.641,0.842,0.59,0.491,0.354,0.716,0.596,0.909,0.514,0.483,0.348,0.712,0.679,0.909,0.619,0.541,0.428,0.764
poly,5,2,0.001,0,-0.9,-0.1,-0.7,0.818,0.25,0.964,0.346,0.32,0.607,0.913,0.618,0.99,0.738,0.72,0.804,0.925,0.636,1.0,0.778,0.762,0.818
poly,5,2,0.001,1,-2.3,1.9,-0.5,0.713,0.764,0.698,0.522,0.386,0.731,0.687,0.8,0.657,0.514,0.374,0.729,0.698,0.818,0.667,0.529,0.397,0.742
poly,5,2,0.001,2,-3.0,2.3,-0.8,0.65,0.792,0.614,0.483,0.331,0.703,0.604,0.836,0.543,0.467,0.309,0.69,0.642,0.818,0.595,0.486,0.335,0.707
poly,5,2,0.001,3,-3.7,2.6,-0.7,0.703,0.7,0.705,0.495,0.342,0.702,0.698,0.818,0.667,0.531,0.399,0.742,0.755,0.909,0.714,0.606,0.513,0.812
poly,5,2,0.001,4,-4.0,2.6,0.0,0.78,0.464,0.861,0.464,0.328,0.663,0.864,0.764,0.89,0.703,0.621,0.827,0.943,0.909,0.952,0.87,0.835,0.931
poly,5,3,0.1,0,-1.4,1.7,-0.7,0.813,0.297,0.946,0.382,0.323,0.622,0.834,0.509,0.919,0.559,0.463,0.714,0.83,0.545,0.905,0.571,0.467,0.725
poly,5,3,0.1,1,-1.2,1.7,-0.5,0.823,0.275,0.964,0.379,0.361,0.62,0.883,0.473,0.99,0.609,0.606,0.732,0.906,0.545,1.0,0.706,0.698,0.773
poly,5,3,0.1,2,-1.2,1.7,-0.5,0.828,0.342,0.952,0.433,0.373,0.647,0.868,0.527,0.957,0.623,0.568,0.742,0.868,0.545,0.952,0.632,0.564,0.749
poly,5,3,0.1,3,-1.3,1.7,-0.8,0.703,0.744,0.692,0.502,0.365,0.718,0.596,0.764,0.552,0.44,0.257,0.658,0.585,0.818,0.524,0.45,0.279,0.671
poly,5,3,0.1,4,-1.4,1.7,-0.8,0.689,0.769,0.668,0.5,0.362,0.719,0.596,0.764,0.552,0.441,0.257,0.658,0.604,0.818,0.548,0.462,0.297,0.683
poly,5,3,0.01,0,-1.4,1.8,-0.8,0.799,0.414,0.898,0.449,0.341,0.656,0.826,0.6,0.886,0.587,0.479,0.743,0.83,0.636,0.881,0.609,0.501,0.759
poly,5,3,0.01,1,-1.9,1.8,-0.7,0.737,0.725,0.74,0.527,0.399,0.733,0.691,0.855,0.648,0.534,0.409,0.751,0.717,0.818,0.69,0.545,0.419,0.754
poly,5,3,0.01,2,-2.4,1.7,-0.7,0.722,0.725,0.723,0.516,0.377,0.724,0.709,0.873,0.667,0.555,0.441,0.77,0.736,0.909,0.69,0.588,0.491,0.8
poly,5,3,0.01,3,-2.6,1.7,-0.8,0.708,0.772,0.693,0.516,0.385,0.733,0.672,0.873,0.619,0.525,0.4,0.746,0.698,0.909,0.643,0.556,0.448,0.776
poly,5,3,0.01,4,-2.8,1.9,-0.9,0.689,0.819,0.657,0.518,0.392,0.738,0.626,0.855,0.567,0.487,0.343,0.711,0.698,0.909,0.643,0.556,0.448,0.776
poly,5,3,0.001,0,-0.9,-0.6,-0.8,0.694,0.267,0.8,0.171,0.106,0.533,0.709,0.345,0.805,0.312,0.319,0.575,0.83,0.182,1.0,0.308,0.387,0.591
poly,5,3,0.001,1,-2.5,1.8,-0.9,0.641,0.839,0.59,0.49,0.35,0.714,0.558,0.818,0.49,0.435,0.253,0.654,0.604,0.909,0.524,0.488,0.354,0.716
poly,5,3,0.001,2,-4.1,3.0,0.0,0.794,0.439,0.886,0.465,0.342,0.662,0.864,0.745,0.895,0.694,0.62,0.82,0.887,0.818,0.905,0.75,0.681,0.861
poly,5,3,0.001,3,-4.7,3.9,-0.0,0.794,0.417,0.892,0.452,0.332,0.654,0.86,0.745,0.89,0.692,0.614,0.818,0.849,0.636,0.905,0.636,0.541,0.771
poly,5,3,0.001,4,-4.9,4.2,-0.0,0.794,0.442,0.886,0.463,0.344,0.664,0.864,0.745,0.895,0.697,0.622,0.82,0.83,0.636,0.881,0.609,0.501,0.759
poly,10,2,0.1,0,-1.4,1.6,-0.7,0.723,0.697,0.729,0.504,0.361,0.713,0.653,0.655,0.652,0.44,0.254,0.653,0.623,0.636,0.619,0.412,0.209,0.628
poly,10,2,0.1,1,-1.5,1.6,-0.6,0.77,0.653,0.801,0.528,0.401,0.727,0.736,0.691,0.748,0.522,0.376,0.719,0.698,0.727,0.69,0.5,0.346,0.709
poly,10,2,0.1,2,-1.7,1.6,-0.1,0.837,0.342,0.964,0.446,0.406,0.653,0.894,0.545,0.986,0.68,0.654,0.766,0.925,0.636,1.0,0.778,0.762,0.818
poly,10,2,0.1,3,-1.8,1.7,-0.5,0.799,0.558,0.862,0.526,0.403,0.71,0.811,0.8,0.814,0.641,0.541,0.807,0.774,0.818,0.762,0.6,0.491,0.79
poly,10,2,0.1,4,-1.9,1.7,-0.5,0.799,0.583,0.856,0.537,0.415,0.719,0.792,0.8,0.79,0.617,0.51,0.795,0.792,0.818,0.786,0.621,0.517,0.802
poly,10,2,0.01,0,-1.4,1.6,-0.7,0.723,0.697,0.729,0.504,0.361,0.713,0.653,0.655,0.652,0.44,0.254,0.653,0.623,0.636,0.619,0.412,0.209,0.628
poly,10,2,0.01,1,-2.4,1.7,-0.6,0.746,0.675,0.765,0.522,0.382,0.72,0.762,0.873,0.733,0.605,0.506,0.803,0.774,0.909,0.738,0.625,0.537,0.824
poly,10,2,0.01,2,-2.8,1.9,-0.9,0.684,0.794,0.657,0.507,0.375,0.726,0.623,0.855,0.562,0.484,0.339,0.708,0.698,0.909,0.643,0.556,0.448,0.776
poly,10,2,0.01,3,-3.1,2.2,-1.0,0.665,0.794,0.632,0.491,0.353,0.713,0.615,0.909,0.538,0.495,0.366,0.724,0.698,0.909,0.643,0.556,0.448,0.776
poly,10,2,0.01,4,-3.3,2.4,-1.1,0.641,0.842,0.59,0.491,0.354,0.716,0.596,0.909,0.514,0.483,0.348,0.712,0.679,0.909,0.619,0.541,0.428,0.764
poly,10,2,0.001,0,-1.0,0.5,-0.8,0.794,0.531,0.861,0.517,0.39,0.696,0.8,0.709,0.824,0.598,0.482,0.766,0.755,0.727,0.762,0.552,0.419,0.745
poly,10,2,0.001,1,-3.0,2.2,-0.8,0.665,0.792,0.632,0.494,0.348,0.712,0.611,0.818,0.557,0.466,0.305,0.688,0.698,0.909,0.643,0.556,0.448,0.776
poly,10,2,0.001,2,-3.9,2.4,0.0,0.785,0.464,0.868,0.469,0.336,0.666,0.868,0.764,0.895,0.709,0.63,0.829,0.943,0.909,0.952,0.87,0.835,0.931
poly,10,2,0.001,3,-4.4,3.4,0.2,0.794,0.392,0.898,0.438,0.319,0.645,0.883,0.709,0.929,0.709,0.647,0.819,0.925,0.818,0.952,0.818,0.771,0.885
poly,10,2,0.001,4,-4.8,4.1,0.3,0.799,0.392,0.904,0.445,0.331,0.648,0.887,0.709,0.933,0.715,0.656,0.821,0.925,0.818,0.952,0.818,0.771,0.885
poly,10,3,0.1,0,-1.4,1.7,-0.7,0.813,0.297,0.946,0.382,0.323,0.622,0.834,0.509,0.919,0.559,0.463,0.714,0.83,0.545,0.905,0.571,0.467,0.725
poly,10,3,0.1,1,-1.2,1.7,-0.5,0.823,0.275,0.964,0.379,0.361,0.62,0.883,0.473,0.99,0.609,0.606,0.732,0.906,0.545,1.0,0.706,0.698,0.773
poly,10,3,0.1,2,-1.2,1.7,-0.5,0.828,0.342,0.952,0.433,0.373,0.647,0.868,0.527,0.957,0.623,0.568,0.742,0.868,0.545,0.952,0.632,0.564,0.749
poly,10,3,0.1,3,-1.3,1.7,-0.8,0.703,0.744,0.692,0.502,0.365,0.718,0.596,0.764,0.552,0.44,0.257,0.658,0.585,0.818,0.524,0.45,0.279,0.671
poly,10,3,0.1,4,-1.4,1.7,-0.8,0.689,0.769,0.668,0.5,0.362,0.719,0.596,0.764,0.552,0.441,0.257,0.658,0.604,0.818,0.548,0.462,0.297,0.683
poly,10,3,0.01,0,-1.4,1.7,-0.7,0.813,0.297,0.946,0.382,0.323,0.622,0.834,0.509,0.919,0.559,0.463,0.714,0.83,0.545,0.905,0.571,0.467,0.725
poly,10,3,0.01,1,-1.9,1.8,-0.7,0.737,0.725,0.74,0.527,0.399,0.733,0.691,0.855,0.648,0.534,0.409,0.751,0.717,0.818,0.69,0.545,0.419,0.754
poly,10,3,0.01,2,-2.4,1.7,-0.7,0.722,0.725,0.723,0.516,0.377,0.724,0.709,0.873,0.667,0.555,0.441,0.77,0.736,0.909,0.69,0.588,0.491,0.8
poly,10,3,0.01,3,-2.6,1.7,-0.8,0.708,0.772,0.693,0.516,0.385,0.733,0.672,0.873,0.619,0.525,0.4,0.746,0.698,0.909,0.643,0.556,0.448,0.776
poly,10,3,0.01,4,-2.8,1.9,-0.9,0.689,0.819,0.657,0.518,0.392,0.738,0.626,0.855,0.567,0.487,0.343,0.711,0.698,0.909,0.643,0.556,0.448,0.776
poly,10,3,0.001,0,-0.9,-0.5,-0.8,0.828,0.156,1.0,0.236,0.27,0.578,0.868,0.382,0.995,0.511,0.54,0.689,0.849,0.273,1.0,0.429,0.479,0.636
poly,10,3,0.001,1,-3.2,2.1,-0.9,0.674,0.769,0.65,0.494,0.345,0.71,0.642,0.873,0.581,0.503,0.369,0.727,0.717,0.909,0.667,0.571,0.469,0.788
poly,10,3,0.001,2,-4.4,3.4,0.0,0.799,0.392,0.904,0.445,0.331,0.648,0.868,0.764,0.895,0.707,0.634,0.829,0.849,0.636,0.905,0.636,0.541,0.771
poly,10,3,0.001,3,-4.7,3.9,-0.0,0.794,0.417,0.892,0.452,0.332,0.654,0.864,0.745,0.895,0.697,0.622,0.82,0.849,0.636,0.905,0.636,0.541,0.771
poly,10,3,0.001,4,-4.9,4.2,-0.0,0.794,0.442,0.886,0.463,0.344,0.664,0.864,0.745,0.895,0.697,0.622,0.82,0.83,0.636,0.881,0.609,0.501,0.759
