n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.917,0.929,0.904,0.918,0.834,0.917,0.782,0.547,0.857,0.545,0.405,0.702,0.81,0.579,0.883,0.595,0.471,0.731
200,None,0.5,0.923,0.938,0.908,0.924,0.847,0.923,0.772,0.526,0.85,0.528,0.381,0.688,0.823,0.526,0.917,0.588,0.483,0.721
200,None,0.75,0.912,0.933,0.892,0.914,0.826,0.912,0.78,0.558,0.85,0.551,0.406,0.704,0.797,0.579,0.867,0.579,0.446,0.723
200,None,None,0.917,0.925,0.908,0.917,0.834,0.917,0.762,0.537,0.833,0.522,0.366,0.685,0.785,0.526,0.867,0.541,0.4,0.696
400,None,0.25,0.925,0.933,0.917,0.926,0.851,0.925,0.787,0.547,0.863,0.553,0.414,0.705,0.797,0.526,0.883,0.556,0.426,0.705
400,None,0.5,0.917,0.933,0.9,0.918,0.834,0.917,0.782,0.547,0.857,0.548,0.408,0.702,0.823,0.526,0.917,0.588,0.483,0.721
400,None,0.75,0.917,0.938,0.896,0.918,0.835,0.917,0.777,0.568,0.843,0.553,0.406,0.706,0.797,0.579,0.867,0.579,0.446,0.723
400,None,None,0.906,0.925,0.888,0.908,0.814,0.906,0.78,0.558,0.85,0.549,0.405,0.704,0.785,0.579,0.85,0.564,0.422,0.714
600,None,0.25,0.923,0.933,0.912,0.924,0.847,0.923,0.8,0.558,0.877,0.572,0.444,0.717,0.797,0.474,0.9,0.529,0.407,0.687
600,None,0.5,0.917,0.929,0.904,0.918,0.834,0.917,0.787,0.558,0.86,0.559,0.422,0.709,0.835,0.579,0.917,0.629,0.527,0.748
600,None,0.75,0.912,0.929,0.896,0.914,0.826,0.912,0.78,0.568,0.847,0.557,0.412,0.708,0.797,0.579,0.867,0.579,0.446,0.723
600,None,None,0.906,0.929,0.883,0.908,0.814,0.906,0.775,0.537,0.85,0.536,0.388,0.693,0.785,0.579,0.85,0.564,0.422,0.714
800,None,0.25,0.919,0.933,0.904,0.92,0.839,0.919,0.8,0.558,0.877,0.572,0.444,0.717,0.797,0.474,0.9,0.529,0.407,0.687
800,None,0.5,0.917,0.929,0.904,0.918,0.834,0.917,0.78,0.547,0.853,0.546,0.403,0.7,0.823,0.579,0.9,0.611,0.498,0.739
800,None,0.75,0.91,0.925,0.896,0.911,0.822,0.91,0.775,0.568,0.84,0.551,0.403,0.704,0.81,0.579,0.883,0.595,0.471,0.731
800,None,None,0.904,0.925,0.883,0.906,0.81,0.904,0.772,0.547,0.843,0.538,0.387,0.695,0.797,0.579,0.867,0.579,0.446,0.723
1000,None,0.25,0.919,0.933,0.904,0.92,0.839,0.919,0.797,0.547,0.877,0.564,0.435,0.712,0.81,0.474,0.917,0.545,0.437,0.695
1000,None,0.5,0.912,0.929,0.896,0.914,0.827,0.912,0.78,0.547,0.853,0.546,0.403,0.7,0.81,0.579,0.883,0.595,0.471,0.731
1000,None,0.75,0.91,0.925,0.896,0.911,0.822,0.91,0.78,0.568,0.847,0.555,0.41,0.708,0.81,0.579,0.883,0.595,0.471,0.731
1000,None,None,0.904,0.925,0.883,0.906,0.81,0.904,0.775,0.558,0.843,0.545,0.396,0.701,0.797,0.579,0.867,0.579,0.446,0.723
