n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.929,0.942,0.917,0.93,0.859,0.929,0.797,0.505,0.89,0.546,0.42,0.698,0.848,0.579,0.933,0.647,0.558,0.756
200,None,0.5,0.929,0.954,0.904,0.931,0.86,0.929,0.777,0.495,0.867,0.515,0.373,0.681,0.797,0.421,0.917,0.5,0.389,0.669
200,None,0.75,0.91,0.942,0.879,0.913,0.823,0.91,0.777,0.516,0.86,0.527,0.382,0.688,0.81,0.526,0.9,0.571,0.453,0.713
200,None,None,0.91,0.942,0.879,0.913,0.823,0.91,0.765,0.495,0.85,0.503,0.35,0.672,0.797,0.526,0.883,0.556,0.426,0.705
400,None,0.25,0.925,0.942,0.908,0.926,0.851,0.925,0.8,0.526,0.887,0.558,0.432,0.706,0.823,0.526,0.917,0.588,0.483,0.721
400,None,0.5,0.927,0.95,0.904,0.929,0.855,0.927,0.782,0.526,0.863,0.538,0.398,0.695,0.797,0.474,0.9,0.529,0.407,0.687
400,None,0.75,0.912,0.942,0.883,0.915,0.827,0.912,0.775,0.526,0.853,0.529,0.381,0.69,0.81,0.526,0.9,0.571,0.453,0.713
400,None,None,0.91,0.942,0.879,0.913,0.823,0.91,0.765,0.505,0.847,0.509,0.356,0.676,0.797,0.526,0.883,0.556,0.426,0.705
600,None,0.25,0.925,0.942,0.908,0.926,0.851,0.925,0.8,0.516,0.89,0.553,0.428,0.703,0.81,0.526,0.9,0.571,0.453,0.713
600,None,0.5,0.912,0.946,0.879,0.915,0.827,0.912,0.78,0.526,0.86,0.535,0.392,0.693,0.797,0.474,0.9,0.529,0.407,0.687
600,None,0.75,0.908,0.938,0.879,0.911,0.818,0.908,0.787,0.537,0.867,0.548,0.41,0.702,0.81,0.526,0.9,0.571,0.453,0.713
600,None,None,0.906,0.942,0.871,0.91,0.815,0.906,0.765,0.537,0.837,0.525,0.37,0.687,0.772,0.526,0.85,0.526,0.376,0.688
800,None,0.25,0.925,0.942,0.908,0.926,0.851,0.925,0.803,0.526,0.89,0.561,0.437,0.708,0.785,0.474,0.883,0.514,0.38,0.679
800,None,0.5,0.915,0.946,0.883,0.917,0.831,0.915,0.787,0.537,0.867,0.547,0.41,0.702,0.797,0.474,0.9,0.529,0.407,0.687
800,None,0.75,0.908,0.938,0.879,0.911,0.818,0.908,0.782,0.537,0.86,0.543,0.4,0.698,0.797,0.474,0.9,0.529,0.407,0.687
800,None,None,0.906,0.942,0.871,0.91,0.815,0.906,0.772,0.537,0.847,0.534,0.384,0.692,0.81,0.579,0.883,0.595,0.471,0.731
1000,None,0.25,0.931,0.946,0.917,0.932,0.863,0.931,0.797,0.516,0.887,0.55,0.423,0.701,0.785,0.474,0.883,0.514,0.38,0.679
1000,None,0.5,0.921,0.946,0.896,0.923,0.843,0.921,0.78,0.516,0.863,0.529,0.387,0.69,0.797,0.474,0.9,0.529,0.407,0.687
1000,None,0.75,0.906,0.933,0.879,0.909,0.814,0.906,0.78,0.537,0.857,0.54,0.396,0.697,0.81,0.526,0.9,0.571,0.453,0.713
1000,None,None,0.908,0.942,0.875,0.911,0.819,0.908,0.77,0.537,0.843,0.53,0.378,0.69,0.797,0.579,0.867,0.579,0.446,0.723
