Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-1.9,6.5,0.0,0.813,0.186,0.976,0.291,0.289,0.581,0.792,0.327,0.914,0.397,0.289,0.621,0.774,0.273,0.905,0.333,0.213,0.589
poly,1,2,0.1,1,-2.0,6.5,0.1,0.818,0.164,0.988,0.27,0.304,0.576,0.823,0.364,0.943,0.459,0.383,0.653,0.811,0.273,0.952,0.375,0.312,0.613
poly,1,2,0.1,2,-2.7,6.6,-0.4,0.794,0.461,0.879,0.475,0.359,0.67,0.785,0.636,0.824,0.552,0.423,0.73,0.774,0.727,0.786,0.571,0.446,0.756
poly,1,2,0.1,3,-3.2,6.7,-0.5,0.78,0.506,0.849,0.472,0.352,0.677,0.717,0.655,0.733,0.494,0.335,0.694,0.717,0.727,0.714,0.516,0.369,0.721
poly,1,2,0.1,4,-3.5,6.7,-0.5,0.775,0.506,0.843,0.467,0.346,0.674,0.717,0.636,0.738,0.486,0.324,0.687,0.755,0.727,0.762,0.552,0.419,0.745
poly,1,2,0.01,0,-1.2,7.2,-0.6,0.808,0.392,0.915,0.446,0.353,0.653,0.758,0.727,0.767,0.556,0.426,0.747,0.736,0.818,0.714,0.562,0.441,0.766
poly,1,2,0.01,1,-3.2,5.7,-0.3,0.799,0.483,0.879,0.487,0.401,0.681,0.736,0.564,0.781,0.471,0.31,0.672,0.736,0.545,0.786,0.462,0.298,0.666
poly,1,2,0.01,2,-4.1,6.9,-0.2,0.799,0.439,0.891,0.472,0.369,0.665,0.74,0.509,0.8,0.444,0.283,0.655,0.792,0.545,0.857,0.522,0.39,0.701
poly,1,2,0.01,3,-4.6,7.9,-0.1,0.799,0.392,0.903,0.44,0.341,0.647,0.762,0.527,0.824,0.478,0.33,0.676,0.792,0.636,0.833,0.56,0.432,0.735
poly,1,2,0.01,4,-5.7,8.8,-0.0,0.804,0.394,0.909,0.451,0.351,0.652,0.789,0.509,0.862,0.501,0.374,0.685,0.774,0.636,0.81,0.538,0.401,0.723
poly,1,2,0.001,0,-1.0,0.5,-0.8,0.809,0.067,1.0,0.113,0.145,0.533,0.819,0.127,1.0,0.223,0.317,0.564,0.83,0.182,1.0,0.308,0.387,0.591
poly,1,2,0.001,1,-1.8,2.9,-0.3,0.742,0.783,0.728,0.559,0.441,0.756,0.702,1.0,0.624,0.586,0.509,0.812,0.642,1.0,0.548,0.537,0.448,0.774
poly,1,2,0.001,2,-2.3,3.1,-0.4,0.751,0.786,0.74,0.573,0.458,0.763,0.664,0.964,0.586,0.544,0.446,0.775,0.679,1.0,0.595,0.564,0.484,0.798
poly,1,2,0.001,3,-2.5,3.5,0.3,0.837,0.411,0.945,0.492,0.435,0.678,0.875,0.691,0.924,0.692,0.618,0.807,0.925,0.818,0.952,0.818,0.771,0.885
poly,1,2,0.001,4,-2.9,3.9,-0.1,0.794,0.575,0.849,0.537,0.428,0.712,0.83,0.891,0.814,0.687,0.61,0.853,0.811,0.909,0.786,0.667,0.588,0.847
poly,1,3,0.1,0,-2.4,9.3,-0.7,0.799,0.417,0.897,0.457,0.358,0.657,0.838,0.8,0.848,0.673,0.582,0.824,0.83,0.909,0.81,0.69,0.615,0.859
poly,1,3,0.1,1,-2.6,8.6,-0.5,0.809,0.325,0.933,0.407,0.326,0.629,0.849,0.6,0.914,0.623,0.532,0.757,0.868,0.727,0.905,0.696,0.612,0.816
poly,1,3,0.1,2,-2.5,7.9,-0.4,0.799,0.3,0.927,0.373,0.285,0.614,0.845,0.582,0.914,0.61,0.518,0.748,0.849,0.636,0.905,0.636,0.541,0.771
poly,1,3,0.1,3,-2.6,7.5,-0.5,0.785,0.394,0.885,0.427,0.302,0.64,0.8,0.6,0.852,0.554,0.43,0.726,0.792,0.636,0.833,0.56,0.432,0.735
poly,1,3,0.1,4,-2.7,7.2,-0.4,0.794,0.369,0.903,0.422,0.31,0.636,0.819,0.564,0.886,0.562,0.451,0.725,0.792,0.636,0.833,0.56,0.432,0.735
poly,1,3,0.01,0,-1.3,9.7,-0.8,0.828,0.456,0.921,0.488,0.429,0.688,0.853,0.927,0.833,0.726,0.662,0.88,0.83,1.0,0.786,0.71,0.657,0.893
