Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-1.2,-0.4,-0.6,0.488,0.861,0.392,0.41,0.218,0.626,0.321,1.0,0.143,0.379,0.183,0.571,0.358,1.0,0.19,0.393,0.216,0.595
RBF,1,0.01,-2.0,1.2,-0.1,0.847,0.719,0.879,0.677,0.593,0.799,0.845,0.945,0.819,0.718,0.656,0.882,0.811,0.909,0.786,0.667,0.588,0.847
RBF,1,0.001,-1.5,2.3,0.0,0.818,0.594,0.873,0.572,0.499,0.734,0.887,0.964,0.867,0.784,0.739,0.915,0.868,1.0,0.833,0.759,0.714,0.917
RBF,1,0.0001,-1.0,-0.1,-0.6,0.725,0.494,0.788,0.466,0.411,0.641,0.774,0.8,0.767,0.696,0.59,0.783,0.208,1.0,0.0,0.344,0.0,0.5
RBF,1,1e-05,-1.0,-0.0,-1.0,0.21,1.0,0.006,0.342,0.016,0.503,0.208,1.0,0.0,0.344,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5
RBF,5,0.1,-1.2,-0.4,-0.6,0.488,0.861,0.392,0.41,0.218,0.626,0.321,1.0,0.143,0.379,0.183,0.571,0.358,1.0,0.19,0.393,0.216,0.595
RBF,5,0.01,-2.7,1.0,-0.2,0.818,0.622,0.867,0.573,0.481,0.745,0.808,0.909,0.781,0.664,0.584,0.845,0.774,0.909,0.738,0.625,0.537,0.824
RBF,5,0.001,-2.6,3.4,-0.3,0.771,0.789,0.764,0.602,0.491,0.777,0.758,1.0,0.695,0.635,0.57,0.848,0.736,1.0,0.667,0.611,0.542,0.833
RBF,5,0.0001,-1.3,1.5,-0.1,0.823,0.503,0.903,0.53,0.47,0.703,0.909,0.945,0.9,0.812,0.768,0.923,0.849,1.0,0.81,0.733,0.685,0.905
RBF,5,1e-05,-0.2,1.0,0.7,0.785,0.492,0.855,0.399,0.381,0.673,0.758,0.673,0.781,0.51,0.452,0.727,0.925,0.727,0.976,0.8,0.76,0.852
RBF,10,0.1,-1.2,-0.4,-0.6,0.488,0.861,0.392,0.41,0.218,0.626,0.321,1.0,0.143,0.379,0.183,0.571,0.358,1.0,0.19,0.393,0.216,0.595
RBF,10,0.01,-2.9,1.1,-0.1,0.852,0.556,0.927,0.592,0.524,0.742,0.842,0.891,0.829,0.7,0.626,0.86,0.83,0.909,0.81,0.69,0.615,0.859
RBF,10,0.001,-3.3,4.1,0.1,0.837,0.619,0.891,0.602,0.518,0.755,0.857,0.855,0.857,0.715,0.639,0.856,0.811,0.727,0.833,0.615,0.505,0.78
RBF,10,0.0001,-1.6,2.5,0.6,0.856,0.294,1.0,0.419,0.443,0.647,0.943,0.782,0.986,0.845,0.822,0.884,0.943,0.818,0.976,0.857,0.823,0.897
RBF,10,1e-05,-1.0,0.9,0.4,0.78,0.467,0.855,0.354,0.316,0.661,0.732,0.527,0.786,0.35,0.3,0.656,0.925,0.727,0.976,0.8,0.76,0.852
