Index,position,attribute,meanImp,medianImp,minImp,maxImp,normHits,decision
13746,1,SMC1B,7.56369321224976,7.64486280206636,-0.528747233355699,10.1977133602735,0.971719457013575,Confirmed
1195,2,AURKC,7.41866483811018,7.56426385976556,0,9.42415531337944,0.968325791855204,Confirmed
2865,3,CLIC2,7.21463968853709,7.32481664148415,-1.00100150250438,9.85078816853961,0.973981900452489,Confirmed
8678,4,MOCS1,6.85793454088849,6.98756026734412,-1.35626349931439,10.1664717895688,0.961538461538462,Confirmed
10252,5,OSBPL1A,6.229814118582,6.33764954742673,-1.00100150250438,9.54384689478477,0.952488687782805,Confirmed
2063,6,CBX5,5.92923203665946,6.07758525102519,-1.71158502046946,8.9820838804317,0.94683257918552,Confirmed
3714,7,DDX55,5.71609095931493,5.82759388018357,-0.512711142806535,8.40786098723643,0.930995475113122,Confirmed
3860,8,DICER1,5.59313146306675,5.72408971931756,-1.00100150250438,8.3812497313817,0.926470588235294,Confirmed
4638,9,EXOC5,5.04281123506474,5.13962938965354,-1.00100150250438,7.74032222762369,0.895927601809955,Confirmed
7098,10,KBTBD12,4.88928214763943,4.96962233124653,-0.103924595033289,7.49928422945675,0.882352941176471,Confirmed
1665,11,C1QC,4.68675014095949,4.78256092138336,-1.00100150250438,7.60043955500696,0.864253393665158,Confirmed
6072,12,GTPBP2,4.611133959373,4.71496519130855,-1.00100150250438,7.43218084363252,0.842760180995475,Confirmed
12483,13,RNF34,4.31762262140255,4.39488227030274,-1.00100150250438,7.47877583977009,0.815610859728507,Confirmed
2548,14,CENPK,4.25349728995937,4.26448256191476,0,6.7730436119481,0.822398190045249,Confirmed
5329,15,FUT4,4.10373040433021,4.12259377753891,-0.496932549726371,7.3269698566173,0.787330316742081,Confirmed
9653,16,NSFL1C,4.03108738986721,4.04631582876301,-1.00100150250438,6.97372103141048,0.76131221719457,Confirmed
5757,17,GNPDA2,3.3473076897919,3.42032921730345,-1.41499874541823,6.195940551923,0.652714932126697,Confirmed
3205,18,CREBL2,3.24380008209045,3.26781870262497,-1.00100150250438,5.92377390717717,0.614253393665158,Confirmed
14349,19,STYXL1,3.08288515997355,3.11384409825644,-1.00100150250438,5.91663627284838,0.583710407239819,Confirmed
14500,20,TACC3,2.43596508617499,2.45974362841219,-1.00100150250438,5.51421724970465,0.423076923076923,Rejected
3777,21,DENND2D,1.03539659405621,1.00100150250438,-0.0642163947172143,1.69247972335568,0,Rejected
779,22,APOL3,0.88798254501362,1.00100150250438,0,1.40131083873809,0,Rejected
4141,23,DUSP1,0.871362220805411,1.00100150250438,-0.480440665545301,1.68394546729177,0,Rejected
11740,24,PTGES3,0.855448193731562,1.00100150250438,0,1.73686322461907,0,Rejected
5719,25,GNAI1,0.815139303130552,1.00100150250438,-0.828171012912633,1.62244629775992,0,Rejected
2903,26,CLSTN3,0.77912381947507,1.00100150250438,0,1.50348587382133,0,Rejected
14608,27,TBC1D22B,0.766311819929637,1.00100150250438,0,1.72758118683873,0,Rejected
15487,28,TRIM13,0.75405060436595,1.00100150250438,-1.00100150250438,1.59935736629956,0,Rejected
11550,29,PRPF4B,0.753020474986177,1.00100150250438,-1.00100150250438,1.67096512078111,0,Rejected
17159,30,ZNF787,0.751218918166755,1.00100150250438,0,1.7349290362428,0,Rejected
6282,31,HIP1R,0.688859490444596,1.00100150250438,0,1.57874544935173,0,Rejected
8516,32,MFAP4,0.674386362345838,1.00100150250438,-0.540423793189051,1.29366362936662,0,Rejected
2333,33,CD52,0.645446674802394,1.00100150250438,0,1.41481062019242,0,Rejected
9477,34,NMI,0.64284322531122,1.00100150250438,-1.00100150250438,1.94068684225899,0,Rejected
15809,35,TXNIP,0.641617043779833,1.00100150250438,-1.00100150250438,1.7354804624521,0,Rejected
12243,36,RFFL,0.63851527626153,1.00100150250438,0,1.41705050316284,0,Rejected
16473,37,YES1,0.634004734259556,1.00100150250438,-1.00100150250438,1.56223771938966,0,Rejected
5172,38,FMO2,0.631362603840729,1.00100150250438,-1.00100150250438,1.4167285799706,0,Rejected
911,39,ARL14,0.629583752996848,1.00100150250438,-1.00100150250438,1.4217798173131,0,Rejected
14109,40,SRBD1,0.619569855567408,0.381069970723429,-0.0344827996228473,1.62414563538962,0,Rejected
16008,41,UNC93A,0.593552501736632,0.780121667767375,0,1.40666517280464,0,Rejected
5010,42,FCGR3A,0.590768483071507,1.00100150250438,-1.00100150250438,1.48181662329111,0,Rejected
2938,43,CNGA1,0.565124392115678,1.00100150250438,-1.00100150250438,1.37773811676569,0,Rejected
14961,44,TLR5,0.554540633193231,0,0,1.5767868024549,0,Rejected
16083,45,USP37,0.548761418340465,1.00100150250438,-1.40834895880057,1.61609883508229,0,Rejected
8294,46,MAPKAPK5,0.541218791974628,0.976969929043978,-1.61760619619321,1.49764325210331,0,Rejected
9840,47,OMG,0.534033948256537,0,-1.05549454587731,1.68881054926918,0,Rejected
7300,48,KIF20A,0.527730302201134,1.00100150250438,-1.00100150250438,1.40691651970838,0,Rejected
13156,49,SFXN5,0.513934793061247,0.72799238491593,-1.00100150250438,1.41679732406235,0,Rejected
9327,50,NEURL3,0.511229506329425,0,0,1.57441044210273,0,Rejected
10622,51,PDE6D,0.509186720841253,1.00100150250438,-1.00100150250438,1.72420618642743,0,Rejected
14307,52,STOX1,0.507061915161851,0.550481083587014,-1.00100150250438,1.40480205824375,0,Rejected
2322,53,CD3D,0.496984754276698,0.386217410099624,-0.511411297831567,1.41705050316284,0,Rejected
