Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.9,-0.5,-0.5,0.645,0.595,0.662,0.396,0.235,0.629,0.623,0.589,0.633,0.389,0.192,0.611,0.557,0.842,0.467,0.478,0.27,0.654
RBF,1,0.01,-1.9,0.8,-0.2,0.754,0.697,0.771,0.57,0.421,0.734,0.661,0.621,0.673,0.469,0.258,0.647,0.646,0.632,0.65,0.462,0.244,0.641
RBF,1,0.001,-1.4,1.4,0.3,0.818,0.272,0.983,0.397,0.401,0.628,0.749,0.305,0.89,0.369,0.229,0.598,0.747,0.316,0.883,0.375,0.23,0.6
RBF,1,0.0001,-0.6,0.8,0.2,0.802,0.218,0.979,0.332,0.347,0.599,0.747,0.221,0.913,0.292,0.178,0.567,0.759,0.158,0.95,0.24,0.174,0.554
RBF,1,1e-05,0.8,1.0,0.9,0.764,0.285,0.908,0.342,0.257,0.597,0.742,0.389,0.853,0.413,0.256,0.621,0.759,0.0,1.0,0.0,0.0,0.5
RBF,5,0.1,-0.9,-0.5,-0.5,0.645,0.595,0.662,0.396,0.235,0.629,0.623,0.589,0.633,0.389,0.192,0.611,0.557,0.842,0.467,0.478,0.27,0.654
RBF,5,0.01,-2.4,0.6,-0.6,0.658,0.861,0.596,0.542,0.39,0.728,0.575,0.853,0.487,0.491,0.296,0.67,0.595,0.842,0.517,0.5,0.31,0.679
RBF,5,0.001,-2.2,2.3,-0.2,0.77,0.685,0.796,0.578,0.437,0.74,0.638,0.568,0.66,0.428,0.199,0.614,0.57,0.579,0.567,0.393,0.125,0.573
RBF,5,0.0001,-1.4,1.6,-0.1,0.815,0.381,0.946,0.484,0.406,0.663,0.754,0.453,0.85,0.469,0.311,0.651,0.759,0.474,0.85,0.486,0.33,0.662
RBF,5,1e-05,-1.0,0.9,0.6,0.789,0.12,0.992,0.185,0.193,0.556,0.754,0.126,0.953,0.172,0.109,0.54,0.759,0.0,1.0,0.0,0.0,0.5
RBF,10,0.1,-0.9,-0.5,-0.5,0.645,0.595,0.662,0.396,0.235,0.629,0.623,0.589,0.633,0.389,0.192,0.611,0.557,0.842,0.467,0.478,0.27,0.654
RBF,10,0.01,-2.5,0.6,-0.6,0.655,0.848,0.596,0.537,0.38,0.722,0.577,0.832,0.497,0.486,0.285,0.664,0.582,0.789,0.517,0.476,0.263,0.653
RBF,10,0.001,-2.7,3.1,-0.1,0.783,0.655,0.821,0.582,0.443,0.738,0.663,0.558,0.697,0.442,0.226,0.627,0.646,0.632,0.65,0.462,0.244,0.641
RBF,10,0.0001,-1.5,1.9,0.2,0.827,0.328,0.979,0.467,0.448,0.653,0.757,0.358,0.883,0.413,0.271,0.621,0.759,0.368,0.883,0.424,0.282,0.626
RBF,10,1e-05,-1.0,0.8,-0.2,0.719,0.404,0.812,0.368,0.277,0.608,0.691,0.463,0.763,0.385,0.229,0.613,0.722,0.158,0.9,0.214,0.078,0.529
