Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-1.0,-0.3,-0.5,0.521,0.823,0.429,0.446,0.221,0.626,0.509,0.832,0.407,0.45,0.213,0.619,0.481,0.842,0.367,0.438,0.192,0.604
RBF,1,0.01,-1.7,1.0,-0.3,0.699,0.722,0.692,0.529,0.36,0.707,0.701,0.695,0.703,0.528,0.349,0.699,0.684,0.684,0.683,0.51,0.32,0.684
RBF,1,0.001,-1.4,1.5,0.2,0.821,0.313,0.975,0.444,0.42,0.644,0.772,0.263,0.933,0.356,0.264,0.598,0.772,0.263,0.933,0.357,0.264,0.598
RBF,1,0.0001,-0.4,0.9,0.3,0.799,0.218,0.975,0.33,0.34,0.597,0.78,0.221,0.957,0.317,0.285,0.589,0.785,0.105,1.0,0.19,0.286,0.553
RBF,1,1e-05,0.9,1.0,0.9,0.713,0.492,0.779,0.436,0.268,0.636,0.694,0.558,0.737,0.464,0.273,0.647,0.759,0.0,1.0,0.0,0.0,0.5
RBF,5,0.1,-1.0,-0.3,-0.5,0.521,0.823,0.429,0.446,0.221,0.626,0.509,0.832,0.407,0.45,0.213,0.619,0.481,0.842,0.367,0.438,0.192,0.604
RBF,5,0.01,-2.3,1.0,-0.3,0.725,0.696,0.733,0.544,0.38,0.715,0.696,0.6,0.727,0.487,0.294,0.663,0.734,0.632,0.767,0.533,0.362,0.699
RBF,5,0.001,-2.1,2.2,1.0,0.812,0.207,0.996,0.331,0.38,0.601,0.775,0.116,0.983,0.193,0.198,0.55,0.759,0.053,0.983,0.095,0.098,0.518
RBF,5,0.0001,-1.3,1.5,0.1,0.824,0.272,0.992,0.404,0.428,0.632,0.78,0.263,0.943,0.364,0.287,0.603,0.785,0.263,0.95,0.37,0.302,0.607
RBF,5,1e-05,-1.0,0.9,0.6,0.776,0.173,0.958,0.227,0.187,0.566,0.762,0.189,0.943,0.226,0.157,0.566,0.759,0.0,1.0,0.0,0.0,0.5
RBF,10,0.1,-1.0,-0.3,-0.5,0.521,0.823,0.429,0.446,0.221,0.626,0.509,0.832,0.407,0.45,0.213,0.619,0.481,0.842,0.367,0.438,0.192,0.604
RBF,10,0.01,-2.5,1.1,-0.3,0.738,0.655,0.762,0.539,0.375,0.709,0.663,0.589,0.687,0.457,0.245,0.638,0.709,0.684,0.717,0.531,0.353,0.7
RBF,10,0.001,-2.4,3.3,-0.2,0.76,0.641,0.796,0.556,0.409,0.718,0.706,0.663,0.72,0.521,0.34,0.692,0.709,0.684,0.717,0.531,0.353,0.7
RBF,10,0.0001,-1.5,1.8,0.3,0.831,0.287,0.996,0.435,0.465,0.641,0.787,0.253,0.957,0.363,0.307,0.605,0.785,0.263,0.95,0.37,0.302,0.607
RBF,10,1e-05,-1.0,0.9,-0.1,0.684,0.563,0.717,0.388,0.323,0.64,0.61,0.432,0.667,0.284,0.15,0.549,0.797,0.158,1.0,0.273,0.353,0.579
