activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.766,0.444,0.849,0.439,0.293,0.647,0.755,0.527,0.814,0.475,0.326,0.671,0.755,0.545,0.81,0.48,0.327,0.677
relu,"(25,)",0.01,0.766,0.397,0.861,0.414,0.27,0.629,0.808,0.6,0.862,0.559,0.441,0.731,0.774,0.545,0.833,0.5,0.357,0.689
relu,"(25,)",0.001,0.761,0.35,0.867,0.379,0.239,0.609,0.823,0.564,0.89,0.557,0.452,0.727,0.774,0.545,0.833,0.5,0.357,0.689
relu,"(25,)",0.0001,0.776,0.375,0.879,0.417,0.285,0.627,0.815,0.582,0.876,0.568,0.453,0.729,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(50,)",0.1,0.775,0.394,0.873,0.417,0.281,0.634,0.717,0.491,0.776,0.42,0.243,0.634,0.736,0.364,0.833,0.364,0.197,0.598
relu,"(50,)",0.01,0.776,0.442,0.861,0.45,0.313,0.651,0.792,0.545,0.857,0.521,0.394,0.701,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(50,)",0.001,0.795,0.442,0.885,0.466,0.345,0.664,0.796,0.491,0.876,0.498,0.373,0.684,0.849,0.636,0.905,0.636,0.541,0.771
relu,"(50,)",0.0001,0.785,0.419,0.88,0.449,0.319,0.65,0.826,0.509,0.91,0.55,0.448,0.709,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(75,)",0.1,0.732,0.344,0.831,0.332,0.171,0.588,0.743,0.545,0.795,0.469,0.312,0.67,0.736,0.545,0.786,0.462,0.298,0.666
relu,"(75,)",0.01,0.732,0.3,0.843,0.313,0.149,0.572,0.74,0.455,0.814,0.422,0.26,0.634,0.792,0.636,0.833,0.56,0.432,0.735
relu,"(75,)",0.001,0.766,0.297,0.886,0.335,0.203,0.591,0.785,0.473,0.867,0.476,0.345,0.67,0.736,0.364,0.833,0.364,0.197,0.598
relu,"(75,)",0.0001,0.789,0.275,0.922,0.346,0.246,0.598,0.8,0.473,0.886,0.495,0.378,0.679,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(100,)",0.1,0.756,0.444,0.837,0.425,0.273,0.641,0.781,0.745,0.79,0.587,0.467,0.768,0.698,0.182,0.833,0.2,0.016,0.508
relu,"(100,)",0.01,0.756,0.372,0.855,0.384,0.236,0.614,0.766,0.527,0.829,0.485,0.341,0.678,0.755,0.455,0.833,0.435,0.279,0.644
relu,"(100,)",0.001,0.77,0.322,0.885,0.367,0.236,0.604,0.804,0.527,0.876,0.529,0.408,0.702,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(100,)",0.0001,0.794,0.322,0.916,0.395,0.299,0.619,0.83,0.527,0.91,0.562,0.464,0.718,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(125,)",0.1,0.742,0.439,0.819,0.406,0.246,0.629,0.74,0.545,0.79,0.463,0.307,0.668,0.755,0.364,0.857,0.381,0.229,0.61
relu,"(125,)",0.01,0.747,0.372,0.843,0.378,0.22,0.608,0.781,0.582,0.833,0.526,0.39,0.708,0.755,0.545,0.81,0.48,0.327,0.677
relu,"(125,)",0.001,0.761,0.303,0.88,0.351,0.217,0.591,0.8,0.564,0.862,0.539,0.415,0.713,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(125,)",0.0001,0.766,0.278,0.892,0.334,0.224,0.585,0.826,0.564,0.895,0.57,0.465,0.729,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(150,)",0.1,0.761,0.392,0.855,0.392,0.247,0.623,0.762,0.655,0.79,0.531,0.395,0.723,0.774,0.727,0.786,0.571,0.446,0.756
