activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(225,)",0.0001,0.814,0.4,0.921,0.456,0.364,0.661,0.857,0.709,0.895,0.667,0.581,0.802,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(250,)",0.1,0.771,0.4,0.867,0.409,0.27,0.634,0.83,0.8,0.838,0.661,0.569,0.819,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(250,)",0.01,0.795,0.378,0.903,0.426,0.311,0.641,0.86,0.782,0.881,0.694,0.614,0.831,0.83,0.818,0.833,0.667,0.576,0.826
relu,"(250,)",0.001,0.79,0.353,0.904,0.403,0.285,0.628,0.845,0.691,0.886,0.645,0.55,0.788,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(250,)",0.0001,0.8,0.353,0.916,0.418,0.312,0.634,0.853,0.673,0.9,0.649,0.561,0.786,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(275,)",0.1,0.766,0.422,0.855,0.415,0.277,0.639,0.845,0.8,0.857,0.682,0.599,0.829,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(275,)",0.01,0.785,0.375,0.891,0.415,0.291,0.633,0.875,0.818,0.89,0.728,0.658,0.854,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(275,)",0.001,0.79,0.331,0.91,0.383,0.269,0.62,0.875,0.764,0.905,0.713,0.641,0.834,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(275,)",0.0001,0.79,0.353,0.903,0.402,0.285,0.628,0.872,0.764,0.9,0.707,0.633,0.832,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(300,)",0.1,0.775,0.419,0.867,0.431,0.292,0.643,0.845,0.764,0.867,0.676,0.585,0.815,0.698,0.364,0.786,0.333,0.141,0.575
relu,"(300,)",0.01,0.79,0.422,0.885,0.447,0.321,0.654,0.868,0.782,0.89,0.705,0.63,0.836,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(300,)",0.001,0.804,0.353,0.922,0.422,0.321,0.637,0.875,0.764,0.905,0.712,0.64,0.834,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(300,)",0.0001,0.804,0.328,0.928,0.409,0.315,0.628,0.872,0.745,0.905,0.697,0.624,0.825,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(25,5)",0.1,0.78,0.45,0.867,0.456,0.322,0.659,0.83,0.764,0.848,0.652,0.554,0.806,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(25,5)",0.01,0.799,0.403,0.903,0.418,0.326,0.653,0.849,0.745,0.876,0.669,0.579,0.811,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(25,5)",0.001,0.78,0.403,0.879,0.408,0.294,0.641,0.83,0.6,0.89,0.582,0.481,0.745,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(25,5)",0.0001,0.78,0.347,0.891,0.394,0.276,0.619,0.804,0.545,0.871,0.529,0.409,0.708,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(50,10)",0.1,0.766,0.4,0.861,0.397,0.264,0.631,0.826,0.727,0.852,0.63,0.529,0.79,0.792,0.636,0.833,0.56,0.432,0.735
relu,"(50,10)",0.01,0.761,0.303,0.88,0.337,0.201,0.591,0.815,0.618,0.867,0.574,0.462,0.742,0.906,0.818,0.929,0.783,0.724,0.873
relu,"(50,10)",0.001,0.771,0.303,0.891,0.351,0.222,0.597,0.819,0.582,0.881,0.556,0.448,0.731,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(50,10)",0.0001,0.775,0.303,0.898,0.354,0.23,0.6,0.804,0.509,0.881,0.51,0.39,0.695,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(75,15)",0.1,0.742,0.425,0.825,0.385,0.232,0.625,0.815,0.727,0.838,0.621,0.515,0.783,0.755,0.0,0.952,0.0,-0.101,0.476
relu,"(75,15)",0.01,0.78,0.378,0.886,0.403,0.275,0.632,0.849,0.818,0.857,0.69,0.607,0.838,0.811,0.727,0.833,0.615,0.505,0.78
