Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,5,2,0.1,0,-1.5,4.8,0.1,0.913,0.907,0.92,0.913,0.829,0.913,0.754,0.225,0.989,0.351,0.371,0.607,0.731,0.125,1.0,0.222,0.3,0.562
poly,5,2,0.1,1,-2.1,3.6,0.2,0.973,0.945,1.0,0.971,0.948,0.972,0.9,0.675,1.0,0.804,0.768,0.838,0.923,0.75,1.0,0.857,0.822,0.875
poly,5,2,0.1,2,-2.2,3.3,0.2,0.966,0.945,0.987,0.964,0.934,0.966,0.908,0.7,1.0,0.822,0.786,0.85,0.923,0.75,1.0,0.857,0.822,0.875
poly,5,2,0.1,3,-2.2,3.2,0.2,0.96,0.945,0.973,0.958,0.921,0.959,0.908,0.7,1.0,0.822,0.786,0.85,0.923,0.75,1.0,0.857,0.822,0.875
poly,5,2,0.1,4,-2.2,3.0,0.3,0.953,0.918,0.987,0.95,0.908,0.952,0.908,0.7,1.0,0.822,0.786,0.85,0.885,0.625,1.0,0.769,0.732,0.812
poly,5,2,0.01,0,-1.2,3.6,-0.1,0.913,0.867,0.96,0.907,0.831,0.913,0.792,0.375,0.978,0.524,0.483,0.676,0.808,0.375,1.0,0.545,0.542,0.688
poly,5,2,0.01,1,-2.2,3.3,0.4,0.939,0.904,0.973,0.935,0.883,0.939,0.9,0.725,0.978,0.817,0.764,0.851,0.885,0.625,1.0,0.769,0.732,0.812
poly,5,2,0.01,2,-2.7,4.0,0.5,0.919,0.89,0.947,0.915,0.84,0.919,0.854,0.675,0.933,0.74,0.649,0.804,0.846,0.625,0.944,0.714,0.624,0.785
poly,5,2,0.01,3,-2.9,4.9,0.6,0.919,0.905,0.933,0.917,0.84,0.919,0.831,0.65,0.911,0.705,0.598,0.781,0.846,0.625,0.944,0.714,0.624,0.785
poly,5,2,0.01,4,-2.9,5.6,0.6,0.919,0.905,0.933,0.917,0.84,0.919,0.808,0.6,0.9,0.657,0.543,0.75,0.808,0.625,0.889,0.667,0.535,0.757
