n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.886,0.88,0.891,0.885,0.772,0.886,0.762,0.309,0.881,0.333,0.196,0.595,0.774,0.182,0.929,0.25,0.153,0.555
200,None,0.5,0.868,0.891,0.843,0.871,0.738,0.867,0.747,0.382,0.843,0.38,0.224,0.612,0.698,0.273,0.81,0.273,0.082,0.541
200,None,0.75,0.837,0.886,0.789,0.847,0.679,0.837,0.725,0.327,0.829,0.331,0.158,0.578,0.755,0.364,0.857,0.381,0.229,0.61
200,None,None,0.816,0.873,0.758,0.829,0.638,0.816,0.721,0.345,0.819,0.337,0.163,0.582,0.774,0.455,0.857,0.455,0.312,0.656
400,None,0.25,0.892,0.88,0.904,0.89,0.785,0.892,0.77,0.327,0.886,0.354,0.222,0.606,0.774,0.273,0.905,0.333,0.213,0.589
400,None,0.5,0.867,0.898,0.837,0.872,0.737,0.867,0.736,0.291,0.852,0.304,0.145,0.572,0.717,0.273,0.833,0.286,0.11,0.553
400,None,0.75,0.846,0.886,0.807,0.854,0.697,0.846,0.725,0.345,0.824,0.342,0.17,0.585,0.774,0.364,0.881,0.4,0.264,0.622
400,None,None,0.825,0.88,0.77,0.837,0.656,0.825,0.736,0.382,0.829,0.373,0.208,0.605,0.755,0.364,0.857,0.381,0.229,0.61
600,None,0.25,0.892,0.886,0.898,0.891,0.785,0.892,0.77,0.345,0.881,0.376,0.242,0.613,0.755,0.182,0.905,0.235,0.111,0.543
600,None,0.5,0.864,0.898,0.831,0.869,0.731,0.864,0.74,0.291,0.857,0.301,0.145,0.574,0.755,0.364,0.857,0.381,0.229,0.61
600,None,0.75,0.84,0.885,0.795,0.849,0.685,0.84,0.732,0.345,0.833,0.347,0.18,0.589,0.774,0.364,0.881,0.4,0.264,0.622
600,None,None,0.813,0.867,0.758,0.826,0.632,0.813,0.728,0.382,0.819,0.368,0.198,0.6,0.755,0.273,0.881,0.316,0.174,0.577
800,None,0.25,0.889,0.898,0.88,0.891,0.779,0.889,0.766,0.327,0.881,0.363,0.226,0.604,0.792,0.364,0.905,0.421,0.304,0.634
800,None,0.5,0.861,0.898,0.825,0.867,0.726,0.861,0.743,0.309,0.857,0.325,0.171,0.583,0.736,0.273,0.857,0.3,0.14,0.565
800,None,0.75,0.84,0.891,0.789,0.85,0.687,0.84,0.736,0.364,0.833,0.362,0.197,0.598,0.774,0.364,0.881,0.4,0.264,0.622
800,None,None,0.813,0.867,0.758,0.826,0.632,0.813,0.725,0.364,0.819,0.353,0.182,0.591,0.755,0.364,0.857,0.381,0.229,0.61
1000,None,0.25,0.886,0.892,0.88,0.888,0.773,0.886,0.766,0.327,0.881,0.364,0.228,0.604,0.792,0.364,0.905,0.421,0.304,0.634
1000,None,0.5,0.867,0.904,0.831,0.873,0.737,0.867,0.747,0.345,0.852,0.357,0.202,0.599,0.736,0.273,0.857,0.3,0.14,0.565
1000,None,0.75,0.843,0.891,0.795,0.852,0.692,0.843,0.732,0.345,0.833,0.344,0.178,0.589,0.774,0.364,0.881,0.4,0.264,0.622
1000,None,None,0.816,0.867,0.764,0.828,0.638,0.816,0.732,0.382,0.824,0.371,0.203,0.603,0.755,0.364,0.857,0.381,0.229,0.61
