Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-1.9,5.4,-0.1,0.932,0.89,0.973,0.926,0.873,0.931,0.785,0.3,1.0,0.453,0.474,0.65,0.808,0.375,1.0,0.545,0.542,0.688
poly,1,2,0.1,1,-2.2,4.2,0.2,0.953,0.931,0.973,0.951,0.91,0.952,0.8,0.35,1.0,0.507,0.516,0.675,0.769,0.25,1.0,0.4,0.433,0.625
poly,1,2,0.1,2,-2.4,3.7,0.2,0.946,0.931,0.96,0.945,0.896,0.946,0.815,0.4,1.0,0.565,0.559,0.7,0.808,0.375,1.0,0.545,0.542,0.688
poly,1,2,0.1,3,-2.7,3.4,0.4,0.946,0.918,0.973,0.944,0.896,0.946,0.785,0.3,1.0,0.452,0.472,0.65,0.769,0.25,1.0,0.4,0.433,0.625
poly,1,2,0.1,4,-2.9,3.6,0.4,0.946,0.918,0.973,0.944,0.896,0.946,0.792,0.325,1.0,0.487,0.498,0.662,0.769,0.25,1.0,0.4,0.433,0.625
poly,1,2,0.01,0,-1.1,2.5,-0.7,0.926,0.918,0.933,0.925,0.857,0.926,0.908,0.725,0.989,0.828,0.784,0.857,0.923,0.75,1.0,0.857,0.822,0.875
poly,1,2,0.01,1,-2.1,4.7,0.0,0.926,0.878,0.973,0.92,0.86,0.926,0.854,0.725,0.911,0.755,0.654,0.818,0.885,0.75,0.944,0.8,0.723,0.847
poly,1,2,0.01,2,-2.3,6.1,0.3,0.933,0.891,0.973,0.928,0.871,0.932,0.862,0.575,0.989,0.71,0.674,0.782,0.885,0.625,1.0,0.769,0.732,0.812
poly,1,2,0.01,3,-2.5,6.9,0.4,0.939,0.918,0.96,0.938,0.884,0.939,0.838,0.5,0.989,0.637,0.612,0.744,0.846,0.5,1.0,0.667,0.64,0.75
poly,1,2,0.01,4,-2.8,7.6,0.4,0.939,0.918,0.96,0.938,0.884,0.939,0.846,0.525,0.989,0.666,0.634,0.757,0.846,0.5,1.0,0.667,0.64,0.75
poly,1,2,0.001,0,-1.0,1.0,-0.1,0.566,0.347,0.8,0.315,0.179,0.573,0.662,0.35,0.8,0.316,0.248,0.575,0.731,0.125,1.0,0.222,0.3,0.562
poly,1,2,0.001,1,-1.7,2.3,-0.3,0.865,0.796,0.933,0.854,0.743,0.865,0.9,0.85,0.922,0.839,0.769,0.886,0.885,0.875,0.889,0.824,0.741,0.882
poly,1,2,0.001,2,-1.9,3.0,-0.4,0.879,0.892,0.866,0.879,0.765,0.879,0.869,0.875,0.867,0.805,0.713,0.871,0.846,0.875,0.833,0.778,0.672,0.854
poly,1,2,0.001,3,-2.1,3.6,-0.3,0.892,0.879,0.907,0.89,0.791,0.893,0.862,0.825,0.878,0.785,0.686,0.851,0.808,0.75,0.833,0.706,0.566,0.792
poly,1,2,0.001,4,-2.2,4.0,-0.3,0.899,0.892,0.907,0.898,0.804,0.9,0.838,0.775,0.867,0.747,0.631,0.821,0.808,0.75,0.833,0.706,0.566,0.792
