Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-1.4,2.6,-0.3,0.939,0.932,0.947,0.939,0.884,0.94,0.769,0.275,0.989,0.414,0.423,0.632,0.731,0.125,1.0,0.222,0.3,0.562
poly,1,2,0.1,1,-1.7,2.9,-0.2,0.946,0.959,0.933,0.947,0.897,0.946,0.823,0.45,0.989,0.603,0.578,0.719,0.808,0.375,1.0,0.545,0.542,0.688
poly,1,2,0.1,2,-1.8,3.0,0.0,0.953,0.959,0.947,0.953,0.908,0.953,0.815,0.425,0.989,0.579,0.558,0.707,0.808,0.375,1.0,0.545,0.542,0.688
poly,1,2,0.1,3,-1.8,3.0,0.4,0.959,0.946,0.973,0.959,0.92,0.96,0.762,0.25,0.989,0.386,0.398,0.619,0.769,0.25,1.0,0.4,0.433,0.625
poly,1,2,0.1,4,-1.8,3.0,0.4,0.952,0.931,0.973,0.951,0.907,0.952,0.762,0.25,0.989,0.386,0.398,0.619,0.769,0.25,1.0,0.4,0.433,0.625
poly,1,2,0.01,0,-1.1,2.7,-0.6,0.933,0.919,0.947,0.932,0.872,0.933,0.838,0.475,1.0,0.642,0.62,0.738,0.846,0.5,1.0,0.667,0.64,0.75
poly,1,2,0.01,1,-1.8,3.2,0.0,0.959,0.959,0.96,0.959,0.92,0.96,0.815,0.55,0.933,0.639,0.542,0.742,0.808,0.5,0.944,0.615,0.52,0.722
poly,1,2,0.01,2,-1.9,4.3,0.2,0.946,0.931,0.96,0.944,0.895,0.946,0.777,0.4,0.944,0.521,0.432,0.672,0.769,0.375,0.944,0.5,0.409,0.66
poly,1,2,0.01,3,-2.0,4.9,0.1,0.932,0.959,0.907,0.934,0.869,0.933,0.769,0.475,0.9,0.555,0.424,0.688,0.769,0.5,0.889,0.571,0.426,0.694
poly,1,2,0.01,4,-2.1,5.2,-0.2,0.919,0.959,0.88,0.923,0.846,0.92,0.762,0.675,0.8,0.631,0.461,0.738,0.692,0.5,0.778,0.5,0.278,0.639
poly,1,2,0.001,0,-1.0,1.0,-0.3,0.6,0.773,0.44,0.583,0.229,0.607,0.562,0.7,0.5,0.448,0.188,0.6,0.769,0.75,0.778,0.667,0.501,0.764
poly,1,2,0.001,1,-1.8,2.5,-0.2,0.905,0.865,0.947,0.899,0.822,0.906,0.862,0.7,0.933,0.754,0.666,0.817,0.923,0.875,0.944,0.875,0.819,0.91
poly,1,2,0.001,2,-1.9,2.9,-0.2,0.905,0.878,0.933,0.901,0.821,0.906,0.892,0.825,0.922,0.824,0.749,0.874,0.885,0.875,0.889,0.824,0.741,0.882
poly,1,2,0.001,3,-2.0,3.2,-0.3,0.919,0.945,0.892,0.921,0.842,0.919,0.869,0.85,0.878,0.801,0.71,0.864,0.885,0.875,0.889,0.824,0.741,0.882
poly,1,2,0.001,4,-2.1,3.4,-0.3,0.932,0.959,0.907,0.935,0.871,0.933,0.854,0.8,0.878,0.772,0.67,0.839,0.885,0.875,0.889,0.824,0.741,0.882
poly,1,3,0.1,0,-1.2,6.0,-0.6,0.926,0.919,0.933,0.926,0.859,0.926,0.838,0.55,0.967,0.673,0.606,0.758,0.846,0.625,0.944,0.714,0.624,0.785
poly,1,3,0.1,1,-1.3,4.6,-0.3,0.933,0.919,0.947,0.932,0.872,0.933,0.769,0.275,0.989,0.414,0.423,0.632,0.769,0.25,1.0,0.4,0.433,0.625
poly,1,3,0.1,2,-1.4,4.1,-0.1,0.939,0.919,0.96,0.938,0.884,0.94,0.762,0.25,0.989,0.384,0.402,0.619,0.769,0.25,1.0,0.4,0.433,0.625
poly,1,3,0.1,3,-1.5,3.8,-0.3,0.946,0.959,0.933,0.947,0.897,0.946,0.838,0.55,0.967,0.672,0.608,0.758,0.808,0.5,0.944,0.615,0.52,0.722
poly,1,3,0.1,4,-1.6,3.6,-0.1,0.953,0.959,0.947,0.953,0.908,0.953,0.808,0.4,0.989,0.55,0.536,0.694,0.808,0.375,1.0,0.545,0.542,0.688
poly,1,3,0.01,0,-1.1,4.2,-0.9,0.939,0.946,0.933,0.94,0.883,0.94,0.931,0.775,1.0,0.872,0.839,0.888,0.923,0.75,1.0,0.857,0.822,0.875
poly,1,3,0.01,1,-1.5,3.2,0.0,0.959,0.959,0.96,0.959,0.92,0.96,0.815,0.5,0.956,0.618,0.544,0.728,0.846,0.5,1.0,0.667,0.64,0.75
poly,1,3,0.01,2,-1.8,3.4,0.1,0.952,0.945,0.96,0.951,0.907,0.952,0.815,0.475,0.967,0.613,0.546,0.721,0.769,0.375,0.944,0.5,0.409,0.66
poly,1,3,0.01,3,-2.1,3.6,0.2,0.932,0.918,0.947,0.931,0.868,0.932,0.815,0.475,0.967,0.611,0.551,0.721,0.808,0.375,1.0,0.545,0.542,0.688
poly,1,3,0.01,4,-2.6,3.6,0.0,0.926,0.958,0.893,0.927,0.857,0.926,0.808,0.625,0.889,0.665,0.537,0.757,0.731,0.5,0.833,0.533,0.347,0.667
poly,1,3,0.001,0,-1.0,1.0,0.9,0.528,0.057,1.0,0.089,0.083,0.529,0.7,0.025,1.0,0.044,0.06,0.512,0.692,0.0,1.0,0.0,0.0,0.5
poly,1,3,0.001,1,-1.8,2.7,-0.3,0.912,0.905,0.919,0.91,0.831,0.912,0.869,0.825,0.889,0.796,0.706,0.857,0.885,0.875,0.889,0.824,0.741,0.882
poly,1,3,0.001,2,-2.1,3.7,0.0,0.939,0.919,0.96,0.936,0.884,0.94,0.838,0.575,0.956,0.679,0.61,0.765,0.769,0.5,0.889,0.571,0.426,0.694
poly,1,3,0.001,3,-2.3,4.6,0.2,0.939,0.918,0.96,0.936,0.883,0.939,0.8,0.525,0.922,0.613,0.504,0.724,0.769,0.5,0.889,0.571,0.426,0.694
poly,1,3,0.001,4,-2.3,5.5,0.2,0.933,0.946,0.92,0.933,0.87,0.933,0.769,0.5,0.889,0.567,0.425,0.694,0.769,0.5,0.889,0.571,0.426,0.694
poly,5,2,0.1,0,-1.4,2.6,-0.3,0.939,0.932,0.947,0.939,0.884,0.94,0.769,0.275,0.989,0.414,0.423,0.632,0.731,0.125,1.0,0.222,0.3,0.562
poly,5,2,0.1,1,-1.7,2.9,-0.2,0.946,0.959,0.933,0.947,0.897,0.946,0.823,0.45,0.989,0.603,0.578,0.719,0.808,0.375,1.0,0.545,0.542,0.688
poly,5,2,0.1,2,-1.8,3.0,0.0,0.953,0.959,0.947,0.953,0.908,0.953,0.815,0.425,0.989,0.579,0.558,0.707,0.808,0.375,1.0,0.545,0.542,0.688
poly,5,2,0.1,3,-1.8,3.0,0.4,0.959,0.946,0.973,0.959,0.92,0.96,0.762,0.25,0.989,0.386,0.398,0.619,0.769,0.25,1.0,0.4,0.433,0.625
poly,5,2,0.1,4,-1.8,3.0,0.4,0.952,0.931,0.973,0.951,0.907,0.952,0.762,0.25,0.989,0.386,0.398,0.619,0.769,0.25,1.0,0.4,0.433,0.625
poly,5,2,0.01,0,-1.2,3.1,-0.3,0.946,0.919,0.973,0.944,0.896,0.946,0.738,0.175,0.989,0.269,0.288,0.582,0.731,0.125,1.0,0.222,0.3,0.562
poly,5,2,0.01,1,-1.8,3.6,0.2,0.946,0.945,0.947,0.945,0.895,0.946,0.8,0.4,0.978,0.547,0.505,0.689,0.808,0.375,1.0,0.545,0.542,0.688
poly,5,2,0.01,2,-2.1,4.4,0.3,0.932,0.917,0.947,0.929,0.869,0.932,0.785,0.4,0.956,0.531,0.46,0.678,0.808,0.375,1.0,0.545,0.542,0.688
poly,5,2,0.01,3,-2.4,4.7,0.4,0.925,0.89,0.96,0.921,0.855,0.925,0.762,0.325,0.956,0.449,0.385,0.64,0.769,0.25,1.0,0.4,0.433,0.625
poly,5,2,0.01,4,-2.7,4.8,0.6,0.919,0.877,0.96,0.913,0.844,0.919,0.754,0.275,0.967,0.4,0.372,0.621,0.769,0.25,1.0,0.4,0.433,0.625
poly,5,2,0.001,0,-0.9,0.9,-0.8,0.735,0.8,0.68,0.758,0.511,0.74,0.669,0.625,0.689,0.57,0.401,0.657,0.885,0.625,1.0,0.769,0.732,0.812
poly,5,2,0.001,1,-2.1,3.6,-0.2,0.939,0.946,0.933,0.939,0.883,0.94,0.854,0.775,0.889,0.768,0.664,0.832,0.808,0.75,0.833,0.706,0.566,0.792
poly,5,2,0.001,2,-2.2,4.3,0.0,0.946,0.946,0.947,0.946,0.896,0.946,0.823,0.65,0.9,0.69,0.577,0.775,0.808,0.625,0.889,0.667,0.535,0.757
poly,5,2,0.001,3,-2.3,4.9,0.1,0.939,0.932,0.947,0.938,0.884,0.94,0.808,0.6,0.9,0.655,0.534,0.75,0.769,0.5,0.889,0.571,0.426,0.694
poly,5,2,0.001,4,-2.3,5.3,0.2,0.939,0.932,0.947,0.938,0.884,0.94,0.792,0.575,0.889,0.629,0.495,0.732,0.769,0.5,0.889,0.571,0.426,0.694
poly,5,3,0.1,0,-1.2,6.0,-0.6,0.926,0.919,0.933,0.926,0.859,0.926,0.838,0.55,0.967,0.673,0.606,0.758,0.846,0.625,0.944,0.714,0.624,0.785
poly,5,3,0.1,1,-1.3,4.6,-0.3,0.933,0.919,0.947,0.932,0.872,0.933,0.769,0.275,0.989,0.414,0.423,0.632,0.769,0.25,1.0,0.4,0.433,0.625
poly,5,3,0.1,2,-1.4,4.1,-0.1,0.939,0.919,0.96,0.938,0.884,0.94,0.762,0.25,0.989,0.384,0.402,0.619,0.769,0.25,1.0,0.4,0.433,0.625
poly,5,3,0.1,3,-1.5,3.8,-0.3,0.946,0.959,0.933,0.947,0.897,0.946,0.838,0.55,0.967,0.672,0.608,0.758,0.808,0.5,0.944,0.615,0.52,0.722
poly,5,3,0.1,4,-1.6,3.6,-0.1,0.953,0.959,0.947,0.953,0.908,0.953,0.808,0.4,0.989,0.55,0.536,0.694,0.808,0.375,1.0,0.545,0.542,0.688
poly,5,3,0.01,0,-1.1,4.9,-0.8,0.952,0.946,0.96,0.952,0.907,0.953,0.862,0.65,0.956,0.74,0.664,0.803,0.846,0.625,0.944,0.714,0.624,0.785
poly,5,3,0.01,1,-1.8,3.2,0.0,0.953,0.959,0.947,0.953,0.908,0.953,0.838,0.5,0.989,0.652,0.617,0.744,0.846,0.5,1.0,0.667,0.64,0.75
poly,5,3,0.01,2,-2.2,3.1,0.1,0.939,0.931,0.947,0.938,0.881,0.939,0.823,0.525,0.956,0.648,0.576,0.74,0.808,0.375,1.0,0.545,0.542,0.688
poly,5,3,0.01,3,-2.4,3.3,-0.1,0.932,0.958,0.907,0.934,0.87,0.932,0.8,0.625,0.878,0.657,0.524,0.751,0.731,0.5,0.833,0.533,0.347,0.667
poly,5,3,0.01,4,-2.6,3.6,0.0,0.926,0.958,0.893,0.927,0.857,0.926,0.808,0.625,0.889,0.665,0.537,0.757,0.731,0.5,0.833,0.533,0.347,0.667
poly,5,3,0.001,0,-1.0,1.2,-0.9,0.667,0.773,0.573,0.654,0.375,0.673,0.615,0.65,0.6,0.52,0.334,0.625,0.846,0.5,1.0,0.667,0.64,0.75
poly,5,3,0.001,1,-2.1,3.8,0.0,0.946,0.932,0.96,0.944,0.896,0.946,0.846,0.6,0.956,0.704,0.63,0.778,0.769,0.5,0.889,0.571,0.426,0.694
poly,5,3,0.001,2,-2.4,5.6,0.4,0.925,0.904,0.947,0.922,0.857,0.925,0.762,0.375,0.933,0.487,0.387,0.654,0.692,0.25,0.889,0.333,0.178,0.569
poly,5,3,0.001,3,-2.6,5.9,0.5,0.919,0.904,0.933,0.915,0.842,0.919,0.723,0.25,0.933,0.349,0.27,0.592,0.769,0.25,1.0,0.4,0.433,0.625
