n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.773,0.041,0.996,0.077,0.124,0.518,0.797,0.168,0.997,0.282,0.347,0.583,0.797,0.211,0.983,0.333,0.34,0.597
200,None,0.5,0.789,0.125,0.992,0.206,0.261,0.558,0.792,0.2,0.98,0.316,0.321,0.59,0.785,0.158,0.983,0.261,0.275,0.571
200,None,0.75,0.792,0.139,0.992,0.227,0.255,0.565,0.782,0.179,0.973,0.279,0.265,0.576,0.785,0.211,0.967,0.32,0.286,0.589
200,None,None,0.783,0.11,0.988,0.186,0.205,0.549,0.777,0.189,0.963,0.29,0.25,0.576,0.81,0.316,0.967,0.444,0.4,0.641
400,None,0.25,0.776,0.07,0.992,0.124,0.159,0.531,0.79,0.158,0.99,0.266,0.306,0.574,0.785,0.158,0.983,0.261,0.275,0.571
400,None,0.5,0.789,0.11,0.996,0.19,0.237,0.553,0.78,0.168,0.973,0.267,0.257,0.571,0.785,0.211,0.967,0.32,0.286,0.589
400,None,0.75,0.786,0.097,0.996,0.168,0.218,0.546,0.782,0.168,0.977,0.269,0.264,0.573,0.785,0.211,0.967,0.32,0.286,0.589
400,None,None,0.786,0.11,0.992,0.187,0.217,0.551,0.772,0.158,0.967,0.249,0.216,0.562,0.797,0.263,0.967,0.385,0.346,0.615
600,None,0.25,0.78,0.07,0.996,0.125,0.182,0.533,0.792,0.158,0.993,0.267,0.318,0.576,0.797,0.211,0.983,0.333,0.34,0.597
600,None,0.5,0.786,0.097,0.996,0.168,0.218,0.546,0.782,0.168,0.977,0.267,0.262,0.573,0.785,0.211,0.967,0.32,0.286,0.589
600,None,0.75,0.786,0.097,0.996,0.168,0.218,0.546,0.785,0.189,0.973,0.296,0.279,0.581,0.785,0.211,0.967,0.32,0.286,0.589
600,None,None,0.786,0.11,0.992,0.187,0.217,0.551,0.772,0.168,0.963,0.259,0.219,0.566,0.797,0.263,0.967,0.385,0.346,0.615
800,None,0.25,0.78,0.07,0.996,0.125,0.182,0.533,0.79,0.168,0.987,0.276,0.306,0.578,0.797,0.211,0.983,0.333,0.34,0.597
800,None,0.5,0.786,0.097,0.996,0.168,0.218,0.546,0.785,0.168,0.98,0.27,0.273,0.574,0.785,0.211,0.967,0.32,0.286,0.589
800,None,0.75,0.786,0.097,0.996,0.168,0.218,0.546,0.777,0.179,0.967,0.277,0.243,0.573,0.785,0.211,0.967,0.32,0.286,0.589
800,None,None,0.789,0.11,0.996,0.19,0.237,0.553,0.775,0.179,0.963,0.274,0.234,0.571,0.797,0.263,0.967,0.385,0.346,0.615
1000,None,0.25,0.78,0.07,0.996,0.125,0.182,0.533,0.787,0.158,0.987,0.262,0.293,0.572,0.797,0.211,0.983,0.333,0.34,0.597
1000,None,0.5,0.786,0.097,0.996,0.168,0.218,0.546,0.79,0.179,0.983,0.288,0.304,0.581,0.785,0.211,0.967,0.32,0.286,0.589
1000,None,0.75,0.789,0.111,0.996,0.19,0.241,0.554,0.777,0.179,0.967,0.277,0.243,0.573,0.785,0.211,0.967,0.32,0.286,0.589
1000,None,None,0.786,0.11,0.992,0.187,0.217,0.551,0.78,0.2,0.963,0.302,0.262,0.582,0.797,0.263,0.967,0.385,0.346,0.615
