n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.77,0.04,0.992,0.072,0.083,0.516,0.782,0.137,0.987,0.229,0.273,0.562,0.785,0.105,1.0,0.19,0.286,0.553
200,None,0.5,0.78,0.082,0.992,0.144,0.189,0.537,0.782,0.147,0.983,0.238,0.274,0.565,0.785,0.158,0.983,0.261,0.275,0.571
200,None,0.75,0.786,0.11,0.992,0.186,0.227,0.551,0.777,0.126,0.983,0.212,0.25,0.555,0.772,0.105,0.983,0.182,0.198,0.544
200,None,None,0.78,0.095,0.987,0.16,0.187,0.541,0.785,0.179,0.977,0.286,0.284,0.578,0.759,0.053,0.983,0.095,0.098,0.518
400,None,0.25,0.773,0.041,0.996,0.077,0.124,0.518,0.787,0.147,0.99,0.247,0.304,0.569,0.785,0.105,1.0,0.19,0.286,0.553
400,None,0.5,0.78,0.082,0.992,0.144,0.189,0.537,0.785,0.147,0.987,0.247,0.288,0.567,0.785,0.158,0.983,0.261,0.275,0.571
400,None,0.75,0.783,0.095,0.992,0.166,0.209,0.543,0.78,0.137,0.983,0.228,0.247,0.56,0.772,0.105,0.983,0.182,0.198,0.544
400,None,None,0.78,0.096,0.988,0.164,0.202,0.542,0.785,0.179,0.977,0.284,0.279,0.578,0.772,0.105,0.983,0.182,0.198,0.544
600,None,0.25,0.78,0.055,1.0,0.1,0.158,0.528,0.78,0.116,0.99,0.199,0.26,0.553,0.772,0.053,1.0,0.1,0.201,0.526
600,None,0.5,0.773,0.054,0.992,0.097,0.12,0.523,0.78,0.137,0.983,0.23,0.261,0.56,0.772,0.105,0.983,0.182,0.198,0.544
600,None,0.75,0.776,0.068,0.992,0.122,0.166,0.53,0.777,0.126,0.983,0.212,0.237,0.555,0.772,0.105,0.983,0.182,0.198,0.544
600,None,None,0.773,0.068,0.988,0.122,0.16,0.528,0.78,0.158,0.977,0.257,0.255,0.567,0.772,0.105,0.983,0.182,0.198,0.544
800,None,0.25,0.776,0.041,1.0,0.077,0.138,0.52,0.782,0.126,0.99,0.215,0.274,0.558,0.785,0.105,1.0,0.19,0.286,0.553
800,None,0.5,0.773,0.054,0.992,0.097,0.12,0.523,0.782,0.147,0.983,0.246,0.271,0.565,0.785,0.158,0.983,0.261,0.275,0.571
800,None,0.75,0.773,0.054,0.992,0.097,0.12,0.523,0.772,0.126,0.977,0.21,0.219,0.551,0.772,0.105,0.983,0.182,0.198,0.544
800,None,None,0.77,0.054,0.988,0.097,0.114,0.521,0.782,0.168,0.977,0.27,0.265,0.573,0.772,0.105,0.983,0.182,0.198,0.544
1000,None,0.25,0.773,0.027,1.0,0.05,0.091,0.513,0.785,0.137,0.99,0.233,0.291,0.563,0.785,0.105,1.0,0.19,0.286,0.553
1000,None,0.5,0.773,0.054,0.992,0.097,0.12,0.523,0.78,0.137,0.983,0.23,0.261,0.56,0.785,0.158,0.983,0.261,0.275,0.571
1000,None,0.75,0.773,0.054,0.992,0.097,0.12,0.523,0.772,0.126,0.977,0.21,0.219,0.551,0.772,0.105,0.983,0.182,0.198,0.544
1000,None,None,0.77,0.054,0.988,0.097,0.114,0.521,0.777,0.147,0.977,0.24,0.236,0.562,0.772,0.105,0.983,0.182,0.198,0.544
