n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.885,0.917,0.854,0.889,0.774,0.885,0.762,0.495,0.847,0.499,0.345,0.671,0.797,0.579,0.867,0.579,0.446,0.723
200,None,0.5,0.883,0.929,0.838,0.889,0.773,0.883,0.765,0.526,0.84,0.517,0.364,0.683,0.747,0.526,0.817,0.5,0.332,0.671
200,None,0.75,0.885,0.929,0.842,0.89,0.776,0.885,0.767,0.526,0.843,0.52,0.368,0.685,0.759,0.421,0.867,0.457,0.306,0.644
200,None,None,0.881,0.938,0.825,0.887,0.769,0.881,0.747,0.505,0.823,0.486,0.321,0.664,0.759,0.526,0.833,0.513,0.354,0.68
400,None,0.25,0.883,0.912,0.854,0.887,0.77,0.883,0.777,0.505,0.863,0.521,0.378,0.684,0.759,0.526,0.833,0.513,0.354,0.68
400,None,0.5,0.883,0.933,0.833,0.889,0.773,0.883,0.762,0.516,0.84,0.51,0.354,0.678,0.772,0.579,0.833,0.55,0.399,0.706
400,None,0.75,0.877,0.938,0.817,0.884,0.761,0.877,0.765,0.505,0.847,0.507,0.354,0.676,0.747,0.421,0.85,0.444,0.282,0.636
400,None,None,0.873,0.933,0.812,0.88,0.753,0.873,0.752,0.526,0.823,0.503,0.34,0.675,0.772,0.526,0.85,0.526,0.376,0.688
600,None,0.25,0.888,0.921,0.854,0.891,0.779,0.888,0.772,0.526,0.85,0.526,0.377,0.688,0.785,0.474,0.883,0.514,0.38,0.679
600,None,0.5,0.881,0.929,0.833,0.887,0.767,0.881,0.754,0.516,0.83,0.502,0.34,0.673,0.734,0.474,0.817,0.462,0.285,0.645
600,None,0.75,0.885,0.938,0.833,0.891,0.777,0.885,0.759,0.526,0.833,0.511,0.354,0.68,0.759,0.474,0.85,0.486,0.33,0.662
600,None,None,0.873,0.933,0.812,0.88,0.753,0.873,0.747,0.484,0.83,0.477,0.312,0.657,0.772,0.474,0.867,0.5,0.354,0.67
800,None,0.25,0.89,0.925,0.854,0.894,0.783,0.89,0.772,0.516,0.853,0.521,0.373,0.685,0.785,0.474,0.883,0.514,0.38,0.679
800,None,0.5,0.888,0.938,0.838,0.893,0.781,0.888,0.765,0.505,0.847,0.507,0.353,0.676,0.747,0.474,0.833,0.474,0.307,0.654
800,None,0.75,0.883,0.933,0.833,0.889,0.773,0.883,0.759,0.526,0.833,0.511,0.354,0.68,0.759,0.474,0.85,0.486,0.33,0.662
800,None,None,0.877,0.933,0.821,0.883,0.761,0.877,0.747,0.484,0.83,0.478,0.312,0.657,0.785,0.474,0.883,0.514,0.38,0.679
1000,None,0.25,0.892,0.925,0.858,0.895,0.787,0.892,0.772,0.516,0.853,0.521,0.372,0.685,0.759,0.474,0.85,0.486,0.33,0.662
1000,None,0.5,0.883,0.938,0.829,0.889,0.773,0.883,0.759,0.505,0.84,0.501,0.344,0.673,0.747,0.474,0.833,0.474,0.307,0.654
1000,None,0.75,0.881,0.933,0.829,0.887,0.769,0.881,0.762,0.516,0.84,0.509,0.353,0.678,0.772,0.474,0.867,0.5,0.354,0.67
1000,None,None,0.875,0.929,0.821,0.881,0.756,0.875,0.747,0.505,0.823,0.489,0.322,0.664,0.772,0.474,0.867,0.5,0.354,0.67
