activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.906,0.933,0.879,0.91,0.817,0.906,0.808,0.6,0.9,0.66,0.541,0.75,0.769,0.625,0.833,0.625,0.458,0.729
relu,"(25,)",0.01,0.906,0.92,0.891,0.909,0.814,0.906,0.823,0.625,0.911,0.683,0.571,0.768,0.808,0.625,0.889,0.667,0.535,0.757
relu,"(25,)",0.001,0.905,0.892,0.918,0.905,0.811,0.905,0.831,0.625,0.922,0.692,0.588,0.774,0.885,0.625,1.0,0.769,0.732,0.812
relu,"(25,)",0.0001,0.844,0.811,0.876,0.841,0.692,0.844,0.8,0.65,0.867,0.666,0.526,0.758,0.808,0.625,0.889,0.667,0.535,0.757
relu,"(50,)",0.1,0.879,0.933,0.826,0.886,0.764,0.88,0.815,0.625,0.9,0.675,0.553,0.762,0.808,0.75,0.833,0.706,0.566,0.792
relu,"(50,)",0.01,0.919,0.946,0.892,0.923,0.845,0.919,0.762,0.55,0.856,0.58,0.427,0.703,0.769,0.5,0.889,0.571,0.426,0.694
relu,"(50,)",0.001,0.906,0.919,0.891,0.908,0.813,0.905,0.762,0.5,0.878,0.558,0.407,0.689,0.769,0.5,0.889,0.571,0.426,0.694
relu,"(50,)",0.0001,0.899,0.878,0.918,0.898,0.801,0.898,0.792,0.7,0.833,0.675,0.524,0.767,0.769,0.625,0.833,0.625,0.458,0.729
relu,"(75,)",0.1,0.885,0.906,0.865,0.888,0.771,0.885,0.777,0.525,0.889,0.592,0.453,0.707,0.769,0.5,0.889,0.571,0.426,0.694
relu,"(75,)",0.01,0.899,0.947,0.851,0.904,0.804,0.899,0.762,0.525,0.867,0.577,0.422,0.696,0.846,0.5,1.0,0.667,0.64,0.75
relu,"(75,)",0.001,0.899,0.932,0.865,0.903,0.803,0.899,0.777,0.525,0.889,0.594,0.459,0.707,0.846,0.5,1.0,0.667,0.64,0.75
relu,"(75,)",0.0001,0.898,0.905,0.891,0.899,0.798,0.898,0.785,0.625,0.856,0.637,0.494,0.74,0.769,0.625,0.833,0.625,0.458,0.729
relu,"(100,)",0.1,0.871,0.906,0.837,0.876,0.746,0.871,0.792,0.625,0.867,0.648,0.503,0.746,0.769,0.625,0.833,0.625,0.458,0.729
relu,"(100,)",0.01,0.912,0.959,0.865,0.916,0.829,0.912,0.823,0.6,0.922,0.677,0.57,0.761,0.846,0.625,0.944,0.714,0.624,0.785
relu,"(100,)",0.001,0.899,0.946,0.851,0.903,0.802,0.899,0.815,0.55,0.933,0.649,0.551,0.742,0.846,0.5,1.0,0.667,0.64,0.75
relu,"(100,)",0.0001,0.885,0.905,0.864,0.888,0.771,0.884,0.785,0.6,0.867,0.628,0.482,0.733,0.846,0.75,0.889,0.75,0.639,0.819
