activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.754,0.522,0.825,0.496,0.338,0.673,0.671,0.358,0.77,0.338,0.122,0.564,0.671,0.211,0.817,0.235,0.03,0.514
relu,"(25,)",0.01,0.767,0.467,0.858,0.481,0.333,0.662,0.699,0.337,0.813,0.345,0.156,0.575,0.696,0.316,0.817,0.333,0.138,0.566
relu,"(25,)",0.001,0.761,0.441,0.858,0.46,0.31,0.65,0.714,0.347,0.83,0.367,0.188,0.589,0.734,0.368,0.85,0.4,0.232,0.609
relu,"(25,)",0.0001,0.78,0.413,0.892,0.467,0.336,0.652,0.739,0.358,0.86,0.399,0.243,0.609,0.722,0.316,0.85,0.353,0.181,0.583
relu,"(50,)",0.1,0.754,0.492,0.833,0.472,0.315,0.663,0.671,0.379,0.763,0.355,0.138,0.571,0.684,0.316,0.8,0.324,0.118,0.558
relu,"(50,)",0.01,0.776,0.479,0.867,0.498,0.356,0.673,0.686,0.221,0.833,0.249,0.058,0.527,0.696,0.211,0.85,0.25,0.07,0.53
relu,"(50,)",0.001,0.792,0.45,0.896,0.501,0.382,0.673,0.714,0.221,0.87,0.269,0.107,0.546,0.684,0.158,0.85,0.194,0.009,0.504
relu,"(50,)",0.0001,0.795,0.438,0.904,0.5,0.384,0.671,0.729,0.211,0.893,0.272,0.131,0.552,0.709,0.158,0.883,0.207,0.053,0.521
relu,"(75,)",0.1,0.748,0.385,0.858,0.413,0.257,0.622,0.678,0.337,0.787,0.333,0.122,0.562,0.709,0.368,0.817,0.378,0.189,0.593
relu,"(75,)",0.01,0.761,0.466,0.85,0.473,0.321,0.658,0.699,0.316,0.82,0.334,0.144,0.568,0.734,0.316,0.867,0.364,0.204,0.591
relu,"(75,)",0.001,0.77,0.467,0.862,0.484,0.339,0.665,0.719,0.305,0.85,0.343,0.175,0.578,0.722,0.316,0.85,0.353,0.181,0.583
relu,"(75,)",0.0001,0.773,0.439,0.875,0.472,0.336,0.657,0.747,0.305,0.887,0.364,0.229,0.596,0.747,0.263,0.9,0.333,0.201,0.582
relu,"(100,)",0.1,0.744,0.491,0.821,0.466,0.301,0.656,0.696,0.411,0.787,0.393,0.194,0.599,0.722,0.368,0.833,0.389,0.21,0.601
relu,"(100,)",0.01,0.786,0.438,0.892,0.488,0.36,0.665,0.714,0.316,0.84,0.342,0.168,0.578,0.709,0.263,0.85,0.303,0.127,0.557
relu,"(100,)",0.001,0.808,0.451,0.917,0.523,0.419,0.684,0.716,0.284,0.853,0.323,0.153,0.569,0.722,0.263,0.867,0.312,0.15,0.565
relu,"(100,)",0.0001,0.808,0.45,0.917,0.52,0.417,0.684,0.739,0.295,0.88,0.351,0.203,0.587,0.734,0.263,0.883,0.323,0.174,0.573
relu,"(125,)",0.1,0.776,0.48,0.867,0.499,0.356,0.673,0.676,0.316,0.79,0.318,0.107,0.553,0.671,0.263,0.8,0.278,0.066,0.532
relu,"(125,)",0.01,0.783,0.52,0.862,0.527,0.388,0.691,0.694,0.263,0.83,0.288,0.1,0.547,0.709,0.263,0.85,0.303,0.127,0.557
relu,"(125,)",0.001,0.786,0.48,0.879,0.506,0.377,0.68,0.706,0.274,0.843,0.309,0.13,0.559,0.709,0.263,0.85,0.303,0.127,0.557
relu,"(125,)",0.0001,0.792,0.493,0.883,0.521,0.394,0.688,0.722,0.274,0.863,0.321,0.157,0.569,0.722,0.263,0.867,0.312,0.15,0.565
relu,"(150,)",0.1,0.76,0.519,0.833,0.501,0.346,0.676,0.671,0.4,0.757,0.366,0.148,0.578,0.684,0.263,0.817,0.286,0.085,0.54
relu,"(150,)",0.01,0.767,0.465,0.858,0.48,0.333,0.662,0.704,0.284,0.837,0.314,0.131,0.56,0.696,0.263,0.833,0.294,0.105,0.548
relu,"(150,)",0.001,0.76,0.437,0.858,0.46,0.309,0.648,0.716,0.295,0.85,0.331,0.159,0.572,0.709,0.263,0.85,0.303,0.127,0.557
relu,"(150,)",0.0001,0.773,0.41,0.883,0.455,0.32,0.647,0.724,0.274,0.867,0.322,0.161,0.57,0.747,0.263,0.9,0.333,0.201,0.582
relu,"(175,)",0.1,0.763,0.504,0.842,0.492,0.344,0.673,0.678,0.274,0.807,0.293,0.087,0.54,0.696,0.368,0.8,0.368,0.168,0.584
relu,"(175,)",0.01,0.773,0.466,0.867,0.487,0.344,0.666,0.706,0.305,0.833,0.335,0.152,0.569,0.709,0.263,0.85,0.303,0.127,0.557
relu,"(175,)",0.001,0.786,0.438,0.892,0.487,0.362,0.665,0.719,0.284,0.857,0.326,0.158,0.57,0.722,0.263,0.867,0.312,0.15,0.565
relu,"(175,)",0.0001,0.799,0.424,0.912,0.491,0.383,0.668,0.724,0.284,0.863,0.33,0.168,0.574,0.722,0.263,0.867,0.312,0.15,0.565
relu,"(200,)",0.1,0.783,0.559,0.85,0.544,0.402,0.705,0.694,0.463,0.767,0.421,0.218,0.615,0.696,0.368,0.8,0.368,0.168,0.584
relu,"(200,)",0.01,0.796,0.492,0.888,0.526,0.4,0.69,0.706,0.316,0.83,0.336,0.155,0.573,0.696,0.211,0.85,0.25,0.07,0.53
relu,"(200,)",0.001,0.783,0.478,0.875,0.504,0.37,0.677,0.716,0.347,0.833,0.369,0.192,0.59,0.747,0.316,0.883,0.375,0.23,0.6
relu,"(200,)",0.0001,0.776,0.464,0.871,0.487,0.347,0.667,0.732,0.316,0.863,0.358,0.198,0.59,0.734,0.211,0.9,0.276,0.142,0.555
relu,"(225,)",0.1,0.78,0.55,0.85,0.537,0.395,0.7,0.686,0.358,0.79,0.354,0.149,0.574,0.747,0.526,0.817,0.5,0.332,0.671
relu,"(225,)",0.01,0.78,0.48,0.871,0.502,0.365,0.675,0.691,0.274,0.823,0.298,0.106,0.549,0.696,0.263,0.833,0.294,0.105,0.548
relu,"(225,)",0.001,0.776,0.492,0.862,0.504,0.363,0.677,0.714,0.284,0.85,0.322,0.149,0.567,0.696,0.263,0.833,0.294,0.105,0.548
relu,"(225,)",0.0001,0.783,0.479,0.875,0.507,0.371,0.677,0.734,0.316,0.867,0.363,0.205,0.591,0.722,0.263,0.867,0.312,0.15,0.565
relu,"(250,)",0.1,0.776,0.574,0.838,0.545,0.399,0.706,0.686,0.411,0.773,0.379,0.176,0.592,0.684,0.474,0.75,0.419,0.208,0.612
relu,"(250,)",0.01,0.796,0.479,0.892,0.52,0.395,0.685,0.701,0.305,0.827,0.327,0.142,0.566,0.722,0.263,0.867,0.312,0.15,0.565
relu,"(250,)",0.001,0.799,0.492,0.892,0.531,0.411,0.692,0.719,0.295,0.853,0.33,0.161,0.574,0.734,0.263,0.883,0.323,0.174,0.573
