activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.725,0.346,0.842,0.356,0.185,0.594,0.737,0.368,0.853,0.4,0.24,0.611,0.747,0.474,0.833,0.474,0.307,0.654
relu,"(25,)",0.01,0.745,0.387,0.854,0.406,0.248,0.62,0.716,0.368,0.827,0.377,0.197,0.598,0.759,0.474,0.85,0.486,0.33,0.662
relu,"(25,)",0.001,0.754,0.401,0.862,0.411,0.26,0.632,0.727,0.4,0.83,0.413,0.237,0.615,0.709,0.368,0.817,0.378,0.189,0.593
relu,"(25,)",0.0001,0.77,0.192,0.946,0.267,0.187,0.569,0.759,0.158,0.95,0.236,0.17,0.554,0.747,0.105,0.95,0.167,0.097,0.528
relu,"(50,)",0.1,0.7,0.371,0.8,0.355,0.162,0.586,0.691,0.316,0.81,0.323,0.127,0.563,0.722,0.474,0.8,0.45,0.265,0.637
relu,"(50,)",0.01,0.729,0.331,0.85,0.342,0.175,0.591,0.719,0.358,0.833,0.381,0.201,0.596,0.734,0.368,0.85,0.4,0.232,0.609
relu,"(50,)",0.001,0.741,0.347,0.862,0.36,0.206,0.605,0.742,0.368,0.86,0.407,0.247,0.614,0.734,0.421,0.833,0.432,0.259,0.627
relu,"(50,)",0.0001,0.767,0.205,0.938,0.279,0.193,0.571,0.787,0.147,0.99,0.245,0.287,0.569,0.797,0.158,1.0,0.273,0.353,0.579
relu,"(75,)",0.1,0.729,0.4,0.829,0.384,0.219,0.615,0.742,0.389,0.853,0.418,0.256,0.621,0.759,0.526,0.833,0.513,0.354,0.68
relu,"(75,)",0.01,0.741,0.386,0.85,0.399,0.239,0.618,0.724,0.358,0.84,0.383,0.208,0.599,0.747,0.421,0.85,0.444,0.282,0.636
relu,"(75,)",0.001,0.751,0.373,0.867,0.385,0.239,0.62,0.737,0.368,0.853,0.402,0.237,0.611,0.722,0.421,0.817,0.421,0.238,0.619
relu,"(75,)",0.0001,0.748,0.208,0.912,0.262,0.143,0.56,0.762,0.147,0.957,0.227,0.174,0.552,0.747,0.105,0.95,0.167,0.097,0.528
relu,"(100,)",0.1,0.71,0.333,0.825,0.333,0.15,0.579,0.729,0.4,0.833,0.413,0.238,0.617,0.747,0.368,0.867,0.412,0.256,0.618
relu,"(100,)",0.01,0.751,0.359,0.871,0.386,0.236,0.615,0.749,0.368,0.87,0.414,0.263,0.619,0.759,0.421,0.867,0.457,0.306,0.644
relu,"(100,)",0.001,0.748,0.359,0.867,0.378,0.224,0.613,0.739,0.368,0.857,0.404,0.242,0.613,0.747,0.421,0.85,0.444,0.282,0.636
relu,"(100,)",0.0001,0.757,0.234,0.917,0.29,0.172,0.575,0.78,0.221,0.957,0.319,0.263,0.589,0.772,0.211,0.95,0.308,0.241,0.58
relu,"(125,)",0.1,0.729,0.359,0.842,0.363,0.194,0.6,0.724,0.347,0.843,0.376,0.204,0.595,0.759,0.421,0.867,0.457,0.306,0.644
relu,"(125,)",0.01,0.745,0.373,0.858,0.383,0.226,0.616,0.724,0.337,0.847,0.368,0.197,0.592,0.734,0.368,0.85,0.4,0.232,0.609
relu,"(125,)",0.001,0.725,0.29,0.858,0.32,0.156,0.574,0.734,0.326,0.863,0.371,0.21,0.595,0.747,0.368,0.867,0.412,0.256,0.618
relu,"(125,)",0.0001,0.757,0.25,0.912,0.305,0.189,0.581,0.777,0.253,0.943,0.351,0.274,0.598,0.797,0.316,0.95,0.429,0.358,0.633
relu,"(150,)",0.1,0.748,0.429,0.846,0.424,0.266,0.637,0.737,0.379,0.85,0.409,0.243,0.614,0.772,0.421,0.883,0.471,0.332,0.652
relu,"(150,)",0.01,0.741,0.332,0.867,0.347,0.197,0.6,0.732,0.368,0.847,0.397,0.228,0.608,0.772,0.421,0.883,0.471,0.332,0.652
relu,"(150,)",0.001,0.754,0.36,0.875,0.381,0.235,0.618,0.729,0.368,0.843,0.394,0.223,0.606,0.734,0.421,0.833,0.432,0.259,0.627
relu,"(150,)",0.0001,0.757,0.25,0.912,0.302,0.187,0.581,0.785,0.337,0.927,0.427,0.325,0.632,0.772,0.368,0.9,0.438,0.309,0.634
relu,"(175,)",0.1,0.713,0.359,0.821,0.359,0.175,0.59,0.724,0.347,0.843,0.374,0.201,0.595,0.747,0.368,0.867,0.412,0.256,0.618
relu,"(175,)",0.01,0.742,0.346,0.862,0.362,0.206,0.604,0.744,0.358,0.867,0.401,0.246,0.612,0.772,0.421,0.883,0.471,0.332,0.652
relu,"(175,)",0.001,0.754,0.347,0.879,0.367,0.223,0.613,0.727,0.337,0.85,0.372,0.202,0.593,0.759,0.368,0.883,0.424,0.282,0.626
relu,"(175,)",0.0001,0.757,0.278,0.904,0.323,0.196,0.591,0.782,0.316,0.93,0.41,0.313,0.623,0.747,0.263,0.9,0.333,0.201,0.582
relu,"(200,)",0.1,0.729,0.401,0.829,0.388,0.218,0.615,0.747,0.368,0.867,0.409,0.255,0.618,0.747,0.421,0.85,0.444,0.282,0.636
relu,"(200,)",0.01,0.738,0.359,0.854,0.366,0.205,0.607,0.729,0.347,0.85,0.38,0.212,0.599,0.734,0.368,0.85,0.4,0.232,0.609
relu,"(200,)",0.001,0.741,0.331,0.867,0.354,0.198,0.599,0.729,0.337,0.853,0.374,0.206,0.595,0.759,0.421,0.867,0.457,0.306,0.644
relu,"(200,)",0.0001,0.764,0.29,0.908,0.343,0.219,0.599,0.767,0.305,0.913,0.386,0.27,0.609,0.759,0.316,0.9,0.387,0.257,0.608
relu,"(225,)",0.1,0.728,0.359,0.842,0.367,0.202,0.6,0.724,0.358,0.84,0.383,0.209,0.599,0.734,0.316,0.867,0.364,0.204,0.591
relu,"(225,)",0.01,0.732,0.347,0.85,0.351,0.187,0.598,0.732,0.347,0.853,0.382,0.216,0.6,0.734,0.316,0.867,0.364,0.204,0.591
relu,"(225,)",0.001,0.745,0.318,0.875,0.348,0.197,0.597,0.734,0.347,0.857,0.385,0.221,0.602,0.734,0.421,0.833,0.432,0.259,0.627
relu,"(225,)",0.0001,0.741,0.25,0.892,0.287,0.149,0.571,0.772,0.305,0.92,0.39,0.28,0.613,0.785,0.421,0.9,0.485,0.359,0.661
relu,"(250,)",0.1,0.706,0.372,0.808,0.351,0.167,0.59,0.722,0.358,0.837,0.379,0.203,0.597,0.734,0.368,0.85,0.4,0.232,0.609
relu,"(250,)",0.01,0.732,0.332,0.854,0.342,0.18,0.593,0.722,0.358,0.837,0.381,0.204,0.597,0.709,0.368,0.817,0.378,0.189,0.593
relu,"(250,)",0.001,0.745,0.305,0.879,0.339,0.19,0.592,0.734,0.368,0.85,0.4,0.234,0.609,0.722,0.316,0.85,0.353,0.181,0.583
relu,"(250,)",0.0001,0.751,0.25,0.904,0.301,0.173,0.577,0.77,0.326,0.91,0.402,0.284,0.618,0.772,0.421,0.883,0.471,0.332,0.652
relu,"(275,)",0.1,0.716,0.358,0.825,0.346,0.177,0.592,0.744,0.368,0.863,0.407,0.254,0.616,0.734,0.368,0.85,0.4,0.232,0.609
relu,"(275,)",0.01,0.725,0.332,0.846,0.337,0.168,0.589,0.732,0.337,0.857,0.376,0.212,0.597,0.734,0.368,0.85,0.4,0.232,0.609
relu,"(275,)",0.001,0.725,0.305,0.854,0.322,0.155,0.579,0.732,0.368,0.847,0.4,0.231,0.608,0.747,0.421,0.85,0.444,0.282,0.636
relu,"(275,)",0.0001,0.744,0.263,0.892,0.303,0.163,0.577,0.759,0.326,0.897,0.396,0.266,0.611,0.759,0.421,0.867,0.457,0.306,0.644
relu,"(300,)",0.1,0.722,0.36,0.833,0.35,0.179,0.597,0.696,0.316,0.817,0.333,0.139,0.566,0.734,0.368,0.85,0.4,0.232,0.609
relu,"(300,)",0.01,0.735,0.332,0.858,0.344,0.183,0.595,0.727,0.305,0.86,0.349,0.185,0.583,0.722,0.316,0.85,0.353,0.181,0.583
relu,"(300,)",0.001,0.732,0.305,0.862,0.326,0.164,0.584,0.727,0.347,0.847,0.377,0.207,0.597,0.734,0.421,0.833,0.432,0.259,0.627
relu,"(300,)",0.0001,0.751,0.236,0.908,0.29,0.168,0.572,0.757,0.316,0.897,0.383,0.25,0.606,0.772,0.421,0.883,0.471,0.332,0.652
relu,"(25,5)",0.1,0.706,0.445,0.788,0.362,0.209,0.616,0.694,0.526,0.747,0.395,0.24,0.636,0.759,0.211,0.933,0.296,0.204,0.572
relu,"(25,5)",0.01,0.722,0.359,0.833,0.37,0.195,0.596,0.716,0.421,0.81,0.417,0.231,0.616,0.747,0.474,0.833,0.474,0.307,0.654
relu,"(25,5)",0.001,0.722,0.333,0.842,0.345,0.178,0.588,0.739,0.432,0.837,0.44,0.272,0.634,0.696,0.368,0.8,0.368,0.168,0.584
relu,"(25,5)",0.0001,0.764,0.209,0.933,0.284,0.191,0.571,0.782,0.137,0.987,0.213,0.249,0.562,0.797,0.211,0.983,0.333,0.34,0.597
relu,"(50,10)",0.1,0.735,0.456,0.821,0.425,0.264,0.639,0.711,0.4,0.81,0.383,0.209,0.605,0.684,0.579,0.717,0.468,0.264,0.648
relu,"(50,10)",0.01,0.719,0.317,0.842,0.327,0.154,0.579,0.724,0.379,0.833,0.398,0.221,0.606,0.696,0.316,0.817,0.333,0.138,0.566
relu,"(50,10)",0.001,0.732,0.334,0.854,0.34,0.178,0.594,0.716,0.4,0.817,0.407,0.223,0.608,0.709,0.421,0.8,0.41,0.217,0.611
relu,"(50,10)",0.0001,0.751,0.278,0.896,0.319,0.184,0.587,0.744,0.347,0.87,0.394,0.241,0.609,0.747,0.421,0.85,0.444,0.282,0.636
relu,"(75,15)",0.1,0.69,0.4,0.779,0.368,0.173,0.59,0.711,0.516,0.773,0.449,0.272,0.645,0.759,0.474,0.85,0.486,0.33,0.662
relu,"(75,15)",0.01,0.735,0.345,0.854,0.365,0.207,0.599,0.734,0.379,0.847,0.404,0.236,0.613,0.747,0.421,0.85,0.444,0.282,0.636
relu,"(75,15)",0.001,0.751,0.33,0.879,0.363,0.22,0.604,0.744,0.4,0.853,0.429,0.267,0.627,0.734,0.421,0.833,0.432,0.259,0.627
relu,"(75,15)",0.0001,0.741,0.263,0.888,0.313,0.17,0.575,0.777,0.379,0.903,0.448,0.324,0.641,0.772,0.368,0.9,0.438,0.309,0.634
relu,"(100,20)",0.1,0.741,0.265,0.888,0.302,0.184,0.576,0.727,0.232,0.883,0.285,0.165,0.557,0.734,0.526,0.8,0.488,0.311,0.663
relu,"(100,20)",0.01,0.729,0.373,0.838,0.376,0.209,0.605,0.732,0.368,0.847,0.398,0.229,0.608,0.759,0.421,0.867,0.457,0.306,0.644
relu,"(100,20)",0.001,0.735,0.347,0.854,0.36,0.196,0.6,0.744,0.347,0.87,0.394,0.241,0.609,0.772,0.368,0.9,0.438,0.309,0.634
relu,"(100,20)",0.0001,0.735,0.292,0.871,0.314,0.161,0.582,0.749,0.347,0.877,0.399,0.251,0.612,0.747,0.368,0.867,0.412,0.256,0.618
relu,"(125,25)",0.1,0.712,0.235,0.858,0.266,0.112,0.547,0.737,0.221,0.9,0.25,0.15,0.561,0.696,0.579,0.733,0.478,0.281,0.656
relu,"(125,25)",0.01,0.732,0.348,0.85,0.352,0.191,0.599,0.727,0.4,0.83,0.412,0.236,0.615,0.747,0.421,0.85,0.444,0.282,0.636
relu,"(125,25)",0.001,0.732,0.32,0.858,0.34,0.18,0.589,0.727,0.326,0.853,0.364,0.196,0.59,0.747,0.421,0.85,0.444,0.282,0.636
relu,"(125,25)",0.0001,0.748,0.319,0.879,0.359,0.212,0.599,0.744,0.316,0.88,0.371,0.224,0.598,0.759,0.368,0.883,0.424,0.282,0.626
relu,"(150,30)",0.1,0.754,0.303,0.892,0.358,0.224,0.597,0.704,0.232,0.853,0.259,0.086,0.542,0.684,0.158,0.85,0.194,0.009,0.504
relu,"(150,30)",0.01,0.722,0.332,0.842,0.336,0.164,0.587,0.711,0.379,0.817,0.386,0.198,0.598,0.709,0.368,0.817,0.378,0.189,0.593
relu,"(150,30)",0.001,0.751,0.331,0.879,0.354,0.208,0.605,0.727,0.347,0.847,0.379,0.208,0.597,0.696,0.368,0.8,0.368,0.168,0.584
relu,"(150,30)",0.0001,0.748,0.277,0.892,0.32,0.181,0.584,0.747,0.368,0.867,0.412,0.256,0.618,0.722,0.368,0.833,0.389,0.21,0.601
relu,"(175,35)",0.1,0.748,0.292,0.888,0.35,0.212,0.59,0.742,0.253,0.897,0.306,0.174,0.575,0.747,0.263,0.9,0.333,0.201,0.582
relu,"(175,35)",0.01,0.732,0.359,0.846,0.37,0.202,0.602,0.747,0.421,0.85,0.441,0.282,0.636,0.759,0.368,0.883,0.424,0.282,0.626
relu,"(175,35)",0.001,0.751,0.344,0.875,0.382,0.235,0.609,0.752,0.368,0.873,0.416,0.266,0.621,0.759,0.421,0.867,0.457,0.306,0.644
relu,"(175,35)",0.0001,0.754,0.317,0.888,0.361,0.224,0.602,0.767,0.379,0.89,0.437,0.302,0.634,0.772,0.421,0.883,0.471,0.332,0.652
relu,"(200,40)",0.1,0.722,0.37,0.829,0.34,0.203,0.599,0.729,0.379,0.84,0.364,0.231,0.609,0.709,0.421,0.8,0.41,0.217,0.611
relu,"(200,40)",0.01,0.719,0.331,0.838,0.343,0.168,0.584,0.716,0.316,0.843,0.347,0.172,0.58,0.696,0.421,0.783,0.4,0.198,0.602
relu,"(200,40)",0.001,0.754,0.319,0.888,0.366,0.224,0.603,0.729,0.337,0.853,0.375,0.207,0.595,0.772,0.421,0.883,0.471,0.332,0.652
relu,"(200,40)",0.0001,0.761,0.319,0.896,0.37,0.239,0.607,0.744,0.326,0.877,0.38,0.231,0.601,0.772,0.421,0.883,0.471,0.332,0.652
relu,"(225,45)",0.1,0.751,0.271,0.896,0.287,0.173,0.584,0.727,0.305,0.86,0.31,0.164,0.583,0.671,0.158,0.833,0.187,-0.01,0.496
relu,"(225,45)",0.01,0.729,0.349,0.846,0.346,0.182,0.597,0.724,0.4,0.827,0.407,0.23,0.613,0.747,0.421,0.85,0.444,0.282,0.636
relu,"(225,45)",0.001,0.748,0.373,0.862,0.39,0.236,0.618,0.737,0.368,0.853,0.402,0.237,0.611,0.747,0.421,0.85,0.444,0.282,0.636
relu,"(225,45)",0.0001,0.745,0.332,0.871,0.361,0.209,0.602,0.732,0.326,0.86,0.369,0.205,0.593,0.759,0.421,0.867,0.457,0.306,0.644
relu,"(250,50)",0.1,0.728,0.344,0.846,0.368,0.199,0.595,0.739,0.358,0.86,0.387,0.229,0.609,0.696,0.263,0.833,0.294,0.105,0.548
relu,"(250,50)",0.01,0.732,0.318,0.858,0.351,0.191,0.588,0.722,0.337,0.843,0.367,0.194,0.59,0.734,0.421,0.833,0.432,0.259,0.627
relu,"(250,50)",0.001,0.738,0.331,0.862,0.351,0.195,0.597,0.704,0.347,0.817,0.36,0.169,0.582,0.734,0.368,0.85,0.4,0.232,0.609
relu,"(250,50)",0.0001,0.745,0.305,0.879,0.333,0.186,0.592,0.734,0.347,0.857,0.386,0.221,0.602,0.759,0.421,0.867,0.457,0.306,0.644
relu,"(275,55)",0.1,0.684,0.303,0.8,0.288,0.098,0.551,0.691,0.337,0.803,0.311,0.147,0.57,0.696,0.579,0.733,0.478,0.281,0.656
relu,"(275,55)",0.01,0.735,0.374,0.846,0.376,0.214,0.61,0.709,0.368,0.817,0.379,0.189,0.593,0.709,0.368,0.817,0.378,0.189,0.593
relu,"(275,55)",0.001,0.725,0.332,0.846,0.345,0.176,0.589,0.724,0.337,0.847,0.368,0.196,0.592,0.747,0.368,0.867,0.412,0.256,0.618
relu,"(275,55)",0.0001,0.748,0.332,0.875,0.361,0.213,0.604,0.734,0.337,0.86,0.377,0.215,0.598,0.734,0.368,0.85,0.4,0.232,0.609
relu,"(300,60)",0.1,0.706,0.443,0.788,0.344,0.205,0.615,0.668,0.368,0.763,0.295,0.119,0.566,0.734,0.579,0.783,0.512,0.337,0.681
relu,"(300,60)",0.01,0.745,0.413,0.846,0.414,0.254,0.63,0.722,0.368,0.833,0.39,0.213,0.601,0.734,0.316,0.867,0.364,0.204,0.591
relu,"(300,60)",0.001,0.748,0.332,0.875,0.355,0.206,0.604,0.727,0.326,0.853,0.364,0.198,0.59,0.709,0.368,0.817,0.378,0.189,0.593
relu,"(300,60)",0.0001,0.751,0.305,0.888,0.338,0.198,0.596,0.739,0.326,0.87,0.376,0.22,0.598,0.747,0.421,0.85,0.444,0.282,0.636
relu,"(25,12)",0.1,0.706,0.442,0.788,0.406,0.216,0.615,0.706,0.4,0.803,0.397,0.206,0.602,0.785,0.474,0.883,0.514,0.38,0.679
relu,"(25,12)",0.01,0.754,0.386,0.867,0.4,0.249,0.626,0.734,0.358,0.853,0.394,0.228,0.606,0.759,0.368,0.883,0.424,0.282,0.626
relu,"(25,12)",0.001,0.725,0.318,0.85,0.34,0.17,0.584,0.699,0.284,0.83,0.311,0.123,0.557,0.722,0.421,0.817,0.421,0.238,0.619
relu,"(25,12)",0.0001,0.76,0.206,0.929,0.279,0.186,0.567,0.77,0.137,0.97,0.208,0.201,0.553,0.772,0.158,0.967,0.25,0.219,0.562
relu,"(50,25)",0.1,0.738,0.302,0.871,0.334,0.187,0.586,0.767,0.347,0.9,0.409,0.288,0.624,0.734,0.316,0.867,0.364,0.204,0.591
relu,"(50,25)",0.01,0.748,0.413,0.85,0.422,0.263,0.632,0.709,0.368,0.817,0.378,0.189,0.593,0.772,0.421,0.883,0.471,0.332,0.652
relu,"(50,25)",0.001,0.732,0.319,0.858,0.349,0.186,0.589,0.734,0.368,0.85,0.399,0.233,0.609,0.722,0.368,0.833,0.389,0.21,0.601
relu,"(50,25)",0.0001,0.761,0.278,0.908,0.34,0.215,0.593,0.752,0.379,0.87,0.42,0.272,0.624,0.747,0.368,0.867,0.412,0.256,0.618
relu,"(75,37)",0.1,0.722,0.29,0.854,0.329,0.17,0.572,0.772,0.368,0.9,0.43,0.315,0.634,0.785,0.632,0.833,0.585,0.443,0.732
relu,"(75,37)",0.01,0.719,0.359,0.829,0.363,0.188,0.594,0.716,0.379,0.823,0.391,0.207,0.601,0.709,0.368,0.817,0.378,0.189,0.593
relu,"(75,37)",0.001,0.735,0.346,0.854,0.358,0.199,0.6,0.719,0.337,0.84,0.363,0.188,0.588,0.734,0.368,0.85,0.4,0.232,0.609
relu,"(75,37)",0.0001,0.748,0.318,0.879,0.349,0.203,0.599,0.754,0.347,0.883,0.405,0.262,0.615,0.759,0.368,0.883,0.424,0.282,0.626
