Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-26.7,9.5,1.1,0.773,0.138,0.967,0.218,0.19,0.552,0.772,0.126,0.977,0.21,0.206,0.551,0.759,0.105,0.967,0.174,0.14,0.536
poly,1,2,0.1,1,-22.1,9.3,1.1,0.776,0.22,0.946,0.295,0.218,0.583,0.775,0.168,0.967,0.265,0.236,0.568,0.772,0.158,0.967,0.25,0.219,0.562
poly,1,2,0.1,2,-23.7,10.2,1.0,0.776,0.234,0.942,0.312,0.229,0.588,0.772,0.168,0.963,0.263,0.228,0.566,0.772,0.158,0.967,0.25,0.219,0.562
poly,1,2,0.1,3,-23.9,10.5,0.7,0.77,0.262,0.925,0.323,0.22,0.593,0.77,0.232,0.94,0.327,0.25,0.586,0.797,0.263,0.967,0.385,0.346,0.615
poly,1,2,0.1,4,-23.7,10.7,1.1,0.776,0.221,0.946,0.293,0.217,0.583,0.772,0.168,0.963,0.263,0.228,0.566,0.772,0.158,0.967,0.25,0.219,0.562
poly,1,2,0.01,0,-1.2,2.6,-0.8,0.779,0.302,0.925,0.39,0.292,0.613,0.815,0.347,0.963,0.473,0.424,0.655,0.81,0.368,0.95,0.483,0.409,0.659
poly,1,2,0.01,1,-2.0,2.8,-0.3,0.719,0.616,0.75,0.505,0.331,0.683,0.711,0.537,0.767,0.472,0.282,0.652,0.734,0.579,0.783,0.512,0.337,0.681
poly,1,2,0.01,2,-3.4,5.2,-0.3,0.7,0.615,0.725,0.489,0.306,0.67,0.684,0.526,0.733,0.446,0.238,0.63,0.709,0.579,0.75,0.489,0.299,0.664
poly,1,2,0.01,3,-4.4,5.4,-0.2,0.709,0.574,0.75,0.473,0.296,0.662,0.686,0.484,0.75,0.425,0.218,0.617,0.709,0.526,0.767,0.465,0.272,0.646
poly,1,2,0.01,4,-4.6,5.4,-0.3,0.681,0.644,0.692,0.477,0.294,0.668,0.671,0.526,0.717,0.436,0.222,0.621,0.684,0.632,0.7,0.49,0.292,0.666
poly,1,2,0.001,0,0.3,0.8,0.3,0.565,0.534,0.575,0.31,0.184,0.555,0.554,0.547,0.557,0.336,0.177,0.552,0.759,0.0,1.0,0.0,0.0,0.5
poly,1,2,0.001,1,-1.5,1.6,-0.5,0.741,0.522,0.808,0.479,0.312,0.665,0.737,0.474,0.82,0.466,0.293,0.647,0.696,0.526,0.75,0.455,0.254,0.638
poly,1,2,0.001,2,-1.7,2.2,-0.2,0.78,0.41,0.892,0.462,0.331,0.651,0.8,0.411,0.923,0.489,0.388,0.667,0.81,0.474,0.917,0.545,0.437,0.695
poly,1,2,0.001,3,-1.8,2.2,-0.3,0.754,0.534,0.821,0.497,0.339,0.678,0.747,0.453,0.84,0.46,0.298,0.646,0.747,0.474,0.833,0.474,0.307,0.654
poly,1,2,0.001,4,-1.9,2.3,-0.3,0.748,0.577,0.8,0.505,0.347,0.689,0.737,0.484,0.817,0.468,0.295,0.65,0.734,0.526,0.8,0.488,0.311,0.663
poly,1,3,0.1,0,-6.6,32.1,0.5,0.818,0.303,0.975,0.437,0.417,0.639,0.775,0.147,0.973,0.239,0.226,0.56,0.772,0.158,0.967,0.25,0.219,0.562
poly,1,3,0.1,1,-15.9,20.3,0.7,0.777,0.264,0.933,0.334,0.238,0.599,0.78,0.274,0.94,0.372,0.289,0.607,0.823,0.368,0.967,0.5,0.451,0.668
poly,1,3,0.1,2,-37.9,25.0,0.8,0.77,0.319,0.908,0.372,0.251,0.614,0.772,0.326,0.913,0.407,0.291,0.62,0.797,0.263,0.967,0.385,0.346,0.615
poly,1,3,0.1,3,-56.5,30.2,1.9,0.777,0.209,0.95,0.291,0.217,0.579,0.777,0.221,0.953,0.319,0.259,0.587,0.797,0.211,0.983,0.333,0.34,0.597
poly,1,3,0.1,4,-69.4,34.0,1.4,0.764,0.25,0.921,0.307,0.199,0.585,0.765,0.295,0.913,0.374,0.259,0.604,0.759,0.263,0.917,0.345,0.231,0.59
poly,1,3,0.01,0,-1.1,1.5,-0.7,0.796,0.15,0.992,0.252,0.303,0.571,0.787,0.116,1.0,0.205,0.296,0.558,0.797,0.158,1.0,0.273,0.353,0.579
poly,1,3,0.01,1,-2.6,4.4,-0.4,0.696,0.63,0.717,0.492,0.308,0.673,0.671,0.537,0.713,0.44,0.225,0.625,0.709,0.632,0.733,0.511,0.326,0.682
poly,1,3,0.01,2,-4.4,4.7,0.8,0.796,0.233,0.967,0.33,0.28,0.6,0.77,0.116,0.977,0.193,0.189,0.546,0.772,0.105,0.983,0.182,0.198,0.544
poly,1,3,0.01,3,-8.8,5.6,0.8,0.786,0.233,0.954,0.318,0.249,0.594,0.767,0.116,0.973,0.191,0.174,0.545,0.785,0.158,0.983,0.261,0.275,0.571
poly,1,3,0.01,4,-14.8,5.9,0.7,0.786,0.275,0.942,0.351,0.266,0.608,0.772,0.179,0.96,0.271,0.226,0.569,0.785,0.211,0.967,0.32,0.286,0.589
