activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.827,0.879,0.775,0.835,0.66,0.827,0.706,0.453,0.787,0.426,0.231,0.62,0.722,0.526,0.783,0.476,0.291,0.655
relu,"(25,)",0.01,0.846,0.917,0.775,0.856,0.701,0.846,0.704,0.495,0.77,0.444,0.248,0.632,0.734,0.526,0.8,0.488,0.311,0.663
relu,"(25,)",0.001,0.831,0.871,0.792,0.837,0.666,0.831,0.684,0.463,0.753,0.413,0.203,0.608,0.696,0.526,0.75,0.455,0.254,0.638
relu,"(25,)",0.0001,0.729,0.7,0.758,0.719,0.461,0.729,0.744,0.621,0.783,0.539,0.373,0.702,0.759,0.632,0.8,0.558,0.401,0.716
relu,"(50,)",0.1,0.833,0.9,0.767,0.844,0.673,0.833,0.694,0.453,0.77,0.416,0.212,0.611,0.658,0.368,0.75,0.341,0.113,0.559
relu,"(50,)",0.01,0.865,0.929,0.8,0.873,0.736,0.865,0.709,0.442,0.793,0.423,0.23,0.618,0.709,0.368,0.817,0.378,0.189,0.593
relu,"(50,)",0.001,0.835,0.883,0.788,0.842,0.679,0.835,0.704,0.442,0.787,0.418,0.221,0.614,0.722,0.474,0.8,0.45,0.265,0.637
relu,"(50,)",0.0001,0.762,0.758,0.767,0.759,0.527,0.762,0.742,0.505,0.817,0.485,0.314,0.661,0.759,0.474,0.85,0.486,0.33,0.662
relu,"(75,)",0.1,0.854,0.921,0.788,0.863,0.716,0.854,0.704,0.442,0.787,0.418,0.221,0.614,0.709,0.368,0.817,0.378,0.189,0.593
relu,"(75,)",0.01,0.867,0.921,0.812,0.873,0.739,0.867,0.699,0.389,0.797,0.383,0.184,0.593,0.759,0.421,0.867,0.457,0.306,0.644
relu,"(75,)",0.001,0.852,0.9,0.804,0.858,0.71,0.852,0.691,0.411,0.78,0.39,0.184,0.595,0.722,0.421,0.817,0.421,0.238,0.619
relu,"(75,)",0.0001,0.804,0.808,0.8,0.801,0.611,0.804,0.737,0.495,0.813,0.475,0.302,0.654,0.709,0.421,0.8,0.41,0.217,0.611
relu,"(100,)",0.1,0.854,0.925,0.783,0.864,0.718,0.854,0.694,0.421,0.78,0.396,0.194,0.601,0.722,0.368,0.833,0.389,0.21,0.601
relu,"(100,)",0.01,0.852,0.912,0.792,0.86,0.711,0.852,0.716,0.463,0.797,0.44,0.251,0.63,0.722,0.474,0.8,0.45,0.265,0.637
relu,"(100,)",0.001,0.848,0.9,0.796,0.855,0.702,0.848,0.714,0.463,0.793,0.438,0.248,0.628,0.709,0.421,0.8,0.41,0.217,0.611
relu,"(100,)",0.0001,0.8,0.804,0.796,0.796,0.604,0.8,0.711,0.442,0.797,0.425,0.234,0.619,0.734,0.421,0.833,0.432,0.259,0.627
relu,"(125,)",0.1,0.835,0.904,0.767,0.846,0.678,0.835,0.704,0.421,0.793,0.405,0.209,0.607,0.722,0.368,0.833,0.389,0.21,0.601
relu,"(125,)",0.01,0.856,0.925,0.788,0.865,0.72,0.856,0.704,0.432,0.79,0.413,0.216,0.611,0.696,0.368,0.8,0.368,0.168,0.584
relu,"(125,)",0.001,0.85,0.9,0.8,0.856,0.705,0.85,0.691,0.4,0.783,0.385,0.18,0.592,0.709,0.421,0.8,0.41,0.217,0.611
relu,"(125,)",0.0001,0.81,0.838,0.783,0.813,0.626,0.81,0.724,0.432,0.817,0.43,0.248,0.624,0.722,0.368,0.833,0.389,0.21,0.601
relu,"(150,)",0.1,0.835,0.908,0.762,0.847,0.679,0.835,0.689,0.379,0.787,0.372,0.166,0.583,0.671,0.421,0.75,0.381,0.161,0.586
relu,"(150,)",0.01,0.842,0.908,0.775,0.851,0.691,0.842,0.701,0.432,0.787,0.41,0.212,0.609,0.722,0.368,0.833,0.389,0.21,0.601
relu,"(150,)",0.001,0.846,0.904,0.788,0.854,0.698,0.846,0.691,0.432,0.773,0.402,0.197,0.602,0.734,0.421,0.833,0.432,0.259,0.627
relu,"(150,)",0.0001,0.821,0.854,0.788,0.824,0.647,0.821,0.714,0.463,0.793,0.438,0.248,0.628,0.722,0.421,0.817,0.421,0.238,0.619
relu,"(175,)",0.1,0.854,0.929,0.779,0.864,0.719,0.854,0.689,0.421,0.773,0.393,0.186,0.597,0.696,0.368,0.8,0.368,0.168,0.584
relu,"(175,)",0.01,0.865,0.925,0.804,0.872,0.735,0.865,0.699,0.4,0.793,0.389,0.19,0.597,0.709,0.368,0.817,0.378,0.189,0.593
relu,"(175,)",0.001,0.86,0.912,0.808,0.867,0.726,0.86,0.696,0.411,0.787,0.393,0.192,0.599,0.709,0.421,0.8,0.41,0.217,0.611
relu,"(175,)",0.0001,0.821,0.842,0.8,0.823,0.646,0.821,0.727,0.463,0.81,0.449,0.268,0.637,0.722,0.421,0.817,0.421,0.238,0.619
