Index,position,attribute,F_val,p_val
658,4480,ANKS1A,1.1741219,0.27955973
10070,4481,OR51B6,1.173607,0.27966496
2381,4482,CDC40,1.1733929,0.2797087
10992,4483,PLAUR,1.1732032,0.2797475
17104,4484,ZNF706,1.1729752,0.27979413
13000,4485,SEC62,1.172484,0.2798946
3218,4486,CRIP2,1.1722584,0.27994078
12139,4487,RBMXL1,1.1715969,0.2800762
6577,4488,IAPP,1.1715702,0.28008166
8276,4489,MAPK11,1.1712254,0.2801523
8920,4490,MTMR12,1.1710318,0.28019193
11751,4491,PTH2,1.1710107,0.28019625
9327,4492,NEURL3,1.170628,0.28027472
8332,4493,MAZ,1.1703337,0.280335
10476,4494,PC,1.1702846,0.28034508
4093,4495,DRD2,1.1700585,0.28039145
13023,4496,SEMA4C,1.1700149,0.2804004
12611,4497,RPRML,1.1697098,0.28046298
4165,4498,DUX4,1.1694825,0.28050962
12233,4499,REV3L,1.1692863,0.28054988
5785,4500,GOLIM4,1.1689705,0.2806147
15997,4501,UNC13D,1.1684856,0.28071424
13533,4502,SLC35B3,1.1684289,0.2807259
171,4503,ACSL6,1.1684084,0.2807301
11150,4504,PODXL,1.1676917,0.28087735
4505,4505,EPHA8,1.167462,0.28092456
12640,4506,RPS4Y1,1.1668615,0.28104803
14685,4507,TCF20,1.1666192,0.2810979
3701,4508,DDX4,1.1661108,0.28120252
4109,4509,DSEL,1.1660424,0.28121656
9728,4510,NUDT9,1.1656716,0.28129292
6410,4511,HOXC10,1.1655914,0.28130946
11231,4512,PORCN,1.1652796,0.28137365
9921,4513,OR14C36,1.16477,0.28147864
6583,4514,ICA1L,1.164636,0.28150627
13678,4515,SLC9A7,1.16409,0.28161883
6511,4516,HSPA1A,1.1640093,0.28163546
13022,4517,SEMA4B,1.1639613,0.28164536
8654,4518,MMP7,1.1632478,0.28179255
2481,4519,CDO1,1.1632237,0.28179753
11938,4520,RAB6C,1.1627876,0.28188756
16083,4521,USP37,1.162324,0.28198332
3456,4522,CXorf38,1.1620564,0.28203857
15404,4523,TPM4,1.1618937,0.2820722
8976,4524,MVP,1.1617522,0.28210142
17123,4525,ZNF736,1.161248,0.28220567
7140,4526,KCNH5,1.1609563,0.282266
17194,4527,ZNF845,1.1605512,0.28234977
6638,4528,IFNA14,1.160536,0.2823529
1045,4529,ASPSCR1,1.1604717,0.28236622
4699,4530,FADD,1.160369,0.28238747
15359,4531,TOP3B,1.1597903,0.28250727
8837,4532,MRTO4,1.1593262,0.28260335
3683,4533,DDX10,1.1589371,0.28268397
14673,4534,TCEAL4,1.1588984,0.282692
13461,4535,SLC25A41,1.158837,0.2827047
9641,4536,NRP1,1.1582019,0.28283635
6793,4537,IL36B,1.158184,0.28284007
1046,4538,ASRGL1,1.1581776,0.28284138
6941,4539,IRGC,1.1578108,0.28291747
