Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-6.6,4.5,-1.1,0.674,0.631,0.686,0.444,0.265,0.658,0.694,0.855,0.652,0.539,0.416,0.753,0.774,0.909,0.738,0.625,0.537,0.824
linear,5,-6.6,4.5,-1.1,0.674,0.631,0.686,0.444,0.265,0.658,0.694,0.855,0.652,0.539,0.416,0.753,0.774,0.909,0.738,0.625,0.537,0.824
linear,10,-6.6,4.5,-1.1,0.674,0.631,0.686,0.444,0.265,0.658,0.694,0.855,0.652,0.539,0.416,0.753,0.774,0.909,0.738,0.625,0.537,0.824
linear,15,-6.6,4.5,-1.1,0.674,0.631,0.686,0.444,0.265,0.658,0.694,0.855,0.652,0.539,0.416,0.753,0.774,0.909,0.738,0.625,0.537,0.824
