Index,position,attribute,projections,classifiers,nodes,RI
6895,10285,IPO5,88,0.013636364,0.013636364,0.00047494518
13155,10286,SFXN4,115,0.010434783,0.012173913,0.0004749363
7900,10287,LOXL4,109,0.012844036,0.012844036,0.00047486348
8732,10288,MPV17,89,0.008988764,0.008988764,0.0004747358
11140,10289,PNPO,117,0.011965812,0.011965812,0.00047454014
16134,10290,VANGL2,101,0.013861386,0.013861386,0.00047443074
12138,10291,RBMX2,87,0.011494253,0.011494253,0.0004742506
4337,10292,EIF2B4,94,0.012765957,0.0148936175,0.00047423763
12162,10293,RCAN2,116,0.013793103,0.013793103,0.00047412099
9528,10294,NOTCH1,93,0.010752688,0.010752688,0.00047401126
11340,10295,PPP1R1B,102,0.01372549,0.01372549,0.0004740102
7075,10296,KALRN,105,0.011428571,0.011428571,0.0004738537
15685,10297,TTBK2,105,0.013333334,0.013333334,0.00047367037
12030,10298,RAPGEF6,104,0.011538462,0.011538462,0.00047358812
11490,10299,PRKCE,94,0.010638298,0.010638298,0.00047344138
9607,10300,NR2E3,105,0.013333334,0.013333334,0.0004734152
3973,10301,DNAJC14,108,0.009259259,0.009259259,0.00047333207
8411,10302,MDM4,112,0.0125,0.0125,0.0004732573
14867,10303,THNSL2,107,0.011214953,0.011214953,0.00047321335
3310,10304,CSRP3,105,0.017142856,0.017142856,0.00047315485
11454,10305,PRELID2,103,0.013592233,0.013592233,0.00047311193
7220,10306,KCTD6,105,0.00952381,0.00952381,0.0004730941
13908,10307,SOX11,108,0.011111111,0.011111111,0.000472992
5061,10308,FGD4,104,0.013461539,0.013461539,0.0004729861
11847,10309,PYGM,108,0.011111111,0.011111111,0.00047282598
15771,10310,TUBG1,94,0.008510638,0.008510638,0.00047281958
15204,10311,TMEM86A,102,0.011764706,0.011764706,0.00047281414
15271,10312,TNFRSF10B,104,0.009615385,0.011538462,0.0004727117
4075,10313,DPT,97,0.016494846,0.016494846,0.00047268326
11388,10314,PPP6C,103,0.013592233,0.013592233,0.00047250945
1778,10315,C4orf19,85,0.016470589,0.016470589,0.00047250694
3295,10316,CSNK1E,105,0.013333334,0.013333334,0.00047233934
11515,10317,PRMT2,89,0.006741573,0.006741573,0.00047225604
8381,10318,MCM2,89,0.015730336,0.015730336,0.00047215613
11776,10319,PTPN23,96,0.0125,0.014583333,0.00047194696
9818,10320,OGFRL1,103,0.011650485,0.011650485,0.00047194652
8351,10321,MBNL2,105,0.013333334,0.015238095,0.00047191515
2276,10322,CD151,102,0.009803922,0.009803922,0.00047187228
7284,10323,KIAA2026,97,0.016494846,0.016494846,0.00047186416
9149,10324,NARF,87,0.011494253,0.011494253,0.0004716789
336,10325,AEBP2,106,0.013207547,0.013207547,0.00047152047
3385,10326,CTRL,98,0.014285714,0.014285714,0.0004714725
1922,10327,CALCRL,120,0.013333334,0.013333334,0.00047136852
10426,10328,PARL,95,0.014736842,0.014736842,0.0004713353
319,10329,ADORA3,107,0.013084112,0.013084112,0.0004712637
10345,10330,PABPC4,87,0.011494253,0.011494253,0.0004712309
2581,10331,CEP76,107,0.013084112,0.013084112,0.0004711685
3440,10332,CXCL17,104,0.013461539,0.013461539,0.0004711092
7645,10333,LAMP1,117,0.008547009,0.008547009,0.00047106377
5596,10334,GIGYF2,89,0.013483146,0.013483146,0.0004709867
16730,10335,ZNF14,100,0.014,0.014,0.00047094366
749,10336,APLNR,82,0.014634146,0.014634146,0.00047093665
7162,10337,KCNJ8,91,0.013186813,0.013186813,0.00047082797
11974,10338,RAD51D,115,0.012173913,0.012173913,0.0004706197
11996,10339,RALGAPA2,108,0.011111111,0.011111111,0.0004705097
14967,10340,TLX2,95,0.012631579,0.012631579,0.0004704855
5239,10341,FOXN2,108,0.0129629625,0.0129629625,0.00047046912
11432,10342,PRDM10,91,0.013186813,0.013186813,0.00047038912
8605,10343,MLEC,103,0.0077669905,0.0077669905,0.00047033204
12745,10344,RUVBL1,100,0.006,0.006,0.00047032817
15053,10345,TMEM134,77,0.01038961,0.01038961,0.00047026642
8074,10346,LTV1,89,0.013483146,0.013483146,0.0004702625
4114,10347,DSN1,83,0.0072289156,0.0072289156,0.00046995815
9103,10348,NAA35,94,0.010638298,0.010638298,0.00046992593
5333,10349,FUT8,97,0.01443299,0.01443299,0.00046991708
102,10350,ABTB1,112,0.0125,0.0125,0.00046967002
8274,10351,MAPK1,103,0.013592233,0.017475728,0.00046962185
11052,10352,PLEKHO1,97,0.010309278,0.010309278,0.0004695533
3226,10353,CRK,98,0.010204081,0.010204081,0.00046950247
2017,10354,CASP6,100,0.012,0.012,0.00046939636
15742,10355,TTN,102,0.011764706,0.011764706,0.00046937977
10670,10356,PDXDC1,121,0.011570248,0.011570248,0.00046927662
2137,10357,CCDC39,90,0.017777778,0.017777778,0.0004691679
6223,10358,HEPH,76,0.013157895,0.013157895,0.00046897668
15634,10359,TSNARE1,95,0.016842104,0.016842104,0.0004689319
12628,10360,RPS23,102,0.007843138,0.007843138,0.00046877583
16448,10361,XPO7,89,0.008988764,0.008988764,0.00046875136
890,10362,ARHGEF5,99,0.014141414,0.014141414,0.00046863552
2976,10363,CNTD1,106,0.013207547,0.013207547,0.0004684741
7921,10364,LRBA,89,0.011235955,0.013483146,0.00046818494
