Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.8,1.0,-0.1,0.899,0.905,0.893,0.902,0.817,0.899,0.754,0.35,0.933,0.311,0.269,0.642,0.692,0.0,1.0,0.0,0.0,0.5
RBF,1,0.01,-1.5,1.4,0.0,0.905,0.851,0.959,0.9,0.816,0.905,0.9,0.875,0.911,0.844,0.772,0.893,0.923,0.875,0.944,0.875,0.819,0.91
RBF,1,0.001,-1.9,2.1,-0.2,0.872,0.797,0.946,0.862,0.752,0.871,0.885,0.875,0.889,0.824,0.741,0.882,0.885,0.875,0.889,0.824,0.741,0.882
RBF,1,0.0001,-0.8,0.8,-0.1,0.674,0.667,0.693,0.635,0.415,0.68,0.708,0.8,0.667,0.648,0.477,0.733,0.846,0.875,0.833,0.778,0.672,0.854
RBF,1,1e-05,-1.0,1.0,-0.0,0.626,0.493,0.773,0.5,0.3,0.633,0.692,0.575,0.744,0.496,0.343,0.66,0.846,0.625,0.944,0.714,0.624,0.785
RBF,5,0.1,-0.7,1.0,-0.1,0.872,1.0,0.745,0.888,0.772,0.872,0.838,0.9,0.811,0.774,0.669,0.856,0.692,0.0,1.0,0.0,0.0,0.5
RBF,5,0.01,-1.6,1.7,-0.1,0.96,0.987,0.932,0.961,0.921,0.96,0.923,0.85,0.956,0.871,0.82,0.903,0.885,0.75,0.944,0.8,0.723,0.847
RBF,5,0.001,-2.3,2.9,0.0,0.899,0.838,0.959,0.892,0.804,0.899,0.862,0.65,0.956,0.743,0.67,0.803,0.885,0.625,1.0,0.769,0.732,0.812
RBF,5,0.0001,-1.7,1.8,-0.2,0.852,0.797,0.905,0.843,0.709,0.851,0.854,0.875,0.844,0.787,0.686,0.86,0.846,0.875,0.833,0.778,0.672,0.854
RBF,5,1e-05,-0.9,0.9,-0.0,0.626,0.493,0.773,0.5,0.3,0.633,0.692,0.575,0.744,0.496,0.343,0.66,0.846,0.625,0.944,0.714,0.624,0.785
RBF,10,0.1,-0.7,1.0,-0.1,0.872,1.0,0.745,0.888,0.772,0.872,0.838,0.9,0.811,0.774,0.669,0.856,0.692,0.0,1.0,0.0,0.0,0.5
RBF,10,0.01,-1.7,1.7,0.4,0.966,0.932,1.0,0.964,0.936,0.966,0.808,0.375,1.0,0.521,0.532,0.688,0.808,0.375,1.0,0.545,0.542,0.688
RBF,10,0.001,-2.6,3.0,-0.2,0.905,0.891,0.919,0.904,0.814,0.905,0.838,0.625,0.933,0.706,0.61,0.779,0.885,0.625,1.0,0.769,0.732,0.812
RBF,10,0.0001,-2.2,2.5,-0.2,0.872,0.797,0.946,0.862,0.752,0.871,0.869,0.825,0.889,0.794,0.7,0.857,0.846,0.75,0.889,0.75,0.639,0.819
RBF,10,1e-05,-0.8,0.8,-0.0,0.668,0.506,0.84,0.558,0.417,0.673,0.738,0.625,0.789,0.588,0.486,0.707,0.846,0.625,0.944,0.714,0.624,0.785
