n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.903,0.91,0.897,0.904,0.807,0.903,0.792,0.418,0.89,0.45,0.328,0.654,0.83,0.273,0.976,0.4,0.382,0.624
200,None,0.5,0.891,0.898,0.885,0.892,0.784,0.892,0.789,0.436,0.881,0.45,0.326,0.659,0.774,0.273,0.905,0.333,0.213,0.589
200,None,0.75,0.876,0.886,0.867,0.879,0.754,0.876,0.766,0.473,0.843,0.456,0.314,0.658,0.83,0.545,0.905,0.571,0.467,0.725
200,None,None,0.873,0.886,0.861,0.877,0.748,0.873,0.758,0.473,0.833,0.442,0.294,0.653,0.755,0.455,0.833,0.435,0.279,0.644
400,None,0.25,0.91,0.916,0.903,0.91,0.82,0.91,0.796,0.4,0.9,0.445,0.329,0.65,0.83,0.273,0.976,0.4,0.382,0.624
400,None,0.5,0.888,0.892,0.885,0.889,0.778,0.889,0.804,0.436,0.9,0.464,0.355,0.668,0.774,0.273,0.905,0.333,0.213,0.589
400,None,0.75,0.876,0.886,0.867,0.879,0.754,0.876,0.766,0.491,0.838,0.463,0.32,0.665,0.811,0.455,0.905,0.5,0.388,0.68
400,None,None,0.858,0.88,0.837,0.863,0.719,0.858,0.762,0.491,0.833,0.455,0.309,0.662,0.774,0.455,0.857,0.455,0.312,0.656
600,None,0.25,0.91,0.916,0.903,0.91,0.82,0.91,0.796,0.4,0.9,0.445,0.327,0.65,0.83,0.273,0.976,0.4,0.382,0.624
600,None,0.5,0.888,0.892,0.885,0.889,0.778,0.889,0.796,0.436,0.89,0.459,0.342,0.663,0.792,0.273,0.929,0.353,0.258,0.601
600,None,0.75,0.873,0.886,0.861,0.877,0.748,0.873,0.774,0.473,0.852,0.461,0.324,0.663,0.792,0.364,0.905,0.421,0.304,0.634
600,None,None,0.858,0.886,0.83,0.864,0.72,0.858,0.77,0.509,0.838,0.473,0.332,0.674,0.755,0.364,0.857,0.381,0.229,0.61
800,None,0.25,0.913,0.916,0.909,0.913,0.826,0.913,0.796,0.4,0.9,0.445,0.328,0.65,0.83,0.364,0.952,0.471,0.404,0.658
800,None,0.5,0.885,0.892,0.879,0.887,0.772,0.885,0.789,0.436,0.881,0.45,0.328,0.659,0.774,0.273,0.905,0.333,0.213,0.589
800,None,0.75,0.876,0.886,0.867,0.879,0.754,0.876,0.77,0.473,0.848,0.458,0.316,0.66,0.811,0.455,0.905,0.5,0.388,0.68
800,None,None,0.858,0.88,0.837,0.863,0.719,0.858,0.766,0.491,0.838,0.458,0.316,0.665,0.792,0.545,0.857,0.522,0.39,0.701
1000,None,0.25,0.91,0.916,0.903,0.91,0.82,0.91,0.808,0.418,0.91,0.471,0.362,0.664,0.83,0.364,0.952,0.471,0.404,0.658
1000,None,0.5,0.888,0.892,0.885,0.889,0.778,0.889,0.796,0.436,0.89,0.46,0.347,0.663,0.774,0.273,0.905,0.333,0.213,0.589
1000,None,0.75,0.88,0.892,0.867,0.883,0.76,0.879,0.774,0.491,0.848,0.471,0.331,0.669,0.811,0.455,0.905,0.5,0.388,0.68
1000,None,None,0.864,0.892,0.837,0.87,0.732,0.864,0.77,0.491,0.843,0.462,0.323,0.667,0.774,0.455,0.857,0.455,0.312,0.656
