Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-1.4,1.2,-0.1,0.86,0.812,0.908,0.853,0.727,0.86,0.714,0.147,0.893,0.198,0.059,0.52,0.747,0.158,0.933,0.231,0.137,0.546
RBF,1,0.01,-2.0,1.4,0.1,0.802,0.746,0.858,0.79,0.61,0.802,0.689,0.326,0.803,0.333,0.131,0.565,0.671,0.211,0.817,0.235,0.03,0.514
RBF,1,0.001,-1.3,1.7,0.4,0.648,0.317,0.979,0.468,0.394,0.648,0.754,0.232,0.92,0.31,0.201,0.576,0.734,0.211,0.9,0.276,0.142,0.555
RBF,1,0.0001,-1.1,1.2,-0.0,0.619,0.3,0.938,0.44,0.309,0.619,0.78,0.379,0.907,0.451,0.33,0.643,0.772,0.421,0.883,0.471,0.332,0.652
RBF,1,1e-05,-0.2,0.2,0.0,0.59,0.196,0.983,0.319,0.285,0.59,0.797,0.274,0.963,0.39,0.344,0.619,0.81,0.316,0.967,0.444,0.4,0.641
RBF,5,0.1,-1.4,1.2,-0.1,0.877,0.838,0.917,0.871,0.759,0.877,0.706,0.158,0.88,0.207,0.053,0.519,0.759,0.158,0.95,0.24,0.174,0.554
RBF,5,0.01,-2.7,1.5,0.2,0.862,0.85,0.875,0.861,0.726,0.862,0.686,0.189,0.843,0.224,0.038,0.516,0.696,0.211,0.85,0.25,0.07,0.53
RBF,5,0.001,-2.0,2.6,0.0,0.765,0.688,0.842,0.744,0.537,0.765,0.658,0.432,0.73,0.378,0.149,0.581,0.62,0.368,0.7,0.318,0.063,0.534
RBF,5,0.0001,-1.3,2.4,0.4,0.644,0.321,0.967,0.471,0.376,0.644,0.749,0.263,0.903,0.334,0.207,0.583,0.747,0.263,0.9,0.333,0.201,0.582
RBF,5,1e-05,-1.0,1.0,-0.0,0.594,0.208,0.979,0.336,0.288,0.594,0.808,0.316,0.963,0.441,0.392,0.64,0.785,0.316,0.933,0.414,0.32,0.625
RBF,10,0.1,-1.4,1.2,-0.1,0.877,0.838,0.917,0.871,0.759,0.877,0.706,0.158,0.88,0.207,0.053,0.519,0.759,0.158,0.95,0.24,0.174,0.554
RBF,10,0.01,-3.2,1.7,0.4,0.879,0.833,0.925,0.873,0.763,0.879,0.706,0.179,0.873,0.224,0.062,0.526,0.696,0.158,0.867,0.2,0.03,0.512
RBF,10,0.001,-2.4,3.3,0.2,0.779,0.688,0.871,0.756,0.569,0.779,0.661,0.305,0.773,0.301,0.078,0.539,0.658,0.316,0.767,0.308,0.081,0.541
RBF,10,0.0001,-1.4,2.9,0.5,0.644,0.312,0.975,0.462,0.381,0.644,0.742,0.211,0.91,0.276,0.154,0.56,0.722,0.158,0.9,0.214,0.078,0.529
RBF,10,1e-05,-1.1,1.3,-0.0,0.621,0.304,0.938,0.445,0.313,0.621,0.785,0.4,0.907,0.472,0.351,0.653,0.772,0.421,0.883,0.471,0.332,0.652
