Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-1.2,1.2,0.1,0.865,0.742,0.988,0.845,0.753,0.865,0.747,0.0,0.983,0.0,-0.056,0.492,0.747,0.0,0.983,0.0,-0.064,0.492
RBF,1,0.01,-1.8,1.4,0.2,0.808,0.708,0.908,0.787,0.632,0.808,0.704,0.2,0.863,0.244,0.074,0.532,0.709,0.211,0.867,0.258,0.092,0.539
RBF,1,0.001,-1.3,1.6,0.6,0.656,0.321,0.992,0.478,0.422,0.656,0.754,0.116,0.957,0.185,0.132,0.536,0.759,0.105,0.967,0.174,0.14,0.536
RBF,1,0.0001,-1.1,1.4,0.3,0.619,0.258,0.979,0.399,0.343,0.619,0.782,0.263,0.947,0.368,0.297,0.605,0.772,0.263,0.933,0.357,0.264,0.598
RBF,1,1e-05,-0.3,0.2,0.0,0.608,0.242,0.975,0.377,0.315,0.608,0.79,0.316,0.94,0.418,0.337,0.628,0.785,0.316,0.933,0.414,0.32,0.625
RBF,5,0.1,-1.2,1.2,-0.0,0.873,0.779,0.967,0.859,0.761,0.873,0.749,0.105,0.953,0.164,0.102,0.529,0.747,0.053,0.967,0.091,0.043,0.51
RBF,5,0.01,-2.9,1.7,0.1,0.877,0.904,0.85,0.88,0.757,0.877,0.691,0.221,0.84,0.256,0.069,0.531,0.709,0.211,0.867,0.258,0.092,0.539
RBF,5,0.001,-2.0,2.3,0.0,0.765,0.733,0.796,0.756,0.533,0.765,0.641,0.347,0.733,0.317,0.077,0.54,0.62,0.316,0.717,0.286,0.031,0.516
RBF,5,0.0001,-1.2,2.4,0.5,0.658,0.342,0.975,0.498,0.408,0.658,0.752,0.211,0.923,0.286,0.181,0.567,0.747,0.211,0.917,0.286,0.171,0.564
RBF,5,1e-05,-1.1,1.0,-0.0,0.612,0.258,0.967,0.397,0.316,0.612,0.775,0.316,0.92,0.403,0.294,0.618,0.772,0.316,0.917,0.4,0.287,0.616
RBF,10,0.1,-1.2,1.2,-0.0,0.873,0.779,0.967,0.859,0.761,0.873,0.749,0.105,0.953,0.164,0.102,0.529,0.747,0.053,0.967,0.091,0.043,0.51
RBF,10,0.01,-3.3,1.4,0.4,0.9,0.871,0.929,0.896,0.803,0.9,0.734,0.137,0.923,0.193,0.086,0.53,0.759,0.158,0.95,0.24,0.174,0.554
RBF,10,0.001,-2.6,3.3,0.3,0.769,0.688,0.85,0.749,0.546,0.769,0.646,0.221,0.78,0.23,0.001,0.501,0.658,0.211,0.8,0.229,0.011,0.505
RBF,10,0.0001,-1.3,3.0,0.3,0.677,0.4,0.954,0.552,0.427,0.677,0.747,0.274,0.897,0.339,0.205,0.585,0.734,0.211,0.9,0.276,0.142,0.555
RBF,10,1e-05,-1.1,1.5,0.1,0.633,0.329,0.938,0.472,0.336,0.633,0.785,0.4,0.907,0.472,0.351,0.653,0.759,0.421,0.867,0.457,0.306,0.644
