activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(225,)",0.0001,0.904,0.958,0.849,0.909,0.812,0.904,0.857,0.673,0.905,0.661,0.571,0.789,0.887,0.636,0.952,0.7,0.636,0.794
relu,"(250,)",0.1,0.898,0.94,0.855,0.902,0.799,0.897,0.789,0.6,0.838,0.535,0.411,0.719,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(250,)",0.01,0.904,0.934,0.873,0.906,0.81,0.904,0.811,0.473,0.9,0.51,0.397,0.686,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(250,)",0.001,0.91,0.946,0.873,0.913,0.822,0.91,0.808,0.527,0.881,0.533,0.415,0.704,0.774,0.455,0.857,0.455,0.312,0.656
relu,"(250,)",0.0001,0.901,0.934,0.867,0.904,0.804,0.901,0.804,0.509,0.881,0.52,0.399,0.695,0.774,0.455,0.857,0.455,0.312,0.656
relu,"(275,)",0.1,0.885,0.94,0.831,0.892,0.776,0.885,0.796,0.582,0.852,0.546,0.423,0.717,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(275,)",0.01,0.907,0.958,0.855,0.911,0.818,0.907,0.83,0.509,0.914,0.553,0.454,0.712,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(275,)",0.001,0.907,0.958,0.856,0.911,0.818,0.907,0.834,0.6,0.895,0.599,0.498,0.748,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(275,)",0.0001,0.907,0.964,0.85,0.912,0.819,0.907,0.819,0.564,0.886,0.562,0.453,0.725,0.849,0.545,0.929,0.6,0.512,0.737
relu,"(300,)",0.1,0.871,0.928,0.813,0.878,0.747,0.87,0.792,0.564,0.852,0.524,0.4,0.708,0.792,0.636,0.833,0.56,0.432,0.735
relu,"(300,)",0.01,0.904,0.952,0.855,0.908,0.812,0.904,0.838,0.582,0.905,0.598,0.501,0.743,0.887,0.545,0.976,0.667,0.625,0.761
relu,"(300,)",0.001,0.907,0.946,0.868,0.91,0.818,0.907,0.823,0.6,0.881,0.584,0.472,0.74,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(300,)",0.0001,0.907,0.946,0.868,0.91,0.817,0.907,0.796,0.564,0.857,0.533,0.405,0.71,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(25,5)",0.1,0.885,0.922,0.849,0.889,0.773,0.885,0.804,0.527,0.876,0.526,0.403,0.702,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(25,5)",0.01,0.907,0.94,0.873,0.91,0.815,0.907,0.792,0.509,0.867,0.502,0.376,0.688,0.774,0.545,0.833,0.5,0.357,0.689
relu,"(25,5)",0.001,0.901,0.952,0.849,0.906,0.805,0.901,0.8,0.6,0.852,0.555,0.431,0.726,0.83,0.636,0.881,0.609,0.501,0.759
