Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-5.2,8.4,0.4,0.704,0.554,0.854,0.651,0.429,0.704,0.63,0.326,0.727,0.298,0.05,0.526,0.646,0.368,0.733,0.333,0.096,0.551
linear,5,-5.3,9.4,0.4,0.706,0.554,0.858,0.653,0.434,0.706,0.623,0.337,0.713,0.301,0.047,0.525,0.671,0.368,0.767,0.35,0.131,0.568
linear,10,-5.3,9.4,0.5,0.702,0.542,0.862,0.644,0.429,0.702,0.638,0.316,0.74,0.295,0.053,0.528,0.709,0.368,0.817,0.378,0.189,0.593
linear,15,-5.3,9.3,0.4,0.702,0.554,0.85,0.649,0.424,0.702,0.618,0.326,0.71,0.291,0.034,0.518,0.671,0.368,0.767,0.35,0.131,0.568
