Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-29.2,23.0,-0.2,0.849,0.921,0.777,0.86,0.709,0.849,0.762,0.709,0.776,0.553,0.421,0.743,0.774,0.545,0.833,0.5,0.357,0.689
linear,5,-39.6,41.0,0.0,0.862,0.921,0.801,0.869,0.731,0.861,0.755,0.636,0.786,0.518,0.374,0.711,0.736,0.455,0.81,0.417,0.249,0.632
linear,10,-39.6,58.2,0.0,0.868,0.934,0.801,0.876,0.744,0.867,0.743,0.655,0.767,0.509,0.366,0.711,0.774,0.545,0.833,0.5,0.357,0.689
linear,15,-43.3,75.9,0.5,0.861,0.915,0.807,0.869,0.73,0.861,0.755,0.6,0.795,0.498,0.354,0.698,0.774,0.455,0.857,0.455,0.312,0.656
