Kernel,C,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
linear,1,-35.8,17.9,-0.3,0.804,0.856,0.753,0.811,0.616,0.805,0.675,0.618,0.69,0.441,0.259,0.654,0.698,0.636,0.714,0.467,0.297,0.675
linear,5,-82.6,26.6,-1.5,0.768,0.952,0.585,0.804,0.58,0.768,0.566,0.764,0.514,0.419,0.227,0.639,0.509,0.818,0.429,0.409,0.206,0.623
linear,10,-112.8,30.1,-0.7,0.783,0.88,0.686,0.801,0.582,0.783,0.653,0.673,0.648,0.443,0.263,0.66,0.623,0.636,0.619,0.412,0.209,0.628
linear,15,-135.4,33.6,-1.3,0.777,0.934,0.62,0.806,0.588,0.777,0.589,0.764,0.543,0.432,0.249,0.653,0.547,0.636,0.524,0.368,0.13,0.58
