FPR,SVM AUC = 0.9722 (+/- 0.0223),MLP AUC = 0.9750 (+/- 0.0261),RF AUC = 0.9762 (+/- 0.0096)
0,0,0,0
0.01010101010101,0.904812834224599,0.831016042780749,0.727985739750446
0.02020202020202,0.904812834224599,0.831016042780749,0.727985739750446
0.03030303030303,0.957932263814617,0.921390374331551,0.818894830659537
0.040404040404041,0.957932263814617,0.921390374331551,0.818894830659537
0.050505050505051,0.957932263814617,0.921390374331551,0.818894830659537
0.060606060606061,0.963814616755793,0.951515151515152,0.915686274509804
0.070707070707071,0.963814616755793,0.951515151515152,0.915686274509804
0.080808080808081,0.963814616755793,0.951515151515152,0.915686274509804
0.090909090909091,0.969875222816399,0.963636363636364,0.951871657754011
0.101010101010101,0.969875222816399,0.963636363636364,0.951871657754011
0.111111111111111,0.969875222816399,0.963636363636364,0.951871657754011
0.121212121212121,0.969875222816399,0.963636363636364,0.957932263814617
0.131313131313131,0.969875222816399,0.963636363636364,0.959952465834819
0.141414141414141,0.969875222816399,0.963636363636364,0.961972667855021
0.151515151515152,0.975935828877005,0.963636363636364,0.981818181818182
0.161616161616162,0.975935828877005,0.963636363636364,0.981818181818182
0.171717171717172,0.975935828877005,0.963636363636364,0.981818181818182
0.181818181818182,0.975935828877005,0.963636363636364,0.981818181818182
0.191919191919192,0.975935828877005,0.963636363636364,0.981818181818182
0.202020202020202,0.975935828877005,0.963636363636364,0.981818181818182
0.212121212121212,0.975935828877005,0.963636363636364,0.981818181818182
0.222222222222222,0.975935828877005,0.963636363636364,0.981818181818182
0.232323232323232,0.975935828877005,0.963636363636364,0.981818181818182
0.242424242424242,0.975935828877005,0.963636363636364,0.981818181818182
0.252525252525252,0.975935828877005,0.963636363636364,0.981818181818182
0.262626262626263,0.975935828877005,0.963636363636364,0.981818181818182
0.272727272727273,0.975935828877005,0.963636363636364,0.987878787878788
0.282828282828283,0.975935828877005,0.963636363636364,0.987878787878788
0.292929292929293,0.975935828877005,0.963636363636364,0.987878787878788
0.303030303030303,0.975935828877005,0.975757575757576,1
0.313131313131313,0.975935828877005,0.975757575757576,1
0.323232323232323,0.975935828877005,0.975757575757576,1
0.333333333333333,0.975935828877005,0.975757575757576,1
0.343434343434343,0.975935828877005,0.975757575757576,1
0.353535353535354,0.975935828877005,0.975757575757576,1
0.363636363636364,0.975935828877005,0.975757575757576,1
0.373737373737374,0.975935828877005,0.975757575757576,1
0.383838383838384,0.975935828877005,0.975757575757576,1
0.393939393939394,0.975935828877005,0.987878787878788,1
0.404040404040404,0.975935828877005,0.987878787878788,1
0.414141414141414,0.975935828877005,0.987878787878788,1
0.424242424242424,0.975935828877005,0.987878787878788,1
0.434343434343434,0.975935828877005,0.987878787878788,1
0.444444444444444,0.975935828877005,0.987878787878788,1
0.454545454545455,0.975935828877005,0.987878787878788,1
0.464646464646465,0.975935828877005,0.987878787878788,1
0.474747474747475,0.975935828877005,0.987878787878788,1
0.484848484848485,0.975935828877005,0.987878787878788,1
0.494949494949495,0.975935828877005,0.987878787878788,1
0.505050505050505,0.975935828877005,0.987878787878788,1
0.515151515151515,0.975935828877005,0.993939393939394,1
0.525252525252525,0.975935828877005,0.993939393939394,1
0.535353535353535,0.975935828877005,0.993939393939394,1
0.545454545454546,0.975935828877005,0.993939393939394,1
0.555555555555556,0.975935828877005,0.993939393939394,1
0.565656565656566,0.975935828877005,0.993939393939394,1
0.575757575757576,0.975935828877005,0.993939393939394,1
0.585858585858586,0.975935828877005,0.993939393939394,1
0.595959595959596,0.975935828877005,0.993939393939394,1
0.606060606060606,0.975935828877005,0.993939393939394,1
0.616161616161616,0.975935828877005,0.993939393939394,1
0.626262626262626,0.975935828877005,0.993939393939394,1
0.636363636363636,0.981996434937611,0.993939393939394,1
0.646464646464646,0.981996434937611,0.993939393939394,1
0.656565656565657,0.981996434937611,0.993939393939394,1
0.666666666666667,0.981996434937611,0.993939393939394,1
0.676767676767677,0.981996434937611,0.993939393939394,1
0.686868686868687,0.981996434937611,0.993939393939394,1
0.696969696969697,0.981996434937611,0.993939393939394,1
0.707070707070707,0.981996434937611,0.993939393939394,1
0.717171717171717,0.981996434937611,0.993939393939394,1
0.727272727272727,0.981996434937611,1,1
0.737373737373737,0.981996434937611,1,1
0.747474747474748,0.981996434937611,1,1
0.757575757575758,0.981996434937611,1,1
0.767676767676768,0.988057040998218,1,1
0.777777777777778,0.988057040998218,1,1
0.787878787878788,0.988057040998218,1,1
0.797979797979798,0.988057040998218,1,1
0.808080808080808,0.988057040998218,1,1
0.818181818181818,0.988057040998218,1,1
0.828282828282828,0.988057040998218,1,1
0.838383838383838,0.988057040998218,1,1
0.848484848484848,0.988057040998218,1,1
0.858585858585859,0.988057040998218,1,1
0.868686868686869,0.988057040998218,1,1
0.878787878787879,0.988057040998218,1,1
0.888888888888889,0.988057040998218,1,1
0.898989898989899,0.988057040998218,1,1
0.909090909090909,0.988057040998218,1,1
0.919191919191919,0.988057040998218,1,1
0.929292929292929,0.988057040998218,1,1
0.939393939393939,0.988057040998218,1,1
0.94949494949495,0.988057040998218,1,1
0.95959595959596,0.988057040998218,1,1
0.96969696969697,0.993939393939394,1,1
0.97979797979798,0.993939393939394,1,1
0.98989898989899,0.993939393939394,1,1
1,1,1,1
