n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.888,0.921,0.854,0.891,0.778,0.888,0.82,0.6,0.89,0.616,0.5,0.745,0.848,0.632,0.917,0.667,0.57,0.774
200,None,0.5,0.89,0.925,0.854,0.893,0.782,0.89,0.825,0.621,0.89,0.631,0.517,0.756,0.861,0.684,0.917,0.703,0.612,0.8
200,None,0.75,0.877,0.917,0.838,0.881,0.758,0.877,0.828,0.632,0.89,0.638,0.526,0.761,0.823,0.579,0.9,0.611,0.498,0.739
200,None,None,0.885,0.942,0.829,0.892,0.777,0.885,0.823,0.653,0.877,0.639,0.522,0.765,0.848,0.684,0.9,0.684,0.584,0.792
400,None,0.25,0.902,0.929,0.875,0.904,0.806,0.902,0.825,0.621,0.89,0.631,0.517,0.756,0.835,0.579,0.917,0.629,0.527,0.748
400,None,0.5,0.9,0.933,0.867,0.903,0.803,0.9,0.828,0.621,0.893,0.634,0.522,0.757,0.848,0.632,0.917,0.667,0.57,0.774
400,None,0.75,0.885,0.929,0.842,0.89,0.775,0.885,0.833,0.653,0.89,0.653,0.544,0.771,0.823,0.579,0.9,0.611,0.498,0.739
400,None,None,0.89,0.938,0.842,0.895,0.784,0.89,0.83,0.653,0.887,0.649,0.538,0.77,0.848,0.684,0.9,0.684,0.584,0.792
600,None,0.25,0.902,0.929,0.875,0.904,0.806,0.902,0.82,0.6,0.89,0.616,0.5,0.745,0.848,0.632,0.917,0.667,0.57,0.774
600,None,0.5,0.9,0.929,0.871,0.902,0.803,0.9,0.83,0.632,0.893,0.642,0.531,0.762,0.835,0.632,0.9,0.649,0.542,0.766
600,None,0.75,0.883,0.929,0.838,0.888,0.771,0.883,0.833,0.653,0.89,0.654,0.544,0.771,0.835,0.632,0.9,0.649,0.542,0.766
600,None,None,0.89,0.938,0.842,0.894,0.784,0.89,0.828,0.653,0.883,0.646,0.533,0.768,0.848,0.684,0.9,0.684,0.584,0.792
800,None,0.25,0.9,0.929,0.871,0.902,0.802,0.9,0.825,0.611,0.893,0.627,0.514,0.752,0.835,0.579,0.917,0.629,0.527,0.748
800,None,0.5,0.896,0.929,0.862,0.899,0.795,0.896,0.823,0.621,0.887,0.628,0.512,0.754,0.835,0.632,0.9,0.649,0.542,0.766
800,None,0.75,0.883,0.929,0.838,0.888,0.771,0.883,0.833,0.653,0.89,0.654,0.544,0.771,0.835,0.632,0.9,0.649,0.542,0.766
800,None,None,0.89,0.938,0.842,0.894,0.784,0.89,0.83,0.653,0.887,0.65,0.539,0.77,0.848,0.684,0.9,0.684,0.584,0.792
1000,None,0.25,0.902,0.929,0.875,0.904,0.806,0.902,0.825,0.611,0.893,0.627,0.514,0.752,0.848,0.632,0.917,0.667,0.57,0.774
1000,None,0.5,0.894,0.929,0.858,0.897,0.791,0.894,0.83,0.632,0.893,0.642,0.532,0.762,0.835,0.632,0.9,0.649,0.542,0.766
1000,None,0.75,0.883,0.929,0.838,0.888,0.771,0.883,0.83,0.653,0.887,0.65,0.539,0.77,0.835,0.632,0.9,0.649,0.542,0.766
1000,None,None,0.883,0.933,0.833,0.889,0.772,0.883,0.83,0.653,0.887,0.65,0.539,0.77,0.848,0.684,0.9,0.684,0.584,0.792
