n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.862,0.908,0.817,0.868,0.73,0.862,0.818,0.589,0.89,0.61,0.493,0.74,0.797,0.579,0.867,0.579,0.446,0.723
200,None,0.5,0.842,0.879,0.804,0.847,0.687,0.842,0.797,0.589,0.863,0.584,0.45,0.726,0.797,0.632,0.85,0.6,0.466,0.741
200,None,0.75,0.835,0.888,0.783,0.843,0.676,0.835,0.797,0.558,0.873,0.57,0.439,0.716,0.797,0.579,0.867,0.579,0.446,0.723
200,None,None,0.831,0.875,0.788,0.838,0.668,0.831,0.797,0.6,0.86,0.59,0.457,0.73,0.797,0.579,0.867,0.579,0.446,0.723
400,None,0.25,0.854,0.896,0.812,0.859,0.715,0.854,0.815,0.579,0.89,0.602,0.483,0.734,0.797,0.579,0.867,0.579,0.446,0.723
400,None,0.5,0.846,0.883,0.808,0.851,0.696,0.846,0.805,0.589,0.873,0.593,0.465,0.731,0.81,0.632,0.867,0.615,0.49,0.749
400,None,0.75,0.833,0.879,0.788,0.84,0.671,0.833,0.795,0.579,0.863,0.576,0.441,0.721,0.785,0.579,0.85,0.564,0.422,0.714
400,None,None,0.827,0.879,0.775,0.835,0.66,0.827,0.805,0.621,0.863,0.606,0.477,0.742,0.785,0.579,0.85,0.564,0.422,0.714
600,None,0.25,0.852,0.892,0.812,0.857,0.709,0.852,0.818,0.589,0.89,0.61,0.492,0.74,0.81,0.579,0.883,0.595,0.471,0.731
600,None,0.5,0.842,0.883,0.8,0.848,0.688,0.842,0.805,0.589,0.873,0.593,0.465,0.731,0.823,0.632,0.883,0.632,0.515,0.757
600,None,0.75,0.833,0.879,0.788,0.84,0.672,0.833,0.79,0.579,0.857,0.57,0.431,0.718,0.785,0.579,0.85,0.564,0.422,0.714
600,None,None,0.827,0.879,0.775,0.835,0.66,0.827,0.805,0.611,0.867,0.601,0.473,0.739,0.785,0.579,0.85,0.564,0.422,0.714
800,None,0.25,0.852,0.888,0.817,0.857,0.708,0.852,0.813,0.589,0.883,0.603,0.481,0.736,0.823,0.579,0.9,0.611,0.498,0.739
800,None,0.5,0.842,0.883,0.8,0.848,0.688,0.842,0.808,0.6,0.873,0.6,0.474,0.737,0.81,0.579,0.883,0.595,0.471,0.731
800,None,0.75,0.838,0.888,0.788,0.845,0.681,0.837,0.797,0.589,0.863,0.584,0.451,0.726,0.785,0.579,0.85,0.564,0.422,0.714
800,None,None,0.831,0.883,0.779,0.839,0.668,0.831,0.803,0.611,0.863,0.598,0.468,0.737,0.785,0.579,0.85,0.564,0.422,0.714
1000,None,0.25,0.856,0.896,0.817,0.861,0.718,0.856,0.82,0.6,0.89,0.617,0.5,0.745,0.823,0.579,0.9,0.611,0.498,0.739
1000,None,0.5,0.844,0.892,0.796,0.851,0.693,0.844,0.805,0.6,0.87,0.597,0.469,0.735,0.797,0.579,0.867,0.579,0.446,0.723
1000,None,0.75,0.84,0.888,0.792,0.846,0.684,0.84,0.797,0.589,0.863,0.583,0.45,0.726,0.797,0.579,0.867,0.579,0.446,0.723
1000,None,None,0.833,0.883,0.783,0.841,0.671,0.833,0.803,0.611,0.863,0.598,0.468,0.737,0.797,0.579,0.867,0.579,0.446,0.723
